N	2gram	Propp_Morf_1	Literetu
1	не только	4	24
2	в качестве	5	17
3	но и	4	17
4	а не	11	16
5	в том	6	16
6	в частности	2	15
7	том что	4	14
8	может быть	52	13
9	тогда как	2	13
10	и не	12	12
11	в этом	14	12
12	состоит в	2	11
13	прежде всего	9	11
14	то что	8	10
15	не в	3	8
16	в целом	3	8
17	и в	13	8
18	только в	2	8
19	как это	3	8
20	не менее	5	7
21	как бы	3	7
22	уже не	2	7
23	как и	3	6
24	связи с	10	6
25	того что	3	6
26	точки зрения	2	6
27	с его	2	5
28	что он	4	5
29	же в	2	5
30	а также	4	5
31	как в	3	5
32	не может	14	5
33	то же	7	5
34	в то	3	5
35	это не	6	4
36	представляет собой	17	4
37	но не	4	4
38	еще не	3	4
39	и тем	2	4
40	все же	7	4
41	из них	3	4
42	со стороны	3	4
43	так и	6	4
44	в связи	9	4
45	друг друга	3	4
46	в этой	2	4
47	с собой	3	4
48	что в	8	3
49	и есть	2	3
50	с другой	8	3
51	самого себя	2	3
52	что его	2	3
53	одна из	4	3
54	в пределах	3	3
55	например в	2	3
56	несмотря на	4	3
57	один из	5	3
58	и др	10	3
59	приводит к	2	3
60	по отношению	4	3
61	а в	7	3
62	таким образом	21	3
63	потому что	3	3
64	во всяком	2	3
65	но в	2	3
66	также и	4	3
67	далеко не	5	3
68	его в	2	3
69	тех же	4	3
70	на этом	3	2
71	этого не	2	2
72	это уже	3	2
73	однако в	2	2
74	так называемых	2	2
75	дело не	2	2
76	та же	2	2
77	подобно тому	6	2
78	к тому	4	2
79	тем не	5	2
80	из его	2	2
81	в другом	2	2
82	в поле	4	2
83	было бы	3	2
84	следующим образом	3	2
85	всяком случае	2	2
86	не является	3	2
87	то это	3	2
88	отношению к	4	2
89	в сущности	3	2
90	не на	2	2
91	все эти	2	2
92	имеется в	3	2
93	самом деле	4	2
94	во втором	3	2
95	что такое	3	2
96	хотя бы	4	2
97	с точки	2	2
98	можно было	2	2
99	тому как	5	2
100	между тем	5	2
101	тем что	4	2
102	могут быть	16	2
103	как будто	2	2
104	ту же	2	2
105	о том	2	2
106	в россии	2	2
