N	2gram	Bakhtin_Pr_5	Vvedenie
1	и в	35	32
2	в том	5	31
3	в этом	14	30
4	может быть	14	26
5	том что	3	26
6	не только	10	22
7	таким образом	7	19
8	то что	10	16
9	потому что	8	15
10	так как	4	15
11	не может	18	14
12	в самом	6	13
13	в нем	16	13
14	о том	2	13
15	того что	3	12
16	в общем	3	12
17	и не	27	12
18	в его	21	12
19	только в	6	12
20	как мы	8	11
21	в ее	3	11
22	что в	6	10
23	но в	19	9
24	и как	2	9
25	между тем	4	9
26	этом смысле	3	9
27	по себе	4	9
28	то же	15	9
29	в той	4	9
30	не менее	2	8
31	с другой	4	8
32	это не	3	8
33	не в	10	8
34	прежде всего	12	7
35	вопрос о	2	7
36	смысле этого	2	7
37	точки зрения	7	7
38	уже и	2	7
39	но не	6	7
40	было бы	3	7
41	все же	8	7
42	самом деле	10	7
43	можно было	2	7
44	же время	10	6
45	но и	14	6
46	все это	14	6
47	и даже	5	6
48	в то	11	6
49	его в	4	6
50	как он	2	6
51	с тем	3	6
52	вовсе не	7	6
53	как и	18	6
54	хотя бы	2	6
55	и его	14	6
56	тем что	4	6
57	и это	5	6
58	уже в	3	5
59	так что	5	5
60	на этот	2	5
61	как бы	31	5
62	в целом	3	5
63	а как	2	5
64	другой стороны	3	5
65	в которых	2	5
66	сказать что	3	5
67	в них	4	5
68	быть в	2	5
69	по своему	4	5
70	вместе с	2	5
71	а не	4	5
72	что не	4	5
73	на вопрос	2	4
74	с этой	2	4
75	в каждом	6	4
76	времени и	2	4
77	всяком случае	4	4
78	в котором	3	4
79	этот процесс	2	4
80	по отношению	6	4
81	не просто	2	4
82	и что	6	4
83	а в	7	4
84	даже и	3	4
85	но ведь	2	4
86	в первом	2	4
87	что он	24	4
88	еще не	7	4
89	отношению к	7	4
90	в своей	4	4
91	только что	3	4
92	как раз	4	4
93	в виде	7	4
94	уже не	3	4
95	и для	8	4
96	той же	2	4
97	и то	5	4
98	во всяком	4	4
99	в себе	5	4
100	и т.д	3	4
101	только с	3	4
102	за собой	3	3
103	совсем не	3	3
104	он сам	6	3
105	что это	4	3
106	в этих	2	3
107	понятно что	2	3
108	вообще не	2	3
109	в конце	5	3
110	бы и	2	3
111	к тому	6	3
112	сливается с	4	3
113	да и	5	3
114	но все	4	3
115	на этом	2	3
116	но что	2	3
117	что с	2	3
118	до конца	4	3
119	при этом	2	3
120	от себя	5	3
121	хотя и	2	3
122	в ней	2	3
123	в виду	3	3
124	к нему	13	3
125	мы видели	2	3
126	отношение к	6	3
127	из них	3	3
128	в своем	2	3
129	все эти	3	3
130	и вот	4	3
131	так же	7	3
132	и на	6	3
133	говорить о	3	3
134	в начале	3	3
135	что даже	2	3
136	на нее	2	3
137	однако в	2	3
138	не как	3	3
139	и к	12	3
140	материал для	2	3
141	говорит о	2	3
142	в чем	4	3
143	так чтобы	4	3
144	одной из	2	3
145	в одном	6	3
146	в сущности	14	3
147	что и	3	3
148	своего рода	2	3
149	что же	7	3
150	и вообще	2	3
151	как будто	4	3
152	или как	3	3
153	все время	4	2
154	это уже	2	2
155	никогда не	4	2
156	тому что	2	2
157	для этого	2	2
158	в отношении	9	2
159	это в	2	2
160	или иной	4	2
161	но зато	4	2
162	в дальнейшем	2	2
163	из его	2	2
164	но это	6	2
165	такого же	2	2
166	и сам	7	2
167	мог бы	2	2
168	в форме	3	2
169	о них	2	2
170	не мог	3	2
171	есть только	2	2
172	должно быть	3	2
173	рядом с	4	2
174	только так	2	2
175	каждый из	2	2
176	и с	12	2
177	говорит он	4	2
178	и так	4	2
179	с этим	3	2
180	нуждается в	3	2
181	он и	5	2
182	той или	4	2
183	а так	3	2
184	конце концов	3	2
185	бы в	4	2
186	так и	8	2
187	этого не	3	2
188	и со	3	2
189	лежит в	2	2
190	на тему	2	2
191	надо было	2	2
192	его к	3	2
193	время не	3	2
194	должна была	2	2
195	во всех	3	2
196	мы должны	3	2
197	бы с	2	2
198	мы уже	8	2
199	себе и	7	2
200	этого слова	5	2
201	в этот	2	2
202	но уже	2	2
203	быть и	2	2
204	только на	4	2
205	iv в	2	2
206	с точки	2	2
207	тому как	2	2
208	мы можем	2	2
209	подобно тому	2	2
210	в другом	12	2
211	на протяжении	5	2
212	будто бы	2	2
213	в каждой	2	2
214	ничего не	3	2
