N	2gram	Tiupa_Hudo_1	RusskieA
1	и в	14	29
2	т е	4	24
3	что в	6	22
4	том что	16	22
5	в том	12	22
6	как бы	7	18
7	состоит в	2	15
8	в землю	2	13
9	может быть	5	13
10	там же	2	12
11	как и	9	11
12	одна из	2	11
13	в этом	11	11
14	все это	2	10
15	и с	4	10
16	не только	12	10
17	о том	12	9
18	а в	7	9
19	и м	2	8
20	но и	5	8
21	а а	2	8
22	его в	3	8
23	как в	8	7
24	представляют собой	2	7
25	мы не	2	6
26	же в	3	6
27	еще не	7	6
28	при этом	12	6
29	того чтобы	3	6
30	и на	3	6
31	потому что	5	5
32	это не	7	5
33	то что	8	5
34	и что	2	5
35	но не	3	5
36	и т	11	5
37	к жизни	5	5
38	не может	7	5
39	т д	3	5
40	на святках	4	5
41	будто бы	3	5
42	но в	5	5
43	именно в	7	4
44	и все	4	4
45	вопрос о	2	4
46	уже не	7	4
47	так что	2	4
48	не в	7	4
49	из них	4	4
50	же как	2	4
51	а также	3	4
52	то и	3	4
53	то же	9	4
54	а не	12	4
55	в таком	3	4
56	и потом	2	4
57	на этом	3	3
58	тем что	3	3
59	в этих	5	3
60	в качестве	9	3
61	и от	4	3
62	или с	2	3
63	в ее	3	3
64	за ним	2	3
65	живет в	2	3
66	она не	4	3
67	до конца	2	3
68	того что	4	3
69	было бы	6	3
70	и о	4	3
71	что она	4	3
72	не имеет	2	3
73	все эти	3	3
74	и по	3	3
75	друг друга	5	3
76	как мы	3	3
77	между тем	8	3
78	xix в	4	3
79	но он	3	3
80	в этой	8	3
81	не менее	5	2
82	с этой	2	2
83	связи с	4	2
84	об этом	5	2
85	никогда не	6	2
86	жизни в	6	2
87	не столько	2	2
88	это в	3	2
89	прежде всего	11	2
90	что на	2	2
91	и дело	2	2
92	тем не	4	2
93	в него	2	2
94	еще в	3	2
95	один из	4	2
96	также в	2	2
97	все же	3	2
98	в своей	10	2
99	в форме	2	2
100	что при	3	2
101	в их	2	2
102	влияние на	2	2
103	а и	2	2
104	тогда как	7	2
105	а с	2	2
106	не было	4	2
107	на самом	2	2
108	и для	3	2
109	должно быть	2	2
110	можно было	5	2
111	так в	2	2
112	в своих	3	2
113	пока еще	2	2
114	с другим	2	2
115	с этим	3	2
116	в то	8	2
117	видно что	2	2
118	заметить что	2	2
119	характер в	2	2
120	та же	4	2
