N	2gram	Losev_Dial_3	DiskursI
1	в себе	2	19
2	при этом	2	17
3	и в	24	16
4	может быть	13	16
5	как и	7	16
6	в этом	8	16
7	и не	27	15
8	а не	26	14
9	в частности	2	12
10	но и	9	11
11	но в	2	11
12	том что	8	10
13	не только	23	10
14	со стороны	2	10
15	так и	5	9
16	не может	19	9
17	в том	5	8
18	не менее	11	7
19	прежде всего	8	7
20	в нем	3	7
21	ни в	9	7
22	но не	2	7
23	в данном	2	7
24	с его	2	6
25	отнюдь не	10	6
26	себя в	2	6
27	еще не	2	6
28	все же	3	6
29	то же	6	6
30	тем самым	3	6
31	в своих	2	6
32	ни к	3	5
33	что в	7	5
34	в своем	3	5
35	с другой	4	5
36	нового времени	2	5
37	же время	3	5
38	для него	4	5
39	то что	14	5
40	и на	3	5
41	в то	5	5
42	одной стороны	3	4
43	как бы	3	4
44	с одной	3	4
45	потому что	7	4
46	в основе	3	4
47	одно из	5	4
48	точки зрения	25	4
49	и то	4	4
50	о том	6	4
51	мира и	3	4
52	я и	2	4
53	перед нами	3	3
54	могут быть	2	3
55	в них	5	3
56	это не	4	3
57	из этих	2	3
58	и все	6	3
59	или иной	4	3
60	уже не	5	3
61	и как	8	3
62	не в	3	3
63	например в	2	3
64	он не	5	3
65	той или	2	3
66	в его	2	3
67	из двух	3	3
68	из них	3	3
69	жизни и	5	3
70	но она	3	3
71	и ее	3	3
72	чего не	4	3
73	не было	3	3
74	все эти	3	3
75	также и	2	3
76	как на	5	3
77	и его	5	3
78	но это	5	3
79	не знает	3	3
80	только в	5	3
81	как все	3	2
82	же как	2	2
83	никогда не	7	2
84	бытия и	2	2
85	личности в	2	2
86	или иного	2	2
87	на первый	4	2
88	что он	13	2
89	который не	2	2
90	есть в	3	2
91	должна быть	6	2
92	одно и	5	2
93	в ней	2	2
94	для себя	2	2
95	что и	6	2
96	с точки	14	2
97	что же	11	2
98	и прежде	3	2
99	не на	6	2
100	того и	2	2
101	может и	2	2
102	именно в	2	2
103	все это	6	2
104	другой стороны	2	2
105	и для	2	2
106	должно быть	3	2
107	а в	2	2
108	той же	3	2
109	тому как	4	2
110	их в	2	2
111	и с	6	2
112	не о	2	2
113	подобно тому	4	2
114	говорить о	4	2
115	и это	4	2
