N	2gram	Propp_Isto_7	Tvorches
1	и в	24	21
2	как бы	4	17
3	в то	2	15
4	то же	8	13
5	что в	13	12
6	как и	6	12
7	с его	3	11
8	том что	10	11
9	все это	8	10
10	как в	12	8
11	он не	6	8
12	то что	7	8
13	у него	10	7
14	в том	7	7
15	при этом	4	7
16	не только	21	7
17	и не	4	7
18	и на	2	7
19	но в	5	7
20	что он	21	6
21	и все	6	6
22	не менее	5	6
23	в котором	2	6
24	а в	10	6
25	и его	3	6
26	в этом	12	6
27	о том	9	6
28	вовсе не	4	5
29	а не	8	5
30	но это	3	5
31	может быть	14	5
32	все же	9	5
33	таким образом	7	5
34	потому что	9	5
35	только в	6	5
36	в русской	5	5
37	та же	2	4
38	прежде всего	2	4
39	одной из	4	4
40	не имеют	2	4
41	один из	7	4
42	своего рода	4	4
43	не может	14	4
44	это не	10	4
45	не случайно	3	4
46	и от	2	4
47	в основном	2	4
48	уже в	3	3
49	и другие	9	3
50	никогда не	4	3
51	с другой	9	3
52	представление о	3	3
53	с ним	5	3
54	говорит о	2	3
55	в дальнейшем	3	3
56	но не	6	3
57	на его	2	3
58	в самом	2	3
59	в нем	6	3
60	и т	17	3
61	не по	2	3
62	но и	11	3
63	дело не	5	3
64	ее в	3	3
65	в их	4	3
66	уже не	2	3
67	на земле	2	3
68	там же	2	3
69	это как	2	3
70	он говорит	2	3
71	того что	6	3
72	и даже	3	3
73	не так	2	3
74	и по	3	3
75	так же	6	3
76	в которой	2	3
77	хотя и	3	3
78	приходит к	3	3
79	представляет собой	4	3
80	так как	8	3
81	в основе	2	2
82	перед нами	2	2
83	в этих	13	2
84	на том	2	2
85	в качестве	3	2
86	не столько	3	2
87	точно так	2	2
88	причем в	2	2
89	к этому	2	2
90	в литературе	2	2
91	что и	8	2
92	что его	2	2
93	об этом	6	2
94	так что	3	2
95	не в	9	2
96	одна из	7	2
97	отсюда же	2	2
98	того же	2	2
99	тот же	2	2
100	из них	2	2
101	только на	2	2
102	в одной	2	2
103	к ней	2	2
104	и когда	2	2
105	если в	2	2
106	герой в	2	2
107	здесь нет	3	2
108	и тем	2	2
109	тем не	4	2
110	не будет	2	2
111	когда он	3	2
112	вместе с	7	2
113	данном случае	3	2
114	так и	5	2
115	него есть	2	2
116	что она	5	2
117	здесь мы	5	2
118	что не	2	2
119	и у	2	2
120	и наконец	3	2
121	и он	3	2
122	или в	8	2
123	сказать что	2	2
124	но он	2	2
125	известно что	2	2
126	в данном	4	2
127	в один	2	2
128	при помощи	3	2
129	героя и	5	2
130	в чем	5	2
