N	2gram	Berdyaev_M_2	Myshleni
1	в этом	20	29
2	точки зрения	2	28
3	и в	46	26
4	не только	18	24
5	то что	5	24
6	того чтобы	4	19
7	в том	3	18
8	и не	18	18
9	для того	5	18
10	том что	4	17
11	потому что	12	16
12	как и	13	15
13	того что	6	14
14	так же	6	14
15	так как	8	14
16	что в	4	12
17	вместе с	2	12
18	и его	5	12
19	в которой	2	11
20	но и	15	11
21	не может	15	11
22	что они	3	10
23	по своей	3	10
24	тому что	4	9
25	в самом	5	9
26	в сущности	2	9
27	тем что	3	9
28	в себе	10	9
29	же как	3	8
30	то же	5	8
31	что она	5	8
32	сказать что	3	8
33	что он	7	8
34	ее в	2	8
35	той же	3	8
36	только в	3	8
37	к тому	5	7
38	прежде всего	12	7
39	может быть	21	7
40	и к	7	7
41	вопрос о	6	6
42	по отношению	2	6
43	как бы	8	6
44	все что	4	6
45	и что	2	6
46	во всех	2	6
47	а не	13	6
48	что это	6	6
49	до конца	4	5
50	если бы	3	5
51	и с	3	5
52	себе в	2	5
53	бы в	2	5
54	тогда когда	2	5
55	она не	8	5
56	отношению к	2	5
57	и для	7	5
58	никогда не	18	4
59	в нашем	7	4
60	что у	4	4
61	и от	3	4
62	в конце	5	4
63	в такой	3	4
64	так что	2	4
65	друг друга	12	4
66	и во	3	4
67	в его	5	4
68	о том	3	4
69	но в	10	4
70	связи с	2	4
71	чем в	2	4
72	не есть	13	4
73	как в	7	4
74	это и	3	4
75	должны быть	4	4
76	не в	9	4
77	это есть	2	4
78	связана с	7	3
79	я не	5	3
80	для этого	4	3
81	это не	5	3
82	но это	8	3
83	есть в	3	3
84	момент в	3	3
85	для него	18	3
86	в ней	11	3
87	в основе	2	3
88	его с	2	3
89	как к	2	3
90	только и	4	3
91	в мысли	2	3
92	он не	10	3
93	с ним	3	3
94	чем у	4	3
95	были бы	2	3
96	с собой	2	3
97	не означает	2	3
98	к другому	3	3
99	в пределе	2	3
100	по себе	2	3
101	есть не	5	3
102	во всем	5	3
103	до сих	3	3
104	привести к	5	3
105	и потому	7	3
106	что и	4	3
107	в своей	5	3
108	сих пор	3	3
109	так и	4	3
110	менее всего	3	3
111	к нему	2	3
112	мы видим	2	3
113	в этой	7	3
114	в чем	3	3
115	уже в	2	2
116	можно ли	3	2
117	себя и	3	2
118	в этих	2	2
119	что все	5	2
120	ни в	3	2
121	в свою	4	2
122	в действительности	2	2
123	на его	2	2
124	не мог	3	2
125	и той	2	2
126	но для	2	2
127	один из	5	2
128	в нем	22	2
129	отношение к	8	2
130	и против	3	2
131	которое было	2	2
132	отношения к	2	2
133	и других	2	2
134	лишь в	2	2
135	не имеет	4	2
136	должно быть	2	2
137	а в	2	2
138	в своих	3	2
139	в любви	8	2
140	также и	4	2
141	он понял	2	2
142	но он	11	2
143	и есть	8	2
144	но этот	2	2
145	его в	3	2
146	что было	3	2
147	но эта	2	2
148	и здесь	6	2
149	у нас	11	2
150	то в	2	2
151	нельзя было	2	2
152	другу и	2	2
153	к ней	2	2
154	к другу	5	2
155	что же	2	2
156	в отношении	5	2
157	того как	3	2
158	не до	2	2
159	но с	2	2
160	одной и	2	2
161	и она	3	2
162	говорит что	2	2
163	что не	2	2
164	и он	11	2
165	можно было	2	2
166	нас в	2	2
167	на деле	4	2
168	с другим	3	2
169	вопроса о	4	2
170	которые в	2	2
171	ничего не	2	2
