N	2gram	Bakhtin_Pr_1	Tvorches
1	и в	38	20
2	в романе	4	15
3	не только	9	13
4	и т	14	13
5	никогда не	5	11
6	как бы	22	11
7	в его	43	10
8	таким образом	10	10
9	в то	4	10
10	и его	16	9
11	и не	42	9
12	прежде всего	13	8
13	в том	8	8
14	при этом	5	8
15	ивана карамазова	2	8
16	но и	9	8
17	может быть	26	8
18	в этом	15	8
19	и с	17	8
20	это не	5	7
21	же время	3	7
22	что в	7	7
23	не может	27	7
24	то же	5	7
25	что он	2	6
26	как и	7	6
27	в целом	3	6
28	в своей	7	6
29	так и	5	6
30	все это	3	6
31	а не	5	6
32	в мире	3	5
33	но это	3	5
34	еще не	7	5
35	но не	12	5
36	например в	3	5
37	все же	6	5
38	и даже	3	5
39	и на	3	5
40	о том	4	5
41	то есть	46	5
42	и от	3	4
43	том что	3	4
44	в дальнейшем	3	4
45	отнюдь не	19	4
46	хотя и	3	4
47	как в	4	4
48	в известной	3	4
49	все эти	5	4
50	тем самым	4	4
51	не в	7	4
52	а в	6	4
53	в чем	2	4
54	и потому	4	4
55	ничего не	6	4
56	если бы	3	4
57	но в	4	4
58	место в	8	3
59	к этому	2	3
60	с ним	5	3
61	но зато	2	3
62	характера и	2	3
63	отношению к	19	3
64	одна из	2	3
65	что не	4	3
66	одной из	3	3
67	в самом	7	3
68	в область	3	3
69	он не	3	3
70	в котором	2	3
71	и др	8	3
72	не является	3	3
73	в нем	15	3
74	то что	8	3
75	и это	3	3
76	в их	10	3
77	по отношению	21	3
78	человека в	2	3
79	в таком	3	3
80	тем что	2	3
81	в своих	2	3
82	в себе	4	3
83	в начале	2	3
84	его в	9	3
85	в плане	7	3
86	между тем	7	3
87	нас за	3	2
88	ни к	2	2
89	не менее	4	2
90	и есть	2	2
91	с другой	7	2
92	я не	2	2
93	вовсе не	2	2
94	от ее	2	2
95	и ее	2	2
96	в ее	4	2
97	в искусстве	12	2
98	у нас	2	2
99	более того	4	2
100	к миру	3	2
101	проникает в	2	2
102	в частности	2	2
103	относится и	2	2
104	том же	2	2
105	человеческой культуры	6	2
106	нет и	3	2
107	точка зрения	3	2
108	не могли	2	2
109	себя в	2	2
110	в истории	2	2
111	на него	3	2
112	приводит к	3	2
113	в отличие	5	2
114	т п	13	2
115	бы не	2	2
116	не было	2	2
117	и других	2	2
118	самом деле	6	2
119	и что	2	2
120	связь с	3	2
121	и у	2	2
122	и наконец	6	2
123	другой стороны	4	2
124	и он	2	2
125	особенно в	2	2
126	рядом с	5	2
127	с другими	3	2
128	с ними	4	2
129	в основе	5	2
130	в виде	2	2
131	могут быть	5	2
132	говорить о	3	2
133	и вообще	2	2
134	и только	4	2
135	только в	13	2
136	в россии	2	2
137	едва ли	3	2
138	познания и	30	2
139	отличие от	5	2
140	к которому	4	2
141	быть поняты	2	2
