N	2gram	Propp_Isto_1	VrazhdaK
1	не только	12	9
2	в этом	8	8
3	и что	10	8
4	и в	28	8
5	но и	10	7
6	что в	12	7
7	то что	9	7
8	в котором	3	6
9	в нем	2	6
10	все же	10	6
11	и даже	4	6
12	как и	4	6
13	в начале	3	6
14	но в	8	6
15	и с	4	6
16	о нем	2	6
17	то же	12	5
18	и не	9	5
19	об этом	4	5
20	между тем	2	5
21	в то	3	5
22	для нас	13	4
23	как бы	2	4
24	все это	4	4
25	это не	7	4
26	что он	10	4
27	так же	7	4
28	с ним	2	4
29	может быть	25	4
30	при этом	3	4
31	о том	9	4
32	в ней	7	4
33	я не	3	3
34	связи с	4	3
35	в своем	5	3
36	в связи	4	3
37	т е	10	3
38	к этому	2	3
39	на то	4	3
40	в том	9	3
41	и его	3	3
42	том что	7	3
43	и как	2	3
44	тем что	3	3
45	в его	5	3
46	в русской	2	3
47	его в	6	3
48	наряду с	3	3
49	одним из	2	3
50	он не	2	3
51	а с	2	2
52	из них	3	2
53	не менее	6	2
54	никогда не	14	2
55	вместе с	6	2
56	его и	2	2
57	столь же	2	2
58	как раз	2	2
59	так в	4	2
60	не может	15	2
61	а в	7	2
62	отношения к	2	2
63	таким образом	8	2
64	но это	4	2
65	там же	2	2
66	уже не	3	2
67	на первый	2	2
68	и он	3	2
69	же не	3	2
70	мы знаем	4	2
71	на основе	5	2
72	этот момент	2	2
73	в этой	6	2
74	об этой	2	2
75	же как	2	2
76	их в	5	2
77	ко мне	2	2
78	в себе	2	2
79	для него	2	2
80	еще не	7	2
81	во время	3	2
82	на это	2	2
83	при помощи	2	2
84	ответ на	2	2
85	одна из	2	2
86	к ним	4	2
