N	2gram	Potebnia_M_4	PoTuStor
1	может быть	26	17
2	и в	23	16
3	таким образом	24	9
4	и проч	18	9
5	в этом	23	9
6	мы можем	10	9
7	и только	3	9
8	и его	2	8
9	и с	4	8
10	точки зрения	4	8
11	не может	11	8
12	в сознание	2	7
13	сказать что	8	7
14	не только	10	7
15	и это	2	6
16	и к	6	6
17	с точки	3	6
18	самом деле	3	6
19	для него	5	6
20	при этом	15	6
21	конечно не	2	6
22	только для	2	5
23	отношение к	2	5
24	все эти	3	5
25	что такое	7	5
26	еще не	3	5
27	как бы	5	5
28	самого начала	2	4
29	в нем	7	4
30	и их	3	4
31	но и	11	4
32	так и	6	4
33	все это	5	4
34	хотя бы	4	4
35	и все	4	4
36	мысли и	7	4
37	так как	14	4
38	и не	18	4
39	на самом	3	4
40	как мы	2	4
41	но мы	2	4
42	можно сказать	4	4
43	и даже	2	4
44	с ними	3	4
45	и на	3	4
46	все что	2	4
47	и может	4	4
48	только в	15	4
49	его в	4	4
50	но в	8	4
51	в его	5	4
52	во время	2	3
53	и значение	3	3
54	в этих	3	3
55	что в	17	3
56	и есть	3	3
57	и др	2	3
58	могут быть	7	3
59	вместе с	6	3
60	сих пор	4	3
61	даже не	2	3
62	в большинстве	2	3
63	в одном	4	3
64	те же	3	3
65	большинстве случаев	2	3
66	и притом	2	3
67	крайней мере	5	3
68	в том	23	3
69	а в	5	3
70	том что	12	3
71	и как	2	3
72	с другими	4	3
73	то что	29	3
74	их в	3	3
75	по крайней	5	3
76	только как	4	3
77	только на	4	3
78	если б	4	3
79	представлений и	2	3
80	в области	2	3
81	во всяком	5	3
82	и потому	10	3
83	до сих	4	3
84	между ними	4	3
85	всяком случае	3	3
86	не существует	2	2
87	в голову	2	2
88	не менее	5	2
89	может иметь	2	2
90	один из	2	2
91	не могут	2	2
92	что и	7	2
93	не есть	9	2
94	не будет	3	2
95	другими словами	8	2
96	никогда не	3	2
97	что не	6	2
98	а может	2	2
99	в них	3	2
100	если мы	2	2
101	находится в	5	2
102	оно не	2	2
103	и так	3	2
104	из этих	2	2
105	и таким	3	2
106	с этим	7	2
107	то же	14	2
108	с нею	3	2
109	быть может	4	2
110	и других	3	2
111	что он	4	2
112	мы не	8	2
113	что на	2	2
114	что мы	10	2
115	в науке	3	2
116	можем сказать	2	2
117	и по	3	2
118	и для	2	2
119	нам кажется	2	2
120	для нас	14	2
121	как и	14	2
122	мы видим	2	2
123	так же	4	2
124	но это	3	2
125	есть в	5	2
126	мы уже	3	2
127	это последнее	4	2
128	по своему	2	2
129	он не	2	2
130	и говорить	2	2
131	есть и	2	2
132	между собою	4	2
133	в каком	4	2
134	не можем	5	2
135	нашего времени	3	2
136	говорить о	5	2
137	и вообще	2	2
138	ту же	3	2
139	было бы	8	2
140	что это	7	2
141	и мы	5	2
142	о том	8	2
143	из тех	2	2
144	в самом	3	2
145	во сне	2	2
146	и о	4	2
147	к другим	2	2
148	с ним	5	2
149	к ним	2	2
150	можно назвать	2	2
151	из сказанного	3	2
152	для меня	10	2
