N	2gram	Tiupa_Lite_3	Problemy
1	и в	16	46
2	то есть	5	40
3	и не	22	27
4	может быть	12	23
5	как бы	8	19
6	не может	8	19
7	в нем	2	17
8	в этом	14	16
9	не только	14	14
10	и т.п	6	14
11	но и	14	12
12	как и	5	12
13	как мы	2	12
14	и на	2	11
15	точки зрения	7	11
16	в одном	4	11
17	а не	12	11
18	не в	10	10
19	прежде всего	3	9
20	в том	12	9
21	в самом	3	9
22	и к	3	9
23	в его	6	9
24	с точки	3	9
25	и с	2	7
26	по себе	2	7
27	еще не	6	7
28	как раз	2	7
29	в себе	6	7
30	никогда не	4	6
31	хотя и	4	6
32	к себе	8	6
33	о нем	2	6
34	но в	3	6
35	что он	5	6
36	что я	5	6
37	в романе	3	6
38	то же	9	6
39	и его	6	6
40	только в	7	6
41	это не	5	5
42	же время	7	5
43	при этом	15	5
44	и сам	2	5
45	жизни и	3	5
46	по отношению	4	5
47	в то	9	5
48	в жизни	8	5
49	с его	6	5
50	о том	6	5
51	отношению к	4	5
52	во всех	2	5
53	том числе	3	4
54	что в	2	4
55	можно сказать	2	4
56	до конца	4	4
57	например в	3	4
58	в словах	3	4
59	еще и	2	4
60	и наконец	3	4
61	должно быть	4	4
62	потому что	3	4
63	он и	2	4
64	не знает	2	4
65	как в	5	4
66	том что	8	4
67	но не	4	4
68	совершенно не	3	4
69	все же	2	4
70	то что	12	4
71	своего рода	10	4
72	так и	9	4
73	себе самому	3	4
74	уже не	3	4
75	самом деле	3	4
76	на себя	2	4
77	здесь не	2	4
78	себя и	2	3
79	с другой	6	3
80	на то	2	3
81	в мире	16	3
82	мы и	2	3
83	числе и	2	3
84	одним из	4	3
85	то это	2	3
86	и для	4	3
87	отношение к	2	3
88	другой стороны	2	3
89	так же	2	3
90	и только	2	3
91	и даже	2	3
92	в конце	2	3
93	если бы	2	3
94	в единстве	3	3
95	не как	2	3
96	с ее	3	3
97	по существу	4	3
98	более того	3	3
99	и при	2	3
100	так чтобы	2	3
101	по своей	3	3
102	того же	2	3
103	было бы	2	3
104	в своей	7	3
105	что и	2	3
106	себя в	7	3
107	в отличие	5	3
108	той же	3	3
109	в слове	3	3
110	тем что	2	3
111	в этой	8	3
112	далеко не	2	3
113	установка на	2	3
114	отличие от	5	3
115	жизни не	2	2
116	не менее	2	2
117	и одновременно	2	2
118	вопрос о	2	2
119	или иной	2	2
120	человек с	2	2
121	к тому	6	2
122	все время	3	2
123	и как	3	2
124	для него	2	2
125	той или	2	2
126	и тем	3	2
127	в первой	2	2
128	к жизни	2	2
129	отношения к	3	2
130	лишь в	5	2
131	а в	5	2
132	самим собой	3	2
133	между тем	3	2
134	сознания и	2	2
135	и другого	2	2
136	стороны и	2	2
137	но с	2	2
138	раз в	2	2
139	у нас	2	2
140	в присутствии	2	2
141	когда он	2	2
142	вместе с	5	2
143	бы и	3	2
144	в данном	4	2
145	автора и	2	2
146	в другом	6	2
147	в поэзии	5	2
148	там где	3	2
149	одном из	2	2
