N	2gram	Bakhtin_Pr_3	VelikijI
1	великого инквизитора	2	36
2	и не	29	20
3	и в	34	16
4	то что	11	9
5	так как	4	9
6	еще не	4	8
7	что они	6	7
8	и потому	2	7
9	а не	9	7
10	в мире	4	5
11	хотя и	3	5
12	как бы	27	5
13	но и	12	5
14	все это	16	5
15	того что	5	5
16	в силах	2	4
17	что все	4	4
18	что он	23	4
19	в нем	19	4
20	как и	18	4
21	в котором	3	4
22	так и	6	4
23	что не	7	4
24	потому что	12	4
25	в этом	16	4
26	в ней	3	4
27	говорить о	3	4
28	и все	19	4
29	в его	22	4
30	с его	6	3
31	если не	3	3
32	что в	7	3
33	в них	2	3
34	в конце	5	3
35	в жизни	2	3
36	ни в	4	3
37	в том	3	3
38	не в	9	3
39	но это	4	3
40	за ним	2	3
41	что я	15	3
42	тот же	2	3
43	к тому	5	3
44	во всех	2	3
45	никогда не	8	3
46	что и	5	3
47	жизни и	3	3
48	в своей	3	3
49	бы и	4	3
50	тому что	2	3
51	не было	2	3
52	лишь в	5	3
53	и что	5	3
54	к чему	2	3
55	хотя бы	5	3
56	и для	8	3
57	должно быть	3	3
58	их в	3	3
59	все эти	4	3
60	что ты	5	3
61	в чем	5	3
62	но в	16	3
63	же ты	2	3
64	с тем	5	2
65	человека как	4	2
66	его и	3	2
67	это не	5	2
68	прежде всего	15	2
69	его к	3	2
70	да и	4	2
71	том что	3	2
72	а к	2	2
73	мы и	2	2
74	когда я	5	2
75	от него	6	2
76	но не	4	2
77	в последнем	2	2
78	конечно не	2	2
79	для него	13	2
80	и сам	5	2
81	ивана карамазова	3	2
82	и во	3	2
83	не только	10	2
84	нет и	3	2
85	один из	2	2
86	не с	2	2
87	и т	8	2
88	в форме	2	2
89	т д	2	2
90	а с	3	2
91	все равно	4	2
92	тем что	4	2
93	уже не	2	2
94	материалом для	2	2
95	а в	5	2
96	с ним	8	2
97	и то	3	2
98	между тем	3	2
99	самого себя	2	2
100	только в	6	2
101	и это	4	2
102	во всяком	5	2
103	а между	3	2
