N	2gram	Potebnia_M_1	Freidism
1	таким образом	13	24
2	и не	18	23
3	не может	22	20
4	точки зрения	8	19
5	прежде всего	4	18
6	в этом	15	15
7	в его	5	15
8	в душе	11	13
9	мы можем	2	13
10	может быть	27	13
11	и его	5	12
12	как и	9	11
13	как бы	6	11
14	то что	10	11
15	с точки	3	11
16	и потому	5	10
17	так и	13	10
18	как мы	2	10
19	жизни человека	2	10
20	с ним	3	10
21	но в	9	10
22	и в	39	9
23	во всех	5	9
24	по отношению	13	9
25	все что	2	8
26	отношению к	13	8
27	еще не	6	8
28	в своей	3	8
29	он не	3	8
30	не только	21	8
31	то же	6	8
32	только в	25	8
33	и все	3	8
34	оно и	3	8
35	так как	21	8
36	во всяком	3	7
37	мы видели	4	7
38	в самом	3	7
39	что же	2	7
40	сказать что	3	7
41	никогда не	4	6
42	вовсе не	5	6
43	для него	4	6
44	за пределы	2	6
45	того что	8	6
46	в ней	7	6
47	так сказать	2	6
48	хотя бы	2	6
49	и с	3	6
50	связь с	2	5
51	в свою	4	5
52	не в	15	5
53	в этой	3	5
54	для этого	2	5
55	в то	4	5
56	что в	22	5
57	но и	20	5
58	по мнению	3	5
59	для того	3	5
60	а в	5	5
61	могут быть	9	5
62	с этим	7	5
63	в каком	6	5
64	мы должны	3	5
65	не менее	6	4
66	но не	8	4
67	в этих	7	4
68	то ни	3	4
69	из этих	4	4
70	в жизни	3	4
71	если мы	3	4
72	в собственном	2	4
73	к тому	4	4
74	же время	4	4
75	при этом	6	4
76	и о	2	4
77	от того	4	4
78	в нем	20	4
79	все же	6	4
80	на основании	2	4
81	не было	4	4
82	уже не	2	4
83	того чтобы	2	4
84	с самого	3	4
85	и для	5	4
86	в которой	2	4
87	той же	3	4
88	мы не	10	4
89	в таком	5	4
90	этот вопрос	2	4
91	потому что	52	4
92	в более	4	4
93	не могут	4	3
94	самого начала	3	3
95	нисколько не	2	3
96	если бы	14	3
97	и есть	2	3
98	тому что	3	3
99	в них	3	3
100	во втором	5	3
101	и от	3	3
102	что все	3	3
103	а только	4	3
104	в себе	13	3
105	и как	6	3
106	но это	5	3
107	по поводу	3	3
108	она не	3	3
109	и может	2	3
110	было бы	12	3
111	и той	3	3
112	из которого	3	3
113	с ее	2	3
114	бы то	2	3
115	только то	2	3
116	жизни и	2	3
117	на него	3	3
118	вместе с	8	3
119	со стороны	8	3
120	как в	10	3
121	мысли и	9	3
122	одной и	3	3
123	и что	10	3
124	свою очередь	4	3
125	этой теории	4	3
126	на этот	2	3
127	и по	6	3
128	ничего общего	2	3
129	слова и	4	3
130	таком случае	2	3
131	в сознании	3	3
132	зависит от	5	2
133	но все	2	2
134	только не	2	2
135	что это	3	2
136	для всех	5	2
137	что бы	2	2
138	для себя	3	2
139	того же	3	2
140	с другой	7	2
141	это не	7	2
142	оно не	3	2
143	стремление к	2	2
144	не можем	2	2
145	чувства и	13	2
146	не нуждается	2	2
147	тем не	6	2
148	для нас	9	2
149	влияние на	2	2
150	ни было	2	2
151	том что	16	2
152	них не	2	2
153	самого себя	4	2
154	во внутренней	3	2
155	не существует	2	2
156	а не	21	2
157	одной стороны	3	2
158	душевной жизни	9	2
159	к другим	2	2
160	что мы	4	2
161	но если	2	2
162	относится к	3	2
163	в своем	3	2
164	для нее	2	2
165	только для	3	2
166	все они	2	2
167	в их	2	2
168	только на	3	2
169	в нас	7	2
170	что как	3	2
171	с одной	3	2
172	что оно	2	2
173	сознания в	2	2
174	а потому	10	2
175	из того	2	2
176	чтобы не	2	2
177	заметить что	2	2
178	должны быть	7	2
179	тем же	2	2
180	и даже	4	2
181	и притом	4	2
182	так же	5	2
183	как на	3	2
184	мы видим	4	2
185	в таких	2	2
186	и то	3	2
187	нуждается в	2	2
188	в своих	4	2
189	что и	6	2
190	и при	3	2
191	но как	3	2
192	и вообще	3	2
193	речи и	10	2
194	все то	2	2
195	при помощи	2	2
196	в первом	5	2
197	и самое	2	2
198	когда мы	2	2
199	же с	7	2
200	в виду	2	2
201	возможно только	5	2
