N	3gram	Losev_Prob_2	Myslijsy
1	в том что	4	7
2	до тех пор	4	6
3	само по себе	2	5
4	по крайней мере	6	5
5	о том что	14	5
6	в этом случае	7	5
7	не может быть	3	5
8	можно сказать что	3	4
9	то же самое	5	4
10	только тогда когда	3	4
11	и в этом	3	4
12	тем не менее	12	4
13	до сих пор	4	4
14	и то что	7	4
15	для того чтобы	2	4
16	на то что	4	4
17	не есть только	4	3
18	во всяком случае	10	3
19	не только не	2	3
20	слова то есть	2	3
21	в то же	4	3
22	и т д	6	3
23	в том случае	2	3
24	на самом деле	2	3
25	когда мы говорим	2	3
26	в языке и	4	3
27	сами по себе	2	2
28	то что она	2	2
29	есть то что	2	2
30	так или иначе	6	2
31	бы не было	3	2
32	в данном случае	5	2
33	хотя бы и	3	2
34	не что иное	3	2
35	можно было говорить	2	2
36	в таком случае	10	2
37	подобно тому как	2	2
38	один и тот	2	2
39	вопрос о том	2	2
40	то есть в	2	2
41	и тот же	2	2
42	если бы не	3	2
43	только в том	4	2
44	что иное как	3	2
