N	2gram	Tiupa_Lite_3	EvropaiE
1	и в	16	37
2	точки зрения	7	23
3	что в	2	21
4	не только	14	18
5	с точки	3	17
6	в то	9	16
7	то же	9	15
8	в качестве	5	14
9	же время	7	14
10	но и	14	14
11	и не	22	14
12	но в	3	14
13	в этом	14	12
14	в том	12	11
15	в области	3	11
16	так и	9	10
17	отнюдь не	3	9
18	прежде всего	3	9
19	все более	2	9
20	не может	8	9
21	в себе	6	9
22	только в	7	9
23	так же	2	9
24	к тому	6	8
25	в ее	5	8
26	одной стороны	4	8
27	было бы	2	8
28	в своей	7	8
29	с одной	4	8
30	между тем	3	8
31	как и	5	7
32	того что	9	7
33	и выше	2	7
34	а также	4	7
35	с другой	6	7
36	с этой	2	6
37	том что	8	6
38	стороны и	2	6
39	может быть	12	6
40	вслед за	3	6
41	для того	2	6
42	на то	2	6
43	как бы	8	6
44	то что	12	6
45	во всех	2	6
46	того чтобы	2	6
47	и даже	2	6
48	и на	2	6
49	то есть	5	6
50	в частности	11	5
51	не в	10	5
52	но не	4	5
53	со стороны	7	5
54	как мы	2	5
55	тем самым	7	5
56	и потому	2	5
57	ни было	2	4
58	то ни	2	4
59	именно в	5	4
60	вопрос о	2	4
61	или иной	2	4
62	можно сказать	2	4
63	бы то	2	4
64	несмотря на	2	4
65	в самом	3	4
66	то в	3	4
67	той или	2	4
68	даже в	4	4
69	по себе	2	4
70	как это	3	4
71	мира в	3	4
72	место в	4	3
73	и к	3	3
74	этом отношении	5	3
75	никогда не	4	3
76	жизни в	4	3
77	на себя	2	3
78	представляет собой	2	3
79	в свою	2	3
80	того же	2	3
81	из них	4	3
82	и тем	3	3
83	что и	2	3
84	во второй	2	3
85	когда он	2	3
86	время в	2	3
87	ее в	2	3
88	бы и	3	3
89	как в	5	3
90	и только	2	3
91	и для	4	3
92	как на	3	3
93	потому что	3	3
94	тем что	2	3
95	в данном	4	3
96	о том	6	3
97	всего лишь	5	3
98	там где	3	3
99	мира и	2	3
100	а не	12	2
101	в случае	2	2
102	не означает	2	2
103	во втором	2	2
104	в одном	4	2
105	одном из	2	2
106	большей части	2	2
107	из того	2	2
108	же в	2	2
109	и как	3	2
110	в сторону	3	2
111	не говоря	4	2
112	и если	4	2
113	но еще	2	2
114	нас к	2	2
115	в его	6	2
116	говоря уже	4	2
117	в мире	16	2
118	жизни и	3	2
119	вместе с	5	2
120	данном случае	4	2
121	во всей	2	2
122	а в	5	2
123	если бы	2	2
124	но с	2	2
125	а именно	5	2
126	и наконец	3	2
127	другой стороны	2	2
128	в своих	2	2
129	и с	2	2
130	хотя и	4	2
131	в этой	8	2
132	по своей	3	2
133	как будто	4	2
134	далеко не	2	2
