N	2gram	Losev_Prob_2	Sovremen
1	не может	13	17
2	точки зрения	2	12
3	может быть	18	12
4	таким образом	4	11
5	мы не	7	9
6	не можем	4	7
7	в этом	17	7
8	и в	35	7
9	каждый раз	3	6
10	и не	37	6
11	как и	5	6
12	в результате	4	6
13	мы можем	6	6
14	ничего не	10	6
15	что же	9	5
16	прежде всего	11	5
17	все эти	7	5
18	и наконец	3	5
19	в условиях	2	5
20	как бы	4	4
21	нет и	3	4
22	если мы	9	4
23	в целом	3	4
24	вместе с	2	4
25	в зависимости	2	4
26	а в	4	4
27	вопрос о	3	4
28	не только	24	4
29	же это	5	4
30	в том	12	4
31	их в	4	4
32	мы должны	3	4
33	зависимости от	2	4
34	так как	7	4
35	в системе	2	3
36	уже в	3	3
37	состоит из	2	3
38	но мы	3	3
39	самого начала	2	3
40	все же	8	3
41	на этой	2	3
42	отнюдь не	5	3
43	при таком	2	3
44	между собой	5	3
45	все это	4	3
46	отличается от	2	3
47	в конце	7	3
48	то же	5	3
49	ясно что	8	3
50	а не	10	3
51	и к	3	3
52	этим мы	2	3
53	для нас	9	3
54	у нас	18	3
55	когда мы	6	3
56	с самого	3	3
57	не в	2	3
58	в этой	9	3
59	одна из	3	3
60	еще не	10	3
61	ли мы	2	3
62	при этом	3	3
63	было бы	8	3
64	и мы	2	3
65	и все	5	3
66	в себе	5	3
67	в области	6	3
68	что она	4	3
69	но в	6	3
70	ведь это	2	3
71	совершенно не	2	2
72	в настоящее	16	2
73	же мы	2	2
74	только один	3	2
75	может иметь	2	2
76	не могут	4	2
77	не знаем	3	2
78	не менее	13	2
79	и есть	4	2
80	в виде	6	2
81	не будем	4	2
82	значение в	4	2
83	быть и	2	2
84	в нашем	3	2
85	как угодно	3	2
86	то и	4	2
87	из этих	3	2
88	о значении	3	2
89	что все	6	2
90	говорить об	3	2
91	с одной	5	2
92	еще более	2	2
93	как мы	5	2
94	уже не	8	2
95	или иной	5	2
96	самом деле	4	2
97	и что	13	2
98	роль в	2	2
99	что при	4	2
100	в и	2	2
101	из которых	2	2
102	что такое	18	2
103	говорим о	3	2
104	и даже	11	2
105	и по	3	2
106	тем не	12	2
107	той же	2	2
108	то ни	3	2
109	в таком	11	2
110	но все	2	2
111	тот или	5	2
112	во всяком	13	2
113	с этим	5	2
114	что в	11	2
115	настоящее время	16	2
116	говорить о	10	2
117	тот же	4	2
118	же самое	6	2
119	которой он	4	2
120	это за	2	2
121	если же	3	2
122	такого рода	15	2
123	в самом	5	2
124	в науке	3	2
125	в его	7	2
126	всяком случае	10	2
