N	2gram	Voloshinov_1	Myslijsy
1	в том	3	32
2	и в	16	30
3	может быть	17	28
4	то же	2	23
5	не только	7	21
6	только в	4	21
7	для нас	2	20
8	но и	4	19
9	том что	3	18
10	то что	3	18
11	что в	3	17
12	не есть	2	17
13	и проч	9	16
14	и не	4	15
15	таким образом	9	14
16	что и	2	13
17	так как	4	13
18	вместе с	3	12
19	а в	3	12
20	так и	4	11
21	что оно	2	11
22	в душе	2	10
23	как и	2	10
24	в этом	9	10
25	из этих	2	9
26	для него	6	9
27	было бы	2	9
28	в нем	4	9
29	мы не	2	9
30	в самом	2	8
31	что не	2	8
32	что мы	2	8
33	как мы	4	7
34	в сознание	7	7
35	но оно	3	6
36	и теперь	3	6
37	а потому	4	6
38	что он	2	6
39	но это	2	6
40	с этим	2	6
41	между собою	2	6
42	те же	3	6
43	не может	8	6
44	с ним	2	6
45	не могут	2	5
46	в них	2	5
47	по крайней	3	5
48	в каком	2	5
49	и как	3	5
50	еще не	5	5
51	только как	3	5
52	крайней мере	3	5
53	если б	3	5
54	не менее	2	5
55	с другими	3	5
56	сказать что	7	5
57	что это	2	4
58	оно не	2	4
59	все это	4	4
60	все что	4	4
61	в его	4	4
62	себя и	2	4
63	один из	2	4
64	и его	8	4
65	он не	2	4
66	для сознания	3	4
67	и по	2	4
68	в один	4	4
69	и это	6	4
70	и потому	3	4
71	для меня	2	4
72	не существует	2	3
73	быть может	2	3
74	и есть	3	3
75	могут быть	3	3
76	прежде всего	9	3
77	и все	4	3
78	к этому	2	3
79	не можем	2	3
80	я и	6	3
81	и оно	3	3
82	есть в	2	3
83	не будет	2	3
84	мы можем	9	3
85	до сих	3	3
86	можно сказать	4	3
87	при этом	6	3
88	и может	4	3
89	как бы	5	3
90	чувства и	2	3
91	только на	3	3
92	в одно	2	3
93	все остальные	2	3
94	так же	2	3
95	и на	4	3
96	говорить о	2	3
97	в начале	2	3
98	и вообще	2	3
99	не знает	2	3
100	его в	4	3
101	в чем	5	3
102	сих пор	3	3
103	во время	3	2
104	с сознанием	3	2
105	в одном	3	2
106	с нею	2	2
107	нам кажется	2	2
108	это последнее	2	2
109	отношение к	5	2
110	мы видим	2	2
111	в этой	4	2
112	по своему	2	2
113	но как	2	2
114	у него	2	2
115	и мы	2	2
116	и о	2	2
117	мы уже	2	2
118	в свое	2	2
119	за пределы	2	2
120	но мы	4	2
121	жизни и	3	2
122	в своей	2	2
123	образов и	2	2
124	мысли и	4	2
125	и содержание	2	2
126	самом деле	6	2
127	что такое	5	2
128	и наконец	4	2
129	и даже	4	2
130	и притом	3	2
131	с этой	2	2
132	понятия и	2	2
133	их в	3	2
134	ни в	5	2
135	точки зрения	8	2
136	из сказанного	2	2
137	о том	2	2
138	в области	3	2
139	и с	8	2
