N	2gram	Vygotskiy__6	Vladivir
1	и в	28	30
2	то что	28	20
3	в этом	27	20
4	у него	2	19
5	в том	28	18
6	и не	11	18
7	что он	18	13
8	в конце	2	13
9	том что	19	12
10	что в	17	12
11	не только	16	12
12	в его	3	11
13	а в	2	11
14	как мы	10	11
15	сказать что	13	11
16	и вообще	2	10
17	не в	4	9
18	для него	6	9
19	было бы	9	9
20	все же	2	9
21	потому что	22	9
22	не может	19	9
23	в то	6	9
24	связи с	3	8
25	в своем	7	8
26	вместе с	7	8
27	но и	10	8
28	в связи	2	8
29	но в	5	8
30	не менее	2	7
31	никогда не	8	7
32	точки зрения	13	7
33	и все	5	7
34	до конца	3	7
35	может быть	13	7
36	для нас	2	7
37	а не	3	7
38	как это	3	7
39	хотя и	3	6
40	прежде всего	2	6
41	и к	6	6
42	у нас	2	6
43	то время	6	6
44	только в	18	6
45	в себе	4	6
46	и его	3	6
47	и то	4	5
48	по себе	3	5
49	как и	6	5
50	так что	6	5
51	то в	5	5
52	при этом	3	5
53	того же	7	5
54	но что	4	5
55	в своей	2	5
56	как бы	11	5
57	в котором	2	5
58	так и	6	5
59	все это	2	5
60	с этим	4	5
61	это мы	3	5
62	и что	6	5
63	того что	24	5
64	все эти	2	5
65	так как	10	5
66	с ним	2	5
67	из этого	2	5
68	с его	3	4
69	именно в	4	4
70	с этой	2	4
71	эти последние	2	4
72	я не	4	4
73	его в	6	4
74	можно сказать	6	4
75	мы знаем	4	4
76	в этой	5	4
77	в целом	3	4
78	на его	3	4
79	несмотря на	2	4
80	он не	7	4
81	в нем	7	4
82	в этих	2	4
83	то же	7	4
84	и наконец	2	4
85	на этот	4	4
86	так же	15	4
87	той же	4	4
88	и на	5	4
89	но это	2	4
90	мы должны	3	4
91	в которой	7	4
92	отношение к	7	4
93	должен был	3	3
94	в них	3	3
95	в отношении	10	3
96	из этих	3	3
97	это в	2	3
98	что и	4	3
99	по существу	2	3
100	и как	6	3
101	что я	2	3
102	но не	10	3
103	в данном	2	3
104	том же	5	3
105	с точки	10	3
106	во всех	4	3
107	как в	3	3
108	отношения к	3	3
109	таким образом	18	3
110	само собой	2	3
111	те же	3	3
112	а это	3	3
113	но он	2	3
114	когда мы	6	3
115	в области	6	3
116	не могли	5	3
117	он сам	2	2
118	еще в	2	2
119	с тем	5	2
120	казалось бы	2	2
121	мыслей и	2	2
122	является как	3	2
123	это не	5	2
124	и от	2	2
125	этот период	2	2
126	раз и	2	2
127	тогда когда	6	2
128	мы видели	8	2
129	к тому	10	2
130	на котором	2	2
131	увидим ниже	2	2
132	друг друга	4	2
133	только тогда	4	2
134	на этом	4	2
135	по своему	2	2
136	в последнее	2	2
137	прямо и	3	2
138	она не	2	2
139	во второй	2	2
140	мы уже	2	2
141	себе и	2	2
142	в самом	8	2
143	в сущности	7	2
144	в частности	4	2
145	на то	4	2
146	для того	8	2
147	время как	5	2
148	не имеет	6	2
149	с ней	3	2
150	в их	3	2
151	не на	2	2
152	того как	5	2
153	в той	4	2
154	заключается в	7	2
155	того чтобы	10	2
156	в чем	6	2
157	и по	3	2
158	можно было	7	2
159	приходит к	2	2
160	нас в	2	2
161	в своих	3	2
162	мысли и	2	2
163	к его	2	2
164	последнее время	2	2
165	что если	2	2
166	мы не	6	2
167	в новом	2	2
