N	2gram	Berdyaev_M_1	Analitik
1	не только	29	22
2	и в	28	18
3	как и	5	14
4	в этом	20	14
5	но и	25	13
6	и его	9	13
7	том что	3	12
8	и не	11	12
9	а в	4	10
10	как бы	2	10
11	то есть	3	10
12	может быть	30	9
13	что в	10	9
14	а не	25	9
15	в том	6	9
16	с его	3	8
17	но не	8	7
18	в его	9	7
19	отношению к	2	7
20	по отношению	2	7
21	к тому	3	6
22	не в	16	6
23	в начале	2	6
24	для него	11	6
25	в этой	6	6
26	он не	24	6
27	в их	4	6
28	о том	2	6
29	никогда не	14	5
30	в конце	7	5
31	прежде всего	10	5
32	в свою	2	5
33	в самом	11	5
34	что и	4	5
35	в мире	10	5
36	лишь в	6	5
37	уже не	4	5
38	о чем	2	4
39	в своем	10	4
40	что он	10	4
41	и к	2	4
42	и как	2	4
43	себя в	3	4
44	не есть	9	4
45	все же	2	4
46	приводит к	2	4
47	и на	6	4
48	уже в	4	3
49	личности в	2	3
50	к этому	2	3
51	его как	2	3
52	в ее	3	3
53	с новыми	2	3
54	было бы	10	3
55	с их	2	3
56	как в	2	3
57	все это	6	3
58	не было	18	3
59	его не	3	3
60	ничего не	3	3
61	с этим	3	3
62	точки зрения	4	3
63	он и	2	3
64	в то	2	3
65	его в	3	3
66	бы и	3	2
67	могут быть	2	2
68	все эти	2	2
69	в них	4	2
70	это не	5	2
71	не как	4	2
72	и от	2	2
73	добрый и	2	2
74	о себе	3	2
75	в жизни	3	2
76	в нем	13	2
77	есть не	4	2
78	с самим	2	2
79	с тем	9	2
80	мира и	5	2
81	по своему	2	2
82	это и	4	2
83	в ней	15	2
84	от его	2	2
85	о своих	2	2
86	и потому	10	2
87	этом он	2	2
88	по своей	2	2
89	один из	4	2
90	то что	5	2
91	когда он	3	2
92	вместе с	6	2
93	не может	28	2
94	входит в	2	2
95	в глубине	8	2
96	отношения к	4	2
97	и вот	3	2
98	в той	2	2
99	не мог	3	2
100	и он	12	2
101	и по	4	2
102	и для	2	2
103	в иной	3	2
104	на пути	4	2
105	сказать что	2	2
106	в момент	3	2
107	тем что	4	2
108	в себе	7	2
109	только в	6	2
110	и все	10	2
111	когда мы	2	2
112	но в	7	2
113	о своей	2	2
114	любви к	7	2
