N	2gram	Losev_Dial_2	Vvedenie
1	и т	17	42
2	т д	15	36
3	т е	30	35
4	и в	19	32
5	в том	14	31
6	в этом	8	30
7	может быть	20	26
8	том что	10	26
9	не только	19	22
10	таким образом	4	19
11	также и	2	18
12	то что	14	16
13	потому что	14	15
14	так как	14	15
15	не может	9	14
16	в самом	5	13
17	в нем	10	13
18	о том	5	13
19	того что	6	12
20	в общем	2	12
21	в их	2	12
22	и не	30	12
23	только в	5	12
24	как мы	3	11
25	что такое	3	11
26	ясно что	4	11
27	в ее	4	11
28	в данном	3	11
29	что в	7	10
30	но в	2	9
31	и как	10	9
32	в истории	2	9
33	между тем	2	9
34	по себе	18	9
35	то же	12	9
36	в той	3	9
37	не менее	3	8
38	с другой	5	8
39	это не	10	8
40	а только	3	8
41	тем не	2	8
42	не в	8	8
43	именно в	2	8
44	прежде всего	8	7
45	вопрос о	3	7
46	точки зрения	12	7
47	о котором	3	7
48	уже и	2	7
49	но не	6	7
50	было бы	3	7
51	все же	4	7
52	как нечто	4	7
53	самом деле	4	7
54	только как	3	7
55	не могут	4	6
56	до сих	2	6
57	же время	5	6
58	но и	12	6
59	все это	4	6
60	и даже	14	6
61	широком смысле	2	6
62	в то	6	6
63	его в	3	6
64	как он	4	6
65	с тем	2	6
66	вовсе не	13	6
67	как и	10	6
68	сих пор	2	6
69	а именно	5	6
70	хотя бы	4	6
71	и его	5	6
72	тем что	2	6
73	и это	5	6
74	уже в	4	5
75	в какой	2	5
76	иное как	3	5
77	в широком	2	5
78	так что	7	5
79	она есть	9	5
80	как бы	14	5
81	данном случае	2	5
82	другой стороны	4	5
83	сказать что	10	5
84	мере в	2	5
85	быть в	4	5
86	об этом	3	5
87	по своему	5	5
88	есть и	6	5
89	или вообще	3	5
90	не есть	47	5
91	вместе с	2	5
92	т п	2	5
93	а не	16	5
94	что не	6	5
95	могут быть	4	5
96	независимо от	4	4
97	связана с	2	4
98	в каждом	2	4
99	времени и	9	4
100	о чем	3	4
101	всяком случае	2	4
102	так или	2	4
103	с одной	2	4
104	не просто	12	4
105	и что	5	4
106	а в	4	4
107	одно из	4	4
108	что иное	3	4
109	но ведь	2	4
110	как это	7	4
111	мы имеем	3	4
112	взгляда на	2	4
113	е в	3	4
114	от этого	3	4
115	в разных	3	4
116	по крайней	9	4
117	что он	6	4
118	не что	3	4
119	еще не	4	4
120	крайней мере	9	4
121	в своей	8	4
122	только что	5	4
123	как раз	5	4
124	это только	3	4
125	в виде	2	4
126	уже не	3	4
127	или иначе	2	4
128	и то	7	4
129	во всяком	2	4
130	само по	2	4
131	в себе	15	4
132	зависит от	2	3
133	сама по	7	3
134	что это	10	3
135	и есть	4	3
136	в частности	2	3
137	в этих	3	3
138	понятно что	2	3
139	в конце	2	3
140	а потому	2	3
141	бы и	2	3
142	можно сказать	5	3
143	к тому	2	3
144	да и	6	3
145	но все	2	3
146	в этой	3	3
147	на этом	2	3
148	но что	7	3
149	что с	2	3
150	при этом	4	3
151	в ней	2	3
152	в виду	5	3
153	то это	2	3
154	к нему	4	3
155	и уже	3	3
156	из них	3	3
157	дело не	2	3
158	что она	14	3
159	в своем	4	3
160	все эти	2	3
161	и вот	4	3
162	заключается в	4	3
163	так же	2	3
164	в результате	2	3
165	говорить о	5	3
166	тогда когда	6	3
167	нисколько не	4	3
168	не как	2	3
169	и к	7	3
170	что уже	2	3
171	связи с	4	3
172	в чем	3	3
173	так чтобы	2	3
174	в одном	4	3
175	своей природе	2	3
176	в сущности	2	3
177	что и	5	3
178	в очень	2	3
179	что же	2	3
180	он мог	2	3
181	времени в	2	3
182	в каком	4	3
183	и вообще	6	3
184	как будто	7	3
185	или как	3	3
186	в области	2	3
187	как только	3	2
188	все время	3	2
189	же как	3	2
190	это может	2	2
191	должна быть	5	2
192	это уже	2	2
193	никогда не	9	2
194	тому что	2	2
195	это еще	2	2
196	это есть	8	2
197	но это	7	2
198	что если	3	2
199	тем или	2	2
200	другого рода	2	2
201	несмотря на	2	2
202	говоря уже	2	2
203	после этого	3	2
204	не говоря	2	2
205	от того	4	2
206	которые были	2	2
207	во внимание	3	2
208	в связи	4	2
209	мы говорим	3	2
210	не было	3	2
211	принять во	3	2
212	есть только	4	2
213	должно быть	7	2
214	и совершенно	2	2
215	и с	5	2
216	с этим	3	2
217	нуждается в	3	2
218	той или	4	2
219	же самое	2	2
220	когда мы	3	2
221	и должно	2	2
222	так и	10	2
223	что время	2	2
224	уже знаем	3	2
225	следует что	2	2
226	в разной	2	2
227	есть не	7	2
228	время не	3	2
229	и при	2	2
230	во всех	2	2
231	что мы	2	2
232	мы должны	2	2
233	или иным	2	2
234	жизни и	6	2
235	мы уже	8	2
236	себе и	3	2
237	ни с	4	2
238	был в	2	2
239	искусство и	3	2
240	быть и	4	2
241	и тогда	3	2
242	того как	2	2
243	хотя в	2	2
244	с точки	8	2
245	в силу	5	2
246	в другом	4	2
247	или нет	3	2
248	будто бы	3	2
249	иной раз	5	2
250	на вещи	2	2
251	ничего не	3	2
