N	2gram	Vygotskiy__3	Hudozhes
1	том что	20	16
2	и в	25	14
3	так и	5	13
4	в том	23	12
5	не только	6	12
6	при этом	5	12
7	о том	5	12
8	прежде всего	4	11
9	в этом	14	11
10	в себе	2	11
11	для него	5	10
12	в своей	2	10
13	что он	6	9
14	как и	15	9
15	в качестве	12	9
16	то же	2	9
17	как в	9	8
18	то что	15	8
19	отношению к	2	8
20	по отношению	3	8
21	между тем	3	8
22	в этой	5	8
23	в то	4	8
24	в его	15	8
25	к тому	4	7
26	уже не	2	7
27	не в	6	7
28	еще не	4	7
29	как бы	10	7
30	не может	6	7
31	именно в	5	7
32	а в	4	7
33	никогда не	4	6
34	что в	17	6
35	было бы	10	6
36	не менее	6	5
37	перед нами	10	5
38	с его	2	5
39	к жизни	2	5
40	в частности	4	5
41	в этих	2	5
42	об этом	2	5
43	может быть	13	5
44	только в	10	5
45	но и	4	5
46	друг друга	4	5
47	и его	2	5
48	можно было	6	5
49	потому что	6	5
50	ни в	9	5
51	точки зрения	6	5
52	связи с	9	4
53	тому что	2	4
54	в своем	4	4
55	столь же	7	4
56	к другому	2	4
57	и от	2	4
58	и все	4	4
59	на то	4	4
60	и к	5	4
61	тем не	5	4
62	то в	3	4
63	мы уже	5	4
64	в самом	3	4
65	один из	6	4
66	что она	5	4
67	из них	4	4
68	того что	10	4
69	только что	2	4
70	он не	4	4
71	по своей	7	4
72	и это	4	4
73	с ним	4	4
74	но не	6	3
75	или иная	3	3
76	если бы	5	3
77	отнюдь не	4	3
78	с этим	4	3
79	же в	2	3
80	та или	3	3
81	в мире	2	3
82	как мы	8	3
83	на этом	3	3
84	по своему	11	3
85	такого рода	2	3
86	еще в	2	3
87	в нем	2	3
88	все же	6	3
89	приводит к	4	3
90	то и	4	3
91	в связи	6	3
92	и для	2	3
93	этом отношении	3	3
94	все эти	7	3
95	того чтобы	8	3
96	и по	5	3
97	в таком	2	3
98	в своих	2	3
99	тем что	8	3
100	и на	6	3
101	его в	3	3
102	а также	2	3
103	едва ли	2	3
104	если в	3	2
105	все еще	2	2
106	и другое	5	2
107	однако в	2	2
108	не столько	4	2
109	и потому	2	2
110	в себя	3	2
111	ясно что	2	2
112	или иного	2	2
113	по себе	7	2
114	в следующем	2	2
115	мы знаем	4	2
116	состоит в	3	2
117	для всего	2	2
118	так что	2	2
119	этот момент	2	2
120	с той	2	2
121	же как	6	2
122	мышление в	3	2
123	одна из	2	2
124	и что	10	2
125	в целом	13	2
126	на его	2	2
127	в начале	2	2
128	хотя и	2	2
129	в него	3	2
130	как он	3	2
131	на том	3	2
132	все это	6	2
133	заключает в	2	2
134	внимание на	2	2
135	мышления и	23	2
136	а с	3	2
137	иначе говоря	2	2
138	и не	10	2
139	это так	2	2
140	только потому	2	2
141	в речи	2	2
142	того или	2	2
143	должно быть	2	2
144	речь в	2	2
145	той же	4	2
146	на основе	22	2
147	или иначе	2	2
148	с ними	3	2
149	с этой	3	2
150	в результате	3	2
151	с ее	5	2
152	о котором	2	2
153	слова в	2	2
154	но как	3	2
155	которая не	4	2
156	же мало	3	2
157	как она	3	2
158	мы не	9	2
