N	2gram	Vygotskiy__3	slovoVRo
1	и в	25	39
2	может быть	13	37
3	и его	2	33
4	не только	6	24
5	и не	10	22
6	но и	4	21
7	не может	6	20
8	в нем	2	19
9	все это	6	16
10	в этом	14	16
11	так и	5	15
12	слова в	2	13
13	как в	9	13
14	отличие от	6	13
15	в процессе	27	13
16	в отличие	6	12
17	не в	6	9
18	прежде всего	4	8
19	оно не	2	8
20	слова и	6	8
21	таким образом	17	8
22	точки зрения	6	8
23	с его	2	7
24	при этом	5	7
25	для него	5	7
26	еще не	4	7
27	в его	15	7
28	как бы	10	7
29	никогда не	4	7
30	в этих	2	7
31	и потому	2	7
32	как мы	8	7
33	могут быть	5	7
34	с ним	4	7
35	в него	3	7
36	в них	2	6
37	и к	5	6
38	все же	6	6
39	как и	15	6
40	в своем	4	6
41	но не	6	6
42	слова от	2	6
43	там где	4	6
44	все эти	7	6
45	не могут	4	5
46	с другой	6	5
47	и для	2	5
48	и все	4	5
49	по себе	7	5
50	для нас	2	5
51	том что	20	5
52	но все	2	5
53	или иной	3	5
54	одной стороны	5	5
55	только в	10	5
56	в том	23	5
57	и их	3	5
58	той или	2	5
59	один из	6	5
60	мышления и	23	5
61	с одной	5	5
62	уже не	2	5
63	с ними	3	5
64	в плане	2	5
65	не менее	6	4
66	всех этих	2	4
67	эти формы	2	4
68	ни в	9	4
69	отношению к	2	4
70	зависимости от	6	4
71	одна из	2	4
72	в смысле	4	4
73	связанные с	2	4
74	в основном	6	4
75	в новое	2	4
76	в зависимости	5	4
77	слова не	2	4
78	в отношении	6	4
79	по отношению	3	4
80	для этого	2	4
81	входит в	5	4
82	то же	2	4
83	что оно	4	4
84	и других	2	4
85	с помощью	42	4
86	в таком	2	4
87	а в	4	4
88	с другими	2	4
89	и на	6	4
90	дело с	3	4
91	в основе	16	4
92	в то	4	4
93	его в	3	4
94	во всем	3	4
95	так как	12	4
96	перед нами	10	3
97	что в	17	3
98	не столько	4	3
99	и от	2	3
100	человека и	5	3
101	в собственном	6	3
102	в свою	3	3
103	что и	10	3
104	этого процесса	9	3
105	но это	5	3
106	связи с	9	3
107	на этом	3	3
108	к проблеме	2	3
109	и как	5	3
110	слов и	5	3
111	с их	2	3
112	собственном смысле	6	3
113	в свете	2	3
114	этом отношении	3	3
115	а также	2	3
116	той же	4	3
117	связан с	2	3
118	сказать что	4	3
119	между тем	3	3
120	речи и	8	3
121	в чем	2	3
122	как это	7	3
123	в чисто	2	3
124	во всяком	4	3
125	уже в	7	2
126	в сфере	2	2
127	независимо от	4	2
128	хотя и	2	2
129	однако в	2	2
130	включает в	2	2
131	на котором	2	2
132	того как	3	2
133	тогда когда	4	2
134	речи не	2	2
135	тот факт	5	2
136	говорит и	2	2
137	как уже	6	2
138	и внутренней	4	2
139	конечно в	2	2
140	является проблема	2	2
141	людей с	2	2
142	в себе	2	2
143	и здесь	2	2
144	что он	6	2
145	с ее	5	2
146	речи как	4	2
147	имеет дело	2	2
148	и слово	3	2
149	свою очередь	2	2
150	очень легко	2	2
151	все что	2	2
152	мы увидим	4	2
153	со всеми	6	2
154	мы уже	5	2
155	значение в	3	2
156	всяком случае	4	2
157	связи и	3	2
158	в прямой	2	2
159	и особенно	2	2
160	на его	2	2
161	мы видели	6	2
162	то что	15	2
163	вместе с	14	2
164	все они	2	2
165	или менее	3	2
166	и речи	20	2
167	где они	2	2
168	отличается от	3	2
169	в связи	6	2
170	с этим	4	2
171	в виде	3	2
172	которых мы	2	2
173	именно в	5	2
174	уже сказано	5	2
175	в себя	3	2
176	мы не	9	2
177	того чтобы	8	2
178	для того	7	2
179	одним из	5	2
180	или в	2	2
181	в результате	3	2
182	он не	4	2
183	как с	4	2
184	но как	3	2
185	факт что	5	2
186	о том	5	2
187	на ряд	3	2
188	как он	3	2
189	зрения на	2	2
190	которые в	3	2
191	значение как	3	2
192	в области	7	2
193	в одном	2	2
194	цели и	2	2
