N	3gram	Bakhtin_sl_1	Vvedenie
1	и т д	5	36
2	то же время	12	6
3	в то же	12	6
4	до сих пор	2	6
5	и т п	23	5
6	с другой стороны	4	5
7	в широком смысле	2	5
8	в данном случае	3	4
9	и в особенности	4	4
10	не только в	2	4
11	с одной стороны	4	4
12	можно было бы	2	4
13	в этом случае	2	4
14	и в этом	2	4
15	во всяком случае	5	4
16	и в том	2	3
17	большей или меньшей	4	3
18	но в то	4	3
19	в известном смысле	2	3
20	той или иной	9	2
21	с точки зрения	8	2
22	не могут быть	2	2
23	хотя бы и	3	2
24	дело не с	2	2
25	как мы уже	2	2
