N	3gram	Losev_Prob_1	Formalny
1	с точки зрения	3	14
2	не может быть	2	14
3	на самом деле	4	12
4	в то же	4	7
5	и т д	10	6
6	во всяком случае	3	6
7	с другой стороны	3	5
8	в данном случае	8	4
9	в самом деле	2	4
10	в связи с	4	4
11	подобно тому как	2	4
12	для того чтобы	8	4
13	то же самое	9	3
14	вовсе не является	3	3
15	в том что	5	3
16	дело в том	3	2
17	тем не менее	18	2
18	сами по себе	3	2
19	в конце концов	4	2
20	не только не	3	2
21	но уже в	2	2
22	только то что	4	2
23	о том как	2	2
24	так же и	3	2
25	в этом смысле	6	2
