N	2gram	Ircho_Kome_1	Problemy
1	и не	8	31
2	и в	22	29
3	в его	5	24
4	может быть	9	24
5	в этом	3	22
6	т е	13	21
7	в нем	4	19
8	точки зрения	4	19
9	не только	10	15
10	то что	2	15
11	но и	11	14
12	и его	8	14
13	то же	6	14
14	как и	9	12
15	не может	2	12
16	таким образом	8	12
17	в одном	8	10
18	в самом	2	10
19	в то	10	10
20	только в	3	10
21	все же	3	9
22	но не	2	9
23	же время	4	9
24	до конца	2	8
25	что он	6	8
26	что в	6	8
27	отношению к	3	8
28	по отношению	3	8
29	потому что	5	8
30	в том	11	8
31	прежде всего	5	7
32	вовсе не	2	7
33	том что	12	7
34	не в	6	7
35	за пределы	2	7
36	так и	5	7
37	в форме	2	7
38	и как	3	7
39	а в	6	7
40	и на	3	7
41	в себе	2	7
42	но в	4	7
43	все это	5	6
44	в конце	6	6
45	в целом	3	6
46	несмотря на	4	6
47	к нему	2	6
48	как в	5	6
49	как раз	3	6
50	так же	3	6
51	могут быть	3	6
52	его в	3	6
53	так как	4	6
54	именно в	4	5
55	было бы	2	5
56	еще не	2	5
57	в сущности	2	5
58	и о	3	5
59	у него	3	5
60	он не	3	5
61	конце концов	4	5
62	во всяком	2	5
63	между тем	5	5
64	ничего не	3	5
65	в результате	4	4
66	тем как	2	4
67	идет о	3	4
68	что и	4	4
69	должна была	2	4
70	но это	2	4
71	и с	3	4
72	и самого	2	4
73	даже в	3	4
74	и т	9	4
75	тем что	4	4
76	как мы	4	4
77	в этой	7	4
78	уже в	5	3
79	и одновременно	3	3
80	в них	3	3
81	с другой	5	3
82	нового времени	5	3
83	точек зрения	2	3
84	ни в	6	3
85	хоть и	2	3
86	одна из	2	3
87	все что	2	3
88	всяком случае	2	3
89	на него	4	3
90	в их	4	3
91	другой стороны	5	3
92	т п	5	3
93	этом отношении	3	3
94	в себя	2	3
95	и у	3	3
96	и здесь	2	3
97	его творчества	3	3
98	в своих	2	3
99	как будто	2	3
100	в противоположность	2	2
101	однако в	3	2
102	в настоящем	2	2
103	то ни	2	2
104	художественных приемов	2	2
105	и во	2	2
106	именно потому	2	2
107	вопрос о	3	2
108	и ее	3	2
109	же в	4	2
110	художественный образ	2	2
111	его творчество	2	2
112	из его	4	2
113	от них	2	2
114	бы то	2	2
115	при этом	5	2
116	на себя	2	2
117	тот же	3	2
118	и сам	3	2
119	со своим	5	2
120	до сих	2	2
121	ни одной	2	2
122	в котором	4	2
123	один из	5	2
124	на его	5	2
125	отношение к	3	2
126	в первой	2	2
127	сих пор	2	2
128	ни было	2	2
129	находится в	2	2
130	в отношении	6	2
131	то и	2	2
132	и даже	5	2
133	здесь мы	3	2
134	именно на	2	2
135	из которых	2	2
136	к этим	3	2
137	правда в	2	2
138	но он	2	2
139	для себя	2	2
140	в истории	5	2
141	в которой	6	2
142	в сознании	3	2
143	е в	2	2
