N	3gram	Losev_Prob_4	Myshleni
1	в том что	8	17
2	вместе с тем	3	10
3	заключается в том	2	7
4	для того чтобы	2	7
5	можно было бы	4	5
6	тем не менее	10	5
7	в зависимости от	3	5
8	в связи с	3	5
9	в то время	2	4
10	во всяком случае	4	4
11	то и другое	3	4
12	ни в какой	4	4
13	то время как	2	4
14	это значит что	7	4
15	о том что	3	3
16	сами по себе	2	3
17	с другой стороны	6	3
18	что перед нами	2	3
19	в том виде	2	2
20	том виде как	2	2
21	той или иной	11	2
22	того или иного	3	2
23	как показывает исследование	2	2
24	и во всяком	3	2
25	только в том	3	2
26	в этом смысле	3	2
