N	2gram	Propp_Isto_5	Literetu
1	а не	2	20
2	и в	25	19
3	может быть	17	17
4	то же	4	12
5	и не	11	11
6	в том	6	10
7	как и	7	10
8	но и	13	10
9	не может	6	9
10	в этом	10	9
11	в то	3	9
12	с другой	9	8
13	не только	13	8
14	том что	8	7
15	то что	7	7
16	с одной	7	7
17	не менее	4	6
18	одной стороны	7	6
19	себя в	6	6
20	и на	8	6
21	одна из	2	5
22	но не	5	5
23	в качестве	7	5
24	он не	4	5
25	вместе с	22	5
26	так в	2	5
27	того что	2	5
28	что в	8	4
29	в частности	7	4
30	прежде всего	6	4
31	не в	6	4
32	того же	2	4
33	в ней	5	4
34	в его	12	4
35	еще в	2	4
36	даже в	2	4
37	один из	2	4
38	жизни и	2	4
39	и других	2	4
40	человека в	3	4
41	так что	2	4
42	другой стороны	8	4
43	мы не	5	4
44	по отношению	2	4
45	тем что	10	4
46	точки зрения	2	4
47	в русской	3	4
48	никогда не	3	3
49	в себя	3	3
50	что он	22	3
51	в нем	7	3
52	по существу	2	3
53	и как	3	3
54	одним из	2	3
55	но это	7	3
56	такой же	2	3
57	в этой	3	3
58	и он	6	3
59	во всех	2	3
60	том чтобы	2	3
61	и др	3	3
62	отношению к	2	3
63	данном случае	2	3
64	со стороны	2	3
65	а именно	4	3
66	и для	2	3
67	так как	11	3
68	а в	3	3
69	и его	9	3
70	и с	3	3
71	в данном	3	3
72	ничего не	2	3
73	на этом	3	2
74	уже в	2	2
75	же как	4	2
76	с тем	8	2
77	у него	2	2
78	над ним	3	2
79	с этой	2	2
80	все еще	4	2
81	вовсе не	2	2
82	не исключают	2	2
83	для нас	5	2
84	этом случае	7	2
85	в ее	4	2
86	а затем	7	2
87	тем не	4	2
88	очевидно что	2	2
89	еще не	8	2
90	и сам	2	2
91	в роли	3	2
92	как бы	2	2
93	в свое	2	2
94	если в	3	2
95	что и	6	2
96	все же	10	2
97	и т	20	2
98	но уже	3	2
99	же в	2	2
100	в целом	3	2
101	из них	2	2
102	могут быть	6	2
103	в истории	4	2
104	уже не	11	2
105	и что	8	2
106	он на	2	2
107	героя в	9	2
108	для того	3	2
109	из которых	2	2
110	друг друга	3	2
111	то в	2	2
112	потому что	7	2
113	на себя	3	2
114	ту же	2	2
115	и вновь	2	2
116	о том	7	2
117	представляет собой	7	2
118	а если	2	2
119	с ним	4	2
120	в него	5	2
