N	3gram	Vygotskiy__1	Myslijsy
1	по отношению к	7	8
2	в том что	15	7
3	о том что	6	5
4	не может быть	5	5
5	можно сказать что	4	4
6	то же самое	3	4
7	только тогда когда	2	4
8	до сих пор	4	4
9	сам по себе	3	4
10	для того чтобы	15	4
11	на то что	3	4
12	между тем и	2	3
13	во всяком случае	3	3
14	тем и другим	2	3
15	с точки зрения	18	3
16	вместе с тем	5	3
17	в то же	2	3
18	и таким образом	2	3
19	то же время	2	3
20	от того что	2	3
21	все более и	2	2
22	в данном случае	2	2
23	таким образом что	3	2
24	более и более	2	2
25	на этот вопрос	2	2
26	мы могли бы	5	2
27	не в состоянии	2	2
