N	2gram	Vinokur_St_1	Komedia
1	и в	44	26
2	в г	3	17
3	и не	16	14
4	так и	9	12
5	и его	8	12
6	в том	36	11
7	может быть	15	11
8	но и	10	10
9	в этом	21	10
10	молодой человек	2	9
11	что в	30	9
12	столь же	4	9
13	том что	29	9
14	если бы	9	9
15	ясно что	10	8
16	было бы	17	8
17	из них	8	7
18	не только	18	7
19	что и	6	7
20	ли не	2	7
21	в своем	2	6
22	во время	3	6
23	то что	18	6
24	еще не	3	6
25	в нем	5	6
26	в двух	3	6
27	того чтобы	11	6
28	потому что	6	6
29	в то	9	6
30	о том	17	6
31	таким образом	7	6
32	в которой	4	5
33	что он	10	5
34	в качестве	4	5
35	ни в	3	5
36	в истории	3	5
37	с этим	3	5
38	для того	10	5
39	так что	6	5
40	и с	3	5
41	г и	2	5
42	больше чем	2	5
43	уже в	2	4
44	не менее	5	4
45	в частности	4	4
46	у него	2	4
47	в этих	2	4
48	тому что	3	4
49	что у	4	4
50	прежде всего	7	4
51	из этих	6	4
52	как и	9	4
53	в целом	5	4
54	как будто	4	4
55	в его	9	4
56	все же	8	4
57	не по	3	4
58	в самом	7	4
59	судя по	2	4
60	и для	3	4
61	более чем	2	4
62	за то	3	4
63	что для	3	4
64	можно было	13	4
65	точки зрения	11	4
66	в начале	3	4
67	только в	10	4
68	что это	4	4
69	так как	5	4
70	на этот	3	4
71	как это	4	4
72	его в	2	4
73	между тем	3	4
74	этот раз	2	4
75	это слово	4	4
76	том числе	2	3
77	так или	2	3
78	с этой	3	3
79	в каждом	3	3
80	так называемой	2	3
81	вопрос о	4	3
82	того времени	5	3
83	то время	2	3
84	в тех	3	3
85	что на	2	3
86	но если	4	3
87	жизни и	5	3
88	отношению к	3	3
89	но все	4	3
90	к концу	2	3
91	но не	3	3
92	того же	3	3
93	во всех	8	3
94	же время	4	3
95	первую очередь	2	3
96	для нас	7	3
97	и сам	2	3
98	по поводу	7	3
99	никто не	4	3
100	например в	8	3
101	в первую	2	3
102	как правило	2	3
103	да и	3	3
104	в ней	3	3
105	в котором	5	3
106	речь идет	4	3
107	не имеет	4	3
108	в своей	6	3
109	и их	2	3
110	даже не	4	3
111	все это	5	3
112	по отношению	3	3
113	дело с	2	3
114	той же	5	3
115	то же	5	3
116	ответ на	3	3
117	не было	4	3
118	как в	13	3
119	возможно что	3	3
120	к нему	2	3
121	а в	17	3
122	в обеих	5	3
123	или иначе	2	3
124	тем что	5	3
125	не может	8	3
126	что касается	3	3
127	в этой	11	3
128	но в	10	3
129	что ни	2	2
130	если в	2	2
131	не всегда	2	2
132	в какой	3	2
133	с другой	9	2
134	не для	2	2
135	это не	8	2
136	в конце	3	2
137	представление о	4	2
138	вовсе не	19	2
139	и я	3	2
140	то это	3	2
141	в пользу	2	2
142	об этом	3	2
143	он был	3	2
144	в ее	4	2
145	идет о	2	2
146	не в	12	2
147	до сих	7	2
148	должна была	4	2
149	является не	4	2
150	чем в	3	2
151	а на	3	2
152	одной стороны	2	2
153	и почему	4	2
154	он не	2	2
155	как бы	4	2
156	которые в	2	2
157	в уста	3	2
158	всяком случае	6	2
159	время как	2	2
160	даже в	3	2
161	не является	3	2
162	хотя бы	6	2
163	и т	30	2
164	и это	2	2
165	отношение к	2	2
166	и за	3	2
167	сих пор	7	2
168	со стороны	6	2
169	что она	4	2
170	уже о	5	2
171	также в	2	2
172	целый ряд	2	2
173	т п	9	2
174	если не	2	2
175	с одной	3	2
176	еще более	4	2
177	мы находим	4	2
178	в той	6	2
179	и что	4	2
180	и у	2	2
181	бы и	4	2
182	в других	2	2
183	мы не	2	2
184	во всяком	6	2
185	от этого	2	2
186	и во	2	2
187	одно из	2	2
188	чуть ли	2	2
189	говорить о	2	2
190	современного читателя	2	2
191	и все	2	2
192	в первом	2	2
193	с которыми	2	2
194	мы имеем	2	2
