N	2gram	Berdyaev_N_1	Analitik
1	не только	5	22
2	и в	16	18
3	как и	7	14
4	так и	2	14
5	в этом	7	14
6	но и	3	13
7	том что	2	12
8	и не	11	12
9	а в	2	10
10	может быть	7	9
11	что в	9	9
12	а не	17	9
13	в том	8	9
14	с его	6	8
15	и даже	2	8
16	с другой	3	7
17	но не	2	7
18	к тому	3	6
19	не в	6	6
20	еще не	3	6
21	он не	8	6
22	о том	4	6
23	никогда не	6	5
24	прежде всего	4	5
25	такого рода	2	5
26	в мире	3	5
27	и т.п	2	5
28	другой стороны	2	5
29	лишь в	6	5
30	уже не	2	5
31	не менее	4	4
32	и к	5	4
33	себя в	2	4
34	не есть	3	4
35	и на	2	4
36	в ее	3	3
37	с их	2	3
38	к содержанию	2	3
39	к жизни	3	3
40	с ее	5	3
41	не будет	7	3
42	как в	3	3
43	все это	5	3
44	который в	2	3
45	не было	4	3
46	роль в	2	3
47	мы не	2	3
48	с этим	2	3
49	подобно тому	3	3
50	в то	2	3
51	как это	2	3
52	нашего времени	2	3
53	истории не	3	2
54	могут быть	2	2
55	все эти	2	2
56	все они	2	2
57	в них	4	2
58	это не	4	2
59	и от	2	2
60	в жизни	5	2
61	в нем	5	2
62	одна из	2	2
63	с тем	3	2
64	мира и	2	2
65	по своему	4	2
66	одной стороны	2	2
67	это и	2	2
68	хотя и	2	2
69	в ней	5	2
70	и потому	4	2
71	то что	4	2
72	во всех	3	2
73	вместе с	2	2
74	что она	2	2
75	не может	16	2
76	не могла	2	2
77	с одной	2	2
78	и для	4	2
79	тому как	3	2
80	сказать что	3	2
81	в себе	2	2
82	и все	4	2
83	когда мы	2	2
84	но в	2	2
85	в новом	2	2
