N	2gram	Berdyaev_V_1	Istorich
1	и в	16	26
2	так как	9	18
3	никогда не	3	13
4	потому что	4	13
5	что в	3	12
6	в том	3	12
7	в этом	4	12
8	в образе	4	10
9	том что	2	10
10	и т	2	10
11	и не	20	10
12	не только	2	10
13	что он	4	9
14	еще не	8	9
15	но и	5	9
16	в нем	4	8
17	на том	2	8
18	т д	2	8
19	все эти	3	8
20	и это	2	8
21	с ним	2	8
22	превращается в	3	7
23	уже не	2	7
24	но в	3	7
25	то что	9	6
26	ее в	2	6
27	мы не	2	6
28	как и	4	5
29	в ней	4	5
30	в его	4	5
31	то это	3	5
32	не будет	2	5
33	так и	4	5
34	и что	3	5
35	тем что	2	5
36	только в	2	5
37	с тем	2	4
38	это не	2	4
39	прежде всего	2	4
40	с его	3	4
41	но это	3	4
42	все что	4	4
43	как бы	5	4
44	что и	3	4
45	на земле	7	4
46	могут быть	2	3
47	в них	3	3
48	должна быть	3	3
49	не в	3	3
50	от него	2	3
51	это еще	4	3
52	один из	2	3
53	в своей	3	3
54	а в	2	3
55	вот почему	2	3
56	и то	2	3
57	их в	3	3
58	не было	3	3
59	от этого	3	3
60	в этих	3	2
61	это мы	2	2
62	к тому	3	2
63	для нас	2	2
64	что они	7	2
65	одна из	2	2
66	но не	2	2
67	в последнем	2	2
68	что мы	4	2
69	когда в	2	2
70	и сам	2	2
71	не так	2	2
72	но мы	2	2
73	не есть	6	2
74	не имеет	3	2
75	жизни и	3	2
76	ни в	3	2
77	в форме	2	2
78	а с	2	2
79	и они	3	2
80	а не	7	2
81	того что	5	2
82	что не	4	2
83	земли и	2	2
84	его не	2	2
85	можно было	2	2
86	тех которые	3	2
87	людей и	2	2
88	во всяком	2	2
89	самого себя	2	2
