N	2gram	Berdyaev_M_2	FransuaR
1	и в	46	41
2	в этом	20	15
3	и все	5	14
4	как и	13	14
5	в этой	7	13
6	то же	5	13
7	в его	5	12
8	прежде всего	12	11
9	в том	3	11
10	в себе	10	11
11	так и	4	10
12	и его	5	9
13	не в	9	9
14	но и	15	9
15	в своем	8	9
16	что в	4	9
17	в конце	5	8
18	и от	3	8
19	то что	5	8
20	но в	10	8
21	в них	3	7
22	как бы	8	7
23	в нем	22	7
24	и не	18	7
25	он хочет	3	6
26	у него	22	6
27	это не	5	6
28	ни в	3	6
29	мы видим	2	6
30	есть в	3	6
31	для него	18	6
32	только в	3	6
33	о том	3	6
34	уже в	2	5
35	не только	18	5
36	и к	7	5
37	на этом	2	5
38	в ней	11	5
39	вместе с	2	5
40	что и	4	5
41	как в	7	5
42	того как	3	5
43	а в	2	5
44	к нему	2	5
45	и для	7	5
46	так же	6	5
47	точки зрения	2	5
48	и это	5	5
49	потому что	12	5
50	на земле	8	4
51	место в	2	4
52	что это	6	4
53	хотя и	2	4
54	но он	11	4
55	в образе	3	4
56	и здесь	6	4
57	момент в	3	4
58	том что	4	4
59	все что	4	4
60	после того	2	4
61	в сущности	2	4
62	может быть	21	4
63	он не	10	4
64	должно быть	2	4
65	в последней	2	4
66	и на	3	4
67	та же	10	4
68	в более	2	4
69	и с	3	4
70	ничего не	2	4
71	я не	5	3
72	сам он	2	3
73	и есть	8	3
74	в отношении	5	3
75	что у	4	3
76	и потому	7	3
77	в мире	7	3
78	он был	9	3
79	это была	2	3
80	но это	8	3
81	совсем не	5	3
82	в своей	5	3
83	есть и	3	3
84	в свою	4	3
85	и эта	2	3
86	что он	7	3
87	жизни и	6	3
88	во всех	2	3
89	не может	15	3
90	не было	11	3
91	не имеет	4	3
92	той же	3	3
93	и те	2	3
94	можно было	2	3
95	нас в	2	3
96	тем что	3	3
97	не знает	9	3
98	но этот	2	3
99	его в	3	3
100	так как	8	3
101	от этого	2	3
102	что все	5	2
103	в человеке	2	2
104	с его	4	2
105	все время	2	2
106	никогда не	18	2
107	в этих	2	2
108	не видел	2	2
109	и во	3	2
110	же что	2	2
111	человека в	14	2
112	есть не	5	2
113	к тому	5	2
114	связано с	3	2
115	интерес к	2	2
116	нас не	2	2
117	отношению к	2	2
118	они и	4	2
119	до конца	4	2
120	отношение к	8	2
121	тот же	2	2
122	того что	6	2
123	в новых	2	2
124	бессмертия и	2	2
125	и самого	3	2
126	оно не	2	2
127	должен быть	4	2
128	не есть	13	2
129	к человеку	12	2
130	и всегда	3	2
131	по отношению	2	2
132	в разных	2	2
133	еще более	2	2
134	и других	2	2
135	и вот	5	2
136	не мог	3	2
137	а не	13	2
138	говорит что	2	2
139	уже не	4	2
140	жизнь и	4	2
141	у них	4	2
142	что есть	2	2
143	к самому	2	2
144	также и	4	2
145	как он	3	2
146	бы в	2	2
147	в чем	3	2
148	в которой	2	2
149	с ним	3	2
150	нет ни	2	2
