N	2gram	Nazirov_Tr_1	Istorich
1	и в	18	28
2	может быть	7	25
3	не может	5	15
4	никогда не	2	14
5	что в	4	12
6	то же	5	12
7	не только	8	12
8	что он	6	10
9	все же	5	10
10	прежде всего	4	10
11	но и	4	10
12	и что	4	10
13	в том	2	9
14	о том	2	9
15	то что	4	9
16	и не	7	9
17	не в	2	9
18	так и	5	9
19	что это	5	8
20	в этом	9	8
21	но в	6	8
22	это не	5	7
23	том что	4	7
24	еще не	4	7
25	так же	4	7
26	и здесь	2	7
27	к тому	2	6
28	что и	2	6
29	в этой	4	6
30	его в	2	6
31	в одном	2	5
32	вопрос о	2	5
33	в дальнейшем	5	5
34	что она	2	5
35	в своем	3	5
36	в его	3	5
37	все это	4	4
38	с тем	2	4
39	об этом	4	4
40	так что	2	4
41	но все	2	4
42	но это	4	4
43	один из	3	4
44	как и	5	4
45	и даже	4	4
46	и с	7	4
47	и на	7	4
48	потому что	2	4
49	как будто	3	4
50	все эти	3	4
51	я не	4	3
52	точно так	2	3
53	в образе	6	3
54	перед нами	2	3
55	при этом	3	3
56	уже не	2	3
57	и его	6	3
58	не просто	2	3
59	и он	3	3
60	как это	3	3
61	тем что	2	3
62	в то	5	3
63	раз и	2	3
64	но они	2	2
65	не могут	2	2
66	отличие от	2	2
67	в частности	2	2
68	столь же	2	2
69	даже на	2	2
70	своего отца	3	2
71	в ее	2	2
72	и как	3	2
73	одна из	2	2
74	для него	3	2
75	нет в	2	2
76	никто не	3	2
77	с ним	3	2
78	как бы	7	2
79	еще в	2	2
80	в нем	4	2
81	говорит о	2	2
82	в целом	4	2
83	как в	3	2
84	то и	2	2
85	в отличие	2	2
86	он не	2	2
87	в виде	2	2
88	не так	2	2
89	должно быть	3	2
90	ничего не	2	2
91	в основном	3	2
92	в себе	4	2
93	что этот	2	2
