N	2gram	Voloshinov_1	Hudozhes
1	и в	19	28
2	том что	3	19
3	в ее	7	18
4	и не	26	18
5	в том	6	15
6	а не	7	14
7	не в	5	13
8	в этом	16	13
9	о том	2	12
10	как и	12	11
11	при этом	8	11
12	в его	6	11
13	не только	8	11
14	но и	8	9
15	в себе	2	9
16	что он	2	8
17	может быть	26	8
18	так и	11	8
19	между тем	3	8
20	жизни в	4	7
21	и все	5	7
22	к тому	2	7
23	в частности	2	7
24	отношению к	2	7
25	по отношению	3	7
26	можно сказать	3	6
27	в котором	3	6
28	то что	8	6
29	жизни и	2	6
30	в своей	3	6
31	если бы	2	6
32	то же	7	6
33	не было	3	6
34	сводится к	3	6
35	а в	4	6
36	и с	2	6
37	тем что	2	6
38	в то	3	6
39	не менее	4	5
40	в своем	2	5
41	как бы	15	5
42	как в	4	5
43	с ее	2	5
44	что в	4	5
45	она не	2	5
46	в самом	10	5
47	никогда не	2	5
48	только на	4	5
49	и его	19	5
50	рядом с	5	5
51	для него	9	5
52	ничего не	6	5
53	бы и	2	4
54	тому что	2	4
55	внутренней жизни	4	4
56	тем не	2	4
57	то в	2	4
58	в качестве	2	4
59	же время	3	4
60	для того	4	4
61	он не	3	4
62	что и	2	4
63	и сама	2	4
64	как раз	2	4
65	не может	24	4
66	человека в	2	4
67	того чтобы	5	4
68	только в	9	4
69	с другой	5	3
70	но при	2	3
71	что все	2	3
72	прежде всего	13	3
73	в нем	10	3
74	и ее	3	3
75	самом деле	10	3
76	еще не	4	3
77	было бы	4	3
78	одной из	3	3
79	ни о	2	3
80	по преимуществу	5	3
81	в ней	4	3
82	мы уже	2	3
83	не все	2	3
84	все это	3	3
85	и он	2	3
86	так же	7	3
87	или в	2	3
88	можно было	2	3
89	с другими	3	3
90	для других	2	3
91	и на	4	3
92	же самое	3	3
93	как он	2	3
94	и это	3	3
95	в основе	2	2
96	место в	3	2
97	отнюдь не	6	2
98	именно в	5	2
99	они все	2	2
100	не столько	4	2
101	не как	2	2
102	и от	3	2
103	из этих	2	2
104	вовсе не	5	2
105	а как	3	2
106	или иной	3	2
107	как мы	13	2
108	мы знаем	5	2
109	же как	2	2
110	одна из	2	2
111	они и	2	2
112	противоречие между	2	2
113	но именно	3	2
114	что не	2	2
115	и к	3	2
116	же и	2	2
117	говорили о	2	2
118	до сих	8	2
119	не является	4	2
120	в нашем	2	2
121	все же	8	2
122	точкой зрения	2	2
123	не будет	4	2
124	в первом	3	2
125	как же	4	2
126	из них	3	2
127	сих пор	8	2
128	что же	4	2
129	мысли и	4	2
130	в контексте	8	2
131	те же	5	2
132	в двух	2	2
133	лишь в	9	2
134	именно на	2	2
135	во втором	2	2
136	и эта	4	2
137	между ними	4	2
138	хотя бы	5	2
139	и для	11	2
140	с точки	20	2
141	той же	2	2
142	в данном	4	2
143	сказать что	4	2
144	нуждается в	3	2
145	точки зрения	34	2
146	в другом	2	2
147	могла бы	2	2
148	и только	2	2
149	и т.д	2	2
150	его в	3	2
151	нет ничего	3	2
152	она может	3	2
153	но в	7	2
