N	2gram	Vinokur_Ku_3	Dialekti
1	т е	32	46
2	не есть	3	40
3	и не	10	30
4	и есть	5	19
5	а не	11	18
6	может быть	14	17
7	и т	54	17
8	ничего не	6	17
9	то что	4	16
10	и в	23	15
11	т д	8	15
12	как бы	5	14
13	не имеет	3	14
14	так как	9	14
15	точки зрения	23	14
16	что это	3	13
17	того что	11	13
18	по себе	6	13
19	это не	3	12
20	прежде всего	9	11
21	и вот	3	11
22	в том	22	11
23	не может	6	11
24	говорить о	6	11
25	ясно что	4	11
26	в этом	16	11
27	она есть	2	10
28	потому что	12	10
29	том что	11	10
30	было бы	16	9
31	в виду	8	9
32	все это	2	9
33	мы не	3	9
34	и что	7	9
35	это и	3	9
36	то же	6	9
37	уже не	8	9
38	и пр	3	9
39	с точки	16	9
40	ни в	3	8
41	не в	5	8
42	и о	4	8
43	не только	17	8
44	в чем	5	8
45	что в	13	7
46	что именно	3	7
47	должна быть	3	7
48	не просто	2	7
49	что мы	2	7
50	что он	6	7
51	как и	5	7
52	только в	6	7
53	хотя и	5	6
54	и тем	6	6
55	а именно	3	6
56	в результате	3	6
57	сказать что	7	6
58	вовсе не	5	6
59	ни на	2	6
60	если бы	8	6
61	тем более	5	6
62	в то	3	6
63	что и	6	6
64	я не	5	5
65	сама по	2	5
66	так и	6	5
67	в своем	4	5
68	же это	2	5
69	можно сказать	2	5
70	как таковой	2	5
71	как же	3	5
72	того чтобы	11	5
73	в ней	3	5
74	но если	3	5
75	что она	5	5
76	в свете	2	5
77	таким образом	9	5
78	именно в	3	5
79	о том	6	5
80	мы имеем	2	5
81	тогда когда	4	5
82	быть в	2	5
83	есть не	3	5
84	то в	3	5
85	учение о	2	5
86	в сущности	4	5
87	только тогда	4	5
88	если мы	7	5
89	для того	12	5
90	что такое	4	5
91	той же	3	5
92	в каком	3	5
93	что все	2	4
94	и как	2	4
95	но это	5	4
96	что они	2	4
97	один из	4	4
98	но и	3	4
99	в особенности	2	4
100	так же	2	4
101	также и	5	4
102	и с	3	4
103	не о	2	4
104	той или	5	4
105	мы должны	3	4
106	уже о	2	4
107	в одном	2	4
108	с тем	6	4
109	отнюдь не	3	4
110	не как	2	4
111	она не	3	4
112	еще не	9	4
113	как раз	4	4
114	хотя бы	9	4
115	тому как	2	4
116	в силу	6	4
117	в его	11	4
118	так то	2	4
119	только для	2	3
120	или иное	2	3
121	что если	2	3
122	на этом	2	3
123	тем самым	4	3
124	и если	2	3
125	совершенно не	5	3
126	говоря уже	2	3
127	не говоря	2	3
128	в их	6	3
129	смысл и	2	3
130	все эти	7	3
131	и об	2	3
132	но в	2	3
133	у нас	10	3
134	только о	2	3
135	слово есть	3	3
136	за пределы	2	3
137	в своей	4	3
138	когда он	2	3
139	бы и	3	3
140	как в	4	3
141	что не	4	3
142	то или	2	3
143	в данном	7	3
144	то мы	3	3
145	могут быть	6	3
146	в области	14	3
147	не менее	12	2
148	не могут	5	2
149	в частности	2	2
150	и без	2	2
151	в отношении	3	2
152	с этой	3	2
153	из этих	5	2
154	главным образом	2	2
155	вопрос о	11	2
156	что на	3	2
157	собственном смысле	2	2
158	но все	2	2
159	совершенно ясно	2	2
160	эти два	2	2
161	заключается в	4	2
162	как о	3	2
163	не дает	2	2
164	кроме того	2	2
165	в нашей	4	2
166	при этом	6	2
167	мог бы	2	2
168	в самом	13	2
169	есть также	2	2
170	в котором	2	2
171	был бы	3	2
172	но мы	2	2
173	не по	3	2
174	другой стороны	3	2
175	то и	2	2
176	для этого	6	2
177	и только	3	2
178	быть не	2	2
179	именно так	2	2
180	не было	4	2
181	от того	5	2
182	мы находим	3	2
183	во внимание	5	2
184	лишь в	8	2
185	должно быть	7	2
186	только после	3	2
187	а что	2	2
188	но как	3	2
189	того или	3	2
190	не понимает	3	2
191	как это	7	2
192	понятие о	2	2
193	е в	2	2
194	сам по	3	2
195	однако в	2	2
196	чем же	2	2
197	интеллигенции и	2	2
198	есть слово	2	2
199	в ее	4	2
200	все же	5	2
201	в качестве	2	2
202	равно как	2	2
203	конечно не	2	2
204	никак не	2	2
205	в свое	2	2
206	не значит	5	2
207	что есть	2	2
208	тем не	9	2
209	и именно	3	2
210	вместе с	2	2
211	что же	5	2
212	тех же	4	2
213	бы не	3	2
214	становится и	2	2
215	того как	7	2
216	можно говорить	10	2
217	только что	2	2
218	очень много	2	2
219	во всяком	2	2
220	тем что	5	2
221	но для	3	2
222	и при	2	2
223	мы говорим	4	2
224	отличие от	2	2
225	для меня	2	2
