N	2gram	Savitsky_P_1	EvropaiC
1	в том	9	31
2	и в	14	24
3	том что	4	20
4	не может	4	18
5	то что	4	17
6	может быть	5	15
7	точки зрения	3	13
8	в своем	4	12
9	в этом	10	12
10	все это	2	11
11	между тем	3	11
12	с этим	2	11
13	как бы	4	10
14	культуры в	2	10
15	во всех	2	10
16	что в	4	9
17	не в	5	8
18	если бы	4	8
19	с точки	3	8
20	не менее	2	7
21	но и	6	7
22	и не	12	7
23	европейской культуры	4	7
24	в силу	2	7
25	для того	3	7
26	с другой	5	6
27	в общем	2	6
28	того что	2	6
29	как на	2	6
30	в мире	2	6
31	в европе	2	6
32	только в	7	6
33	именно в	2	5
34	и без	3	5
35	столь же	3	5
36	и с	2	5
37	потому что	3	5
38	но в	9	5
39	и к	4	5
40	в то	7	5
41	и если	4	5
42	в его	2	5
43	не только	17	5
44	по сравнению	2	5
45	в себе	3	5
46	тех кто	4	4
47	хотя и	3	4
48	из них	2	4
49	должно быть	2	4
50	мы должны	4	4
51	то же	9	4
52	хотя бы	8	4
53	в виде	2	4
54	в области	11	4
55	с одной	3	3
56	для нас	2	3
57	в нем	3	3
58	и других	2	3
59	заключается в	3	3
60	а в	4	3
61	это не	3	3
62	в начале	2	3
63	что мы	3	3
64	и потому	4	3
65	с тем	3	3
66	прежде всего	3	3
67	в жизни	2	3
68	тот же	3	3
69	другие народы	2	3
70	в с	4	3
71	тем более	2	3
72	и это	2	3
73	в частности	2	2
74	сводится к	3	2
75	же время	7	2
76	одной стороны	3	2
77	в ней	6	2
78	в котором	4	2
79	заключает в	2	2
80	с ними	3	2
81	в которых	5	2
82	говорить о	2	2
83	не было	2	2
84	в гораздо	4	2
85	отнюдь не	2	2
86	в них	2	2
87	современной европейской	2	2
88	одна из	2	2
89	но не	3	2
90	в а	2	2
91	было бы	6	2
92	между прочим	2	2
93	тем самым	3	2
94	есть в	2	2
95	в эту	2	2
