N	2gram	Tiupa_Hudo_1	Hudozhes
1	и в	19	28
2	в рассказе	3	21
3	том что	8	19
4	в ее	5	18
5	и не	15	18
6	своего рода	5	16
7	в том	18	15
8	а не	9	14
9	не в	7	13
10	в этом	11	13
11	о том	2	12
12	как и	2	11
13	при этом	13	11
14	в его	9	11
15	не только	16	11
16	уже не	4	10
17	не случайно	3	10
18	но и	10	9
19	в себе	9	9
20	в душе	8	8
21	о чем	2	8
22	в жизни	2	8
23	что он	3	8
24	может быть	14	8
25	себя в	7	8
26	так и	11	8
27	внешней данности	5	8
28	между тем	4	8
29	я не	2	7
30	жизни в	2	7
31	к тому	4	7
32	об этом	2	7
33	в мире	21	7
34	в частности	13	7
35	отношению к	9	7
36	что она	2	7
37	по отношению	9	7
38	тогда как	13	7
39	внутренней заданности	4	7
40	с ним	2	7
41	состоит в	16	7
42	как это	5	7
43	это не	2	6
44	можно сказать	5	6
45	то что	4	6
46	в своей	5	6
47	человеческой жизни	2	6
48	если бы	3	6
49	то же	10	6
50	сводится к	7	6
51	а в	12	6
52	для себя	2	6
53	в то	6	6
54	я и	7	6
55	с его	6	5
56	и другие	2	5
57	не менее	3	5
58	в своем	2	5
59	как бы	9	5
60	как в	2	5
61	с ее	5	5
62	в этой	2	5
63	что в	6	5
64	в самом	5	5
65	никогда не	2	5
66	в тексте	9	5
67	и его	12	5
68	художественного целого	3	5
69	жизни как	3	5
70	одно из	2	5
71	для него	4	5
72	тому что	2	4
73	превращается в	2	4
74	человеческого я	3	4
75	тем не	3	4
76	своей жизни	2	4
77	то в	2	4
78	но не	11	4
79	в качестве	24	4
80	же время	5	4
81	в художественном	4	4
82	для того	2	4
83	и о	3	4
84	он не	4	4
85	в конечном	5	4
86	что и	2	4
87	как раз	3	4
88	не может	7	4
89	того чтобы	2	4
90	только в	5	4
91	в миропорядке	8	4
92	была бы	3	3
93	конечном счете	5	3
94	в них	2	3
95	с другой	7	3
96	о себе	2	3
97	в одном	2	3
98	личности в	4	3
99	прежде всего	4	3
100	в нем	5	3
101	и ее	3	3
102	всякий раз	2	3
103	еще не	3	3
104	одной стороны	2	3
105	одной из	2	3
106	по преимуществу	2	3
107	не все	2	3
108	в этих	3	3
109	со стороны	2	3
110	все это	2	3
111	а с	2	3
112	с одной	2	3
113	и состоит	3	3
114	так же	2	3
115	или в	2	3
116	с другими	4	3
117	и на	2	3
118	и это	2	3
119	героя и	5	3
120	к нему	3	3
121	всего лишь	4	3
122	в основе	4	2
123	место в	4	2
124	автора и	3	2
125	и составляет	3	2
126	себя и	2	2
127	отнюдь не	2	2
128	однако в	4	2
129	способность к	2	2
130	именно в	2	2
131	не столько	3	2
132	не как	2	2
133	из этих	3	2
134	художественности в	5	2
135	внутреннего я	4	2
136	вовсе не	2	2
137	как уже	2	2
138	в финале	2	2
139	или иного	3	2
140	или иной	7	2
141	не с	2	2
142	личности с	2	2
143	от своего	2	2
144	воспринимающего сознания	2	2
145	одна из	2	2
146	говорит в	2	2
147	человеческих отношений	2	2
148	со своей	3	2
149	и к	3	2
150	жизни то	2	2
151	того или	3	2
152	а также	5	2
153	не является	4	2
154	я с	5	2
155	один из	2	2
156	в нашем	2	2
157	не будет	2	2
158	отношение к	5	2
159	дело не	2	2
160	являет собой	3	2
161	приводит к	5	2
162	здесь не	2	2
163	в контексте	3	2
164	лишь в	4	2
165	во втором	4	2
166	тем самым	4	2
167	который в	2	2
168	в принципе	5	2
169	между ними	4	2
170	и для	2	2
171	с точки	3	2
172	человеческого бытия	2	2
173	в данном	4	2
174	и то	4	2
175	сказать что	4	2
176	потому что	3	2
177	личности и	3	2
178	точки зрения	10	2
179	самим собою	2	2
180	с самим	2	2
181	в роли	3	2
182	говорить о	3	2
183	в другом	3	2
184	могла бы	2	2
185	и т.д	3	2
186	и внешней	3	2
187	его в	2	2
188	роли в	4	2
189	но в	7	2
