N	2gram	Voloshinov_1	Komedia
1	и в	38	22
2	и не	14	21
3	том что	3	13
4	в том	2	12
5	таким образом	7	12
6	так как	7	11
7	потому что	5	10
8	в самом	4	9
9	вместе с	5	9
10	сих пор	2	9
11	если бы	4	8
12	что он	2	8
13	в его	6	8
14	что и	3	8
15	в этом	10	8
16	о том	4	8
17	его в	4	8
18	об этом	3	7
19	при этом	9	7
20	в свою	6	7
21	то же	14	7
22	а в	5	7
23	в конце	6	7
24	к этому	2	6
25	ясно что	2	6
26	тому же	2	6
27	свою очередь	4	6
28	еще не	3	6
29	для того	9	6
30	к тому	4	6
31	может быть	13	6
32	самом деле	4	6
33	того чтобы	7	6
34	и его	7	6
35	в то	9	6
36	связи с	3	5
37	же время	7	5
38	прежде всего	21	5
39	как это	5	5
40	и сам	2	5
41	хотя и	3	5
42	не только	27	5
43	в своей	2	5
44	отношение к	2	5
45	из них	3	5
46	все это	4	5
47	он не	2	5
48	тем что	2	5
49	к нему	2	5
50	в которых	2	5
51	с ним	2	5
52	но в	5	5
53	с самого	4	4
54	самого начала	4	4
55	с тем	8	4
56	но все	4	4
57	отнюдь не	10	4
58	однако в	2	4
59	между собой	2	4
60	вовсе не	2	4
61	нет и	3	4
62	и здесь	3	4
63	все же	7	4
64	не в	6	4
65	несмотря на	2	4
66	в ней	8	4
67	то что	8	4
68	но и	13	4
69	на него	4	4
70	в отношении	2	4
71	с помощью	6	4
72	а не	6	4
73	и для	3	4
74	друг друга	2	4
75	так же	4	4
76	либо в	2	4
77	точки зрения	10	4
78	само собой	4	4
79	в себе	9	4
80	в связи	2	4
81	бы в	5	4
82	так и	6	4
83	не является	5	4
84	хотя бы	18	4
85	и поэтому	3	4
86	и с	5	4
87	с его	7	3
88	прежде чем	2	3
89	в частности	3	3
90	никогда не	7	3
91	в какой	2	3
92	с этим	2	3
93	себе в	2	3
94	если не	3	3
95	в нем	4	3
96	и к	4	3
97	в ее	3	3
98	как и	10	3
99	в начале	3	3
100	в этой	6	3
101	по своему	3	3
102	было бы	7	3
103	конечно не	3	3
104	должно было	3	3
105	как бы	28	3
106	один из	4	3
107	в целом	4	3
108	не может	12	3
109	с точки	5	3
110	тем же	3	3
111	и даже	3	3
112	не так	3	3
113	их в	3	3
114	одной из	2	3
115	мы можем	7	3
116	теперь же	2	3
117	представляет собой	2	3
118	не знает	3	3
119	же самое	5	3
120	на это	4	3
121	перед ним	3	3
122	в которой	7	3
123	ничего не	8	3
124	в основе	2	2
125	уже в	5	2
126	все время	5	2
127	до того	3	2
128	в качестве	4	2
129	и без	4	2
130	как в	2	2
131	не будет	3	2
132	это не	3	2
133	равно как	2	2
134	и все	4	2
135	в одном	3	2
136	но при	3	2
137	если он	3	2
138	если мы	4	2
139	к своему	4	2
140	этом случае	3	2
141	которой мы	4	2
142	а на	2	2
143	тот же	2	2
144	не мог	3	2
145	совершенно не	3	2
146	на его	5	2
147	от того	3	2
148	конце концов	3	2
149	и он	2	2
150	между ними	3	2
151	в котором	3	2
152	должен быть	2	2
153	не с	3	2
154	человека не	4	2
155	этих слов	3	2
156	во всех	6	2
157	как мы	9	2
158	при всем	2	2
159	целый ряд	3	2
160	его не	2	2
161	бы не	2	2
162	отношения к	3	2
163	не было	2	2
164	этом отношении	2	2
165	человека в	2	2
166	мы не	9	2
167	в мире	2	2
168	из которых	3	2
169	роль в	3	2
170	с другими	2	2
171	можно было	4	2
172	собой разумеется	2	2
173	в своих	2	2
174	и на	6	2
175	ли не	2	2
176	тому что	5	2
177	между тем	3	2
178	нуждается в	2	2
179	что мы	11	2
180	и это	7	2
181	нет ничего	2	2
182	здесь не	2	2
183	в области	5	2
184	в виду	3	2
