N	2gram	Vinokur_Ku_1	Vladivir
1	и в	24	31
2	не только	10	24
3	но и	6	19
4	то что	9	18
5	и не	12	17
6	и даже	3	15
7	том что	21	14
8	что в	17	14
9	в этом	14	14
10	и с	5	14
11	что он	6	12
12	в его	12	12
13	но в	2	12
14	с его	4	11
15	в том	30	11
16	между прочим	2	11
17	потому что	23	11
18	о том	9	11
19	так что	4	10
20	и то	3	10
21	также и	2	10
22	он не	2	10
23	никогда не	2	9
24	а в	5	9
25	даже и	3	9
26	только в	11	9
27	в то	2	8
28	так как	9	8
29	в москве	2	8
30	уже в	3	7
31	о нем	2	7
32	как раз	8	7
33	и его	5	7
34	как это	3	7
35	еще и	5	7
36	е в	2	7
37	можно сказать	3	6
38	у нас	10	6
39	в качестве	7	6
40	того же	4	6
41	и потому	4	6
42	может быть	13	6
43	свое время	2	6
44	иной раз	2	6
45	в котором	3	6
46	так и	7	6
47	не может	7	6
48	то же	8	6
49	и что	5	6
50	на этот	2	6
51	это было	2	6
52	а с	3	5
53	все это	6	5
54	вовсе не	10	5
55	на то	4	5
56	не в	11	5
57	и если	3	5
58	видно что	2	5
59	в свое	2	5
60	что и	4	5
61	когда он	3	5
62	что же	6	5
63	не было	3	5
64	с ним	5	5
65	я не	2	4
66	же время	2	4
67	в своем	3	4
68	же касается	4	4
69	и все	2	4
70	этом смысле	3	4
71	в нем	4	4
72	для нас	2	4
73	в себе	3	4
74	что его	2	4
75	как и	2	4
76	и как	2	4
77	в этой	3	4
78	никак не	2	4
79	хотя и	3	4
80	один из	4	4
81	в своей	2	4
82	в истории	3	4
83	а а	3	4
84	в особенности	3	4
85	не раз	2	4
86	несмотря на	3	4
87	в которой	6	4
88	мы увидим	3	3
89	под влиянием	3	3
90	в общем	3	3
91	только к	2	3
92	к тому	5	3
93	с другой	7	3
94	как в	4	3
95	к своему	2	3
96	но не	5	3
97	что они	4	3
98	более или	3	3
99	ничего не	2	3
100	тот же	2	3
101	все же	12	3
102	на его	3	3
103	в целом	4	3
104	вместе с	7	3
105	был в	2	3
106	или менее	3	3
107	по своим	2	3
108	другой стороны	6	3
109	в связи	3	3
110	таким образом	12	3
111	свидетельствуют о	2	3
112	все эти	6	3
113	если не	3	3
114	не мог	2	3
115	уже не	8	3
116	свидетельствует о	2	3
117	в науке	4	3
118	и он	3	3
119	и на	4	3
120	то мы	3	3
121	что касается	2	3
122	на себя	3	3
123	и здесь	3	3
124	здесь не	3	3
125	тем что	8	2
126	больше всего	2	2
127	нисколько не	3	2
128	с тем	5	2
129	уже и	3	2
130	не менее	7	2
131	в частности	4	2
132	в них	7	2
133	хотя бы	10	2
134	по существу	4	2
135	не столько	2	2
136	что все	2	2
137	то обстоятельство	8	2
138	ясно что	3	2
139	его к	3	2
140	в тех	4	2
141	указать на	4	2
142	тем не	4	2
143	ни в	2	2
144	это и	4	2
145	несколько слов	3	2
146	тем более	2	2
147	что я	2	2
148	учение о	4	2
149	что с	2	2
150	своего времени	2	2
151	еще не	5	2
152	при этом	6	2
153	того что	9	2
154	было бы	15	2
155	в это	2	2
156	и мы	2	2
157	ними и	2	2
158	в самом	10	2
159	конечно не	2	2
160	обратить внимание	2	2
161	том чтобы	8	2
162	одним из	2	2
163	всяком случае	5	2
164	к жизни	2	2
165	даже в	3	2
166	и т	33	2
167	и а	2	2
168	из них	4	2
169	дело не	2	2
170	со стороны	4	2
171	что она	3	2
172	а именно	2	2
173	так например	2	2
174	то и	2	2
175	именно так	2	2
176	т д	14	2
177	и для	2	2
178	лишь в	2	2
179	тем самым	4	2
180	того чтобы	17	2
181	для того	16	2
182	что такое	6	2
183	как на	3	2
184	той же	3	2
185	с ними	4	2
186	в результате	5	2
187	во всяком	5	2
188	точки зрения	14	2
189	к себе	4	2
190	в каком	2	2
191	обстоятельство что	8	2
192	из этих	4	2
193	и еще	2	2
194	о котором	2	2
195	а это	3	2
