N	2gram	Voloshinov_1	VLabPisa
1	таким образом	17	27
2	в этом	16	26
3	и в	19	25
4	не только	8	22
5	может быть	26	21
6	хотя бы	5	20
7	и не	26	19
8	не может	24	17
9	в его	6	15
10	в процессе	14	14
11	прежде всего	13	13
12	в том	6	13
13	этом отношении	3	13
14	в частности	2	12
15	все это	3	12
16	с другой	5	11
17	из них	3	11
18	не могут	3	10
19	в качестве	2	10
20	о том	2	10
21	к этому	5	9
22	что в	4	9
23	для него	9	9
24	и др	2	9
25	но и	8	9
26	то же	7	9
27	все эти	7	8
28	в своем	2	8
29	другой стороны	6	8
30	могут быть	2	8
31	из этих	2	7
32	как и	12	7
33	том что	3	7
34	было бы	4	7
35	отношению к	2	7
36	во всех	7	7
37	по отношению	3	7
38	не было	3	7
39	а не	7	7
40	в себе	2	6
41	это и	3	6
42	то что	8	6
43	в основном	6	6
44	в нем	10	6
45	так и	11	6
46	бы и	2	6
47	и его	19	6
48	между тем	3	6
49	в то	3	6
50	в результате	9	5
51	тому что	2	5
52	же время	3	5
53	все же	8	5
54	и при	3	5
55	зависимости от	2	5
56	в пределах	6	5
57	связи с	11	5
58	и есть	3	5
59	действительности и	3	5
60	одним из	2	5
61	как бы	15	5
62	сказать что	4	5
63	только в	9	5
64	не в	5	5
65	не является	4	5
66	к тому	2	4
67	в единстве	2	4
68	никогда не	2	4
69	что все	2	4
70	что он	2	4
71	можно сказать	3	4
72	художественный образ	2	4
73	в ее	7	4
74	в романе	2	4
75	одна из	2	4
76	в своей	3	4
77	в самом	10	4
78	как раз	2	4
79	в связи	7	4
80	в философии	2	4
81	чем же	4	4
82	это делает	2	3
83	и к	3	3
84	и ее	3	3
85	и как	3	3
86	и от	3	3
87	в конце	5	3
88	момент в	3	3
89	мы знаем	5	3
90	у нас	2	3
91	или в	2	3
92	с этим	4	3
93	что не	2	3
94	далеко не	4	3
95	и он	2	3
96	в виду	2	3
97	в котором	3	3
98	нет и	4	3
99	его в	3	3
100	что и	2	3
101	жизни и	2	3
102	и их	2	3
103	всех других	3	3
104	именно в	5	3
105	этой проблемы	4	3
106	этот вопрос	5	3
107	сводится к	3	3
108	имеет свою	3	3
109	того что	3	3
110	так же	7	3
111	в слове	10	3
112	в работе	2	3
113	точки зрения	34	3
114	она не	2	3
115	является не	6	3
116	явлений и	2	3
117	бы в	2	3
118	не менее	4	2
119	том числе	2	2
120	вне его	4	2
121	в каждом	7	2
122	зависит от	2	2
123	связана с	2	2
124	мира и	2	2
125	и формы	3	2
126	формы и	3	2
127	вовсе не	5	2
128	а как	3	2
129	по себе	4	2
130	или иной	3	2
131	в целях	3	2
132	не приходится	2	2
133	до сих	8	2
134	и потому	5	2
135	но для	2	2
136	они и	2	2
137	числе и	2	2
138	не об	2	2
139	из основных	3	2
140	еще не	4	2
141	же самое	3	2
142	для того	4	2
143	одной из	3	2
144	если бы	2	2
145	на язык	3	2
146	в науке	6	2
147	в ней	4	2
148	конце концов	3	2
149	и даже	2	2
150	всяком случае	2	2
151	и этот	2	2
152	отнюдь не	6	2
153	он может	3	2
154	сих пор	8	2
155	этот процесс	3	2
156	от того	4	2
157	а в	4	2
158	человека в	2	2
159	того чтобы	5	2
160	из которых	2	2
161	должны быть	3	2
162	что такое	2	2
163	между ними	4	2
164	и для	11	2
165	к этим	3	2
166	можно было	2	2
167	с другими	3	2
168	в своих	2	2
169	не столько	4	2
170	познание в	2	2
171	во всяком	5	2
172	лишь в	9	2
173	он не	3	2
174	к его	2	2
175	в другом	2	2
176	ту же	2	2
177	как он	2	2
178	в чем	2	2
179	в которой	3	2
180	в области	3	2
181	же как	2	2
182	нет ни	2	2
183	в сознании	2	2
184	но в	7	2
