N	2gram	Bakhtin_Pr_3	Dialekti
1	т е	12	46
2	и не	29	30
3	а не	9	18
4	может быть	19	17
5	и т	8	17
6	ничего не	4	17
7	то что	11	16
8	и в	34	15
9	т д	2	15
10	как бы	27	14
11	так как	4	14
12	точки зрения	8	14
13	что это	5	13
14	того что	5	13
15	по себе	3	13
16	это не	5	12
17	прежде всего	15	11
18	и вот	5	11
19	в том	3	11
20	не может	19	11
21	говорить о	3	11
22	и все	19	11
23	в этом	16	11
24	с ее	3	10
25	потому что	12	10
26	том что	3	10
27	было бы	2	9
28	в виду	3	9
29	все это	16	9
30	и что	5	9
31	это и	2	9
32	то же	14	9
33	уже не	2	9
34	с точки	4	9
35	ни в	4	8
36	не в	9	8
37	в себе	6	8
38	не только	10	8
39	в чем	5	8
40	и ее	2	8
41	и это	4	8
42	что в	7	7
43	крайней мере	3	7
44	что оно	2	7
45	по крайней	3	7
46	он есть	2	7
47	что он	23	7
48	как и	18	7
49	и его	16	7
50	и вообще	2	7
51	только в	6	7
52	так что	5	6
53	же время	12	6
54	хотя и	3	6
55	и даже	7	6
56	сказать что	2	6
57	вовсе не	11	6
58	если бы	4	6
59	в то	12	6
60	что и	5	6
61	я не	7	5
62	сама по	2	5
63	так и	6	5
64	в своем	2	5
65	в ней	3	5
66	в нем	19	5
67	но только	2	5
68	таким образом	5	5
69	и на	6	5
70	о том	2	5
71	с его	6	5
72	в жизни	2	5
73	то в	2	5
74	что я	15	5
75	в сущности	11	5
76	что такое	2	5
77	и для	8	5
78	той же	2	5
79	что все	4	4
80	и как	3	4
81	но это	4	4
82	что они	6	4
83	один из	2	4
84	жизни и	3	4
85	но и	12	4
86	так же	8	4
87	только так	2	4
88	с ними	6	4
89	и с	15	4
90	не о	4	4
91	той или	2	4
92	мы должны	5	4
93	в одном	5	4
94	с тем	5	4
95	отнюдь не	2	4
96	не как	3	4
97	этом смысле	4	4
98	то ни	4	4
99	еще не	4	4
100	как раз	4	4
101	бы в	3	4
102	хотя бы	5	4
103	тому как	2	4
104	в его	22	4
105	подобно тому	2	4
106	вы не	2	3
107	та же	2	3
108	на этом	4	3
109	и если	2	3
110	себя и	8	3
111	и тут	2	3
112	все эти	4	3
113	и об	2	3
114	есть только	3	3
115	и наконец	5	3
116	с этим	2	3
117	даже и	4	3
118	с ним	8	3
119	себя как	2	3
120	нет ни	2	3
121	но в	16	3
122	я уже	2	3
123	сознания и	3	3
124	лежит в	2	3
125	надо было	2	3
126	так чтобы	3	3
127	когда она	2	3
128	мы уже	6	3
129	за пределы	2	3
130	в своей	3	3
131	и потому	2	3
132	говорит о	2	3
133	когда он	2	3
134	быть и	2	3
135	бы и	4	3
136	как в	4	3
137	и события	2	3
138	она в	2	3
139	что не	7	3
140	и то	3	3
141	в виде	4	3
142	от него	6	3
143	тотчас же	4	3
144	не менее	3	2
145	в человеке	2	2
146	и без	2	2
147	в отношении	9	2
148	с этой	2	2
149	вопрос о	2	2
150	слово о	7	2
151	к своему	5	2
152	да и	4	2
153	но все	5	2
154	это как	3	2
155	что с	3	2
156	при этом	4	2
157	мог бы	2	2
158	в самом	8	2
159	себе и	5	2
160	от себя	6	2
161	совпадает с	2	2
162	никогда не	8	2
163	в котором	3	2
164	был бы	2	2
165	у достоевского	13	2
166	из них	5	2
167	вот как	3	2
168	другой стороны	3	2
169	для этого	3	2
170	и только	2	2
171	не было	2	2
172	лишь в	5	2
173	не мог	5	2
174	должно быть	3	2
175	когда уже	2	2
176	и так	5	2
177	а что	3	2
178	же и	2	2
179	но как	4	2
180	ведь и	3	2
181	во всем	3	2
182	что даже	2	2
183	того или	2	2
184	а как	2	2
185	нисколько не	2	2
186	однако в	2	2
187	в них	2	2
188	и во	3	2
189	или другого	2	2
190	в ее	3	2
191	все же	7	2
192	но именно	2	2
193	конечно не	2	2
194	же вы	2	2
195	о нем	2	2
196	в этот	2	2
197	нет и	3	2
198	тем не	2	2
199	во всех	2	2
200	вместе с	4	2
201	что же	8	2
202	находится в	2	2
203	бы не	2	2
204	все равно	4	2
205	и слово	8	2
206	только что	3	2
207	да еще	2	2
208	жизнь и	2	2
209	во всяком	5	2
210	тем что	4	2
211	но для	3	2
212	как будто	7	2
213	отношении к	7	2
214	в которой	2	2
215	отличие от	2	2
216	тут не	3	2
217	это было	3	2
