N	2gram	Losev_Prob_2	Sotsiolo
1	все это	4	7
2	в том	12	5
3	в этом	17	5
4	не в	2	3
5	как же	4	3
6	для нас	9	3
7	и только	4	3
8	но ведь	3	3
9	в его	7	3
10	и в	35	3
11	не только	24	3
12	как только	3	2
13	или даже	3	2
14	еще не	10	2
15	было бы	8	2
16	как будто	6	2
17	только в	14	2
18	в конце	7	2
19	это и	3	2
20	и мы	2	2
21	таким образом	4	2
22	том что	19	2
23	далеко не	4	2
24	то же	5	2
25	то что	38	2
26	тем более	10	2
27	может быть	18	2
28	в результате	4	2
29	в частности	5	2
30	и что	13	2
31	но и	16	2
32	только как	3	2
33	как бы	4	2
34	конце концов	7	2
35	ведь это	2	2
36	что в	11	2
