N	3gram	Bakhtin_Pr_1	Myshleni
1	для того чтобы	2	14
2	по отношению к	11	12
3	в том что	7	11
4	с точки зрения	15	9
5	друг с другом	3	7
6	с самого начала	2	5
7	можно сказать что	2	5
8	в этом отношении	5	5
9	заключается в том	2	5
10	потому что он	2	5
11	в то время	2	4
12	о том что	2	4
13	подобно тому как	3	4
14	в лучшем случае	2	3
15	можно было бы	3	3
16	до сих пор	2	3
17	не может быть	3	3
18	в отличие от	2	2
19	том что он	4	2
20	в самом деле	2	2
21	в той же	3	2
22	и не может	2	2
23	само по себе	2	2
24	с другой стороны	2	2
25	в зависимости от	3	2
26	именно потому что	2	2
