N	2gram	Bakhtin_Fr_8	Formalny
1	и не	9	30
2	вовсе не	6	28
3	и в	56	27
4	может быть	3	25
5	не может	2	24
6	так и	13	21
7	и его	12	19
8	таким образом	17	18
9	в этом	14	18
10	а не	2	17
11	точки зрения	6	16
12	самом деле	2	16
13	в нем	8	15
14	в процессе	5	15
15	то же	11	15
16	между ними	2	15
17	на самом	2	14
18	как и	5	14
19	с точки	2	14
20	не в	3	12
21	если бы	2	12
22	в самом	9	11
23	но и	9	10
24	в действительности	2	9
25	так как	4	9
26	не только	8	9
27	так же	2	9
28	что в	5	8
29	ни в	2	8
30	при этом	4	8
31	в пределах	5	8
32	как бы	11	8
33	с помощью	3	8
34	и все	6	8
35	то что	3	8
36	как раз	2	8
37	как мы	7	8
38	только в	9	8
39	в том	13	7
40	же время	10	7
41	все это	8	7
42	потому что	6	7
43	в то	12	7
44	его в	2	7
45	между тем	3	7
46	с тем	2	7
47	в его	18	7
48	там где	3	7
49	с другой	2	6
50	все эти	15	6
51	в своих	4	6
52	бы в	3	6
53	но в	6	6
54	в литературе	3	6
55	что он	2	6
56	более того	3	6
57	еще не	10	6
58	было бы	2	6
59	действительности и	2	6
60	все же	2	6
61	в своей	2	6
62	и для	2	6
63	в данном	2	6
64	и ее	4	6
65	вместе с	2	6
66	никогда не	5	5
67	ни было	2	5
68	что они	2	5
69	совсем не	2	5
70	того чтобы	4	5
71	и их	8	5
72	другой стороны	2	5
73	в ней	4	5
74	в результате	5	5
75	большинстве случаев	6	5
76	но не	5	5
77	и потому	4	5
78	связи с	6	5
79	так сказать	5	5
80	уже в	2	4
81	то ни	2	4
82	прежде всего	6	4
83	он был	12	4
84	и как	2	4
85	в большинстве	7	4
86	до конца	11	4
87	для того	2	4
88	мы видели	5	4
89	бы то	2	4
90	данном случае	2	4
91	в связи	3	4
92	они не	5	4
93	и те	2	4
94	от всех	2	4
95	о том	4	4
96	в ее	6	4
97	в романе	21	4
98	том что	8	4
99	слов и	3	4
100	конечно не	4	4
101	только на	2	4
102	роль в	5	4
103	в слове	2	4
104	мы не	2	4
105	слова и	3	4
106	бы и	2	3
107	что это	4	3
108	в этих	11	3
109	это не	2	3
110	можно сказать	2	3
111	между людьми	2	3
112	одним из	5	3
113	в эпоху	10	3
114	той же	6	3
115	в которых	2	3
116	и на	7	3
117	их в	4	3
118	сказать что	3	3
119	и с	8	3
120	в основе	4	3
121	он и	2	3
122	к его	3	3
123	романа в	2	3
124	и более	4	3
125	в них	11	3
126	сливаются в	3	3
127	в условиях	5	3
128	мы уже	10	3
129	во всех	8	3
130	время в	3	3
131	в той	6	3
132	уже не	3	3
133	и эта	2	3
134	не на	3	3
135	ничто не	2	3
136	в себе	4	3
137	а на	2	2
138	друг другу	2	2
139	в отношении	5	2
140	характерно что	2	2
141	человека и	2	2
142	главным образом	3	2
143	всех этих	3	2
144	пародии на	2	2
145	но это	2	2
146	такой же	5	2
147	в этой	6	2
148	нем и	2	2
149	со всею	3	2
150	в котором	2	2
151	связи и	3	2
152	и др	8	2
153	был бы	3	2
154	из них	2	2
155	дело не	2	2
156	что она	2	2
157	в своем	3	2
158	он становится	2	2
159	весь этот	2	2
160	и даже	8	2
161	действующих лиц	2	2
162	могла быть	2	2
163	всех областях	2	2
164	к которому	3	2
165	с его	5	2
166	видели что	3	2
167	только не	2	2
168	из нее	2	2
169	не как	2	2
170	и во	2	2
171	превращаются в	2	2
172	к этому	2	2
173	является и	2	2
174	с ее	5	2
175	одна из	4	2
176	эпохи в	9	2
177	одной из	3	2
178	в сущности	8	2
179	за пределы	4	2
180	вот как	2	2
181	ни с	5	2
182	даже в	4	2
183	что и	3	2
184	и самый	3	2
185	в каком	2	2
186	ту же	4	2
187	связаны с	6	2
188	дело в	2	2
189	в области	5	2
190	в эту	2	2
