N	2gram	Tiupa_Anal_1	Problemy
1	и в	18	46
2	то есть	11	40
3	и не	21	27
4	может быть	29	23
5	как бы	5	19
6	не может	22	19
7	в нем	3	17
8	в этом	13	16
9	не только	15	14
10	и т.п	5	14
11	но и	17	12
12	как и	13	12
13	как мы	2	12
14	и на	5	11
15	точки зрения	6	11
16	а не	17	11
17	не в	14	10
18	в пределах	2	10
19	прежде всего	6	9
20	в том	27	9
21	в самом	6	9
22	и все	3	9
23	вовсе не	2	9
24	и к	3	9
25	в его	13	9
26	с точки	4	9
27	и с	2	7
28	по себе	4	7
29	еще не	3	7
30	в сущности	6	7
31	в себе	11	7
32	никогда не	2	6
33	ни в	4	6
34	о нем	3	6
35	но в	8	6
36	на фоне	2	6
37	что он	3	6
38	то же	9	6
39	и его	5	6
40	только в	6	6
41	это не	6	5
42	же время	6	5
43	при этом	12	5
44	и сам	2	5
45	в котором	3	5
46	к нему	3	5
47	по отношению	6	5
48	особенно в	2	5
49	в то	9	5
50	так как	2	5
51	с его	3	5
52	за пределы	2	5
53	о том	5	5
54	отношению к	5	5
55	том числе	3	4
56	что в	5	4
57	можно сказать	2	4
58	в их	5	4
59	таким образом	3	4
60	все эти	2	4
61	должно быть	2	4
62	потому что	2	4
63	внутреннее пространство	2	4
64	том что	12	4
65	но не	10	4
66	он не	3	4
67	все же	4	4
68	то что	6	4
69	своего рода	3	4
70	в процессе	2	4
71	так и	4	4
72	в себя	6	4
73	уже не	4	4
74	самом деле	2	4
75	на себя	2	4
76	здесь не	2	4
77	себя и	4	3
78	с другой	4	3
79	из этих	2	3
80	не могут	3	3
81	в мире	8	3
82	такой же	2	3
83	на этом	2	3
84	одним из	3	3
85	не к	2	3
86	отношение к	2	3
87	и до	2	3
88	другой стороны	2	3
89	также и	2	3
90	как он	3	3
91	в речь	2	3
92	мы имеем	6	3
93	если бы	3	3
94	бытия и	2	3
95	более того	3	3
96	по своей	6	3
97	того же	4	3
98	было бы	2	3
99	в своей	6	3
100	и о	2	3
101	что и	3	3
102	себя в	6	3
103	что же	2	3
104	в отличие	6	3
105	в той	8	3
106	героя в	2	3
107	той же	2	3
108	отличается от	2	3
109	между двумя	3	3
110	в этой	5	3
111	далеко не	6	3
112	отличие от	6	3
113	и одновременно	3	2
114	для этого	2	2
115	или меньшей	4	2
116	на все	2	2
117	вопрос о	2	2
118	его к	2	2
119	или иной	6	2
120	к тому	7	2
121	и как	5	2
122	том или	3	2
123	времени и	6	2
124	большей или	4	2
125	для него	2	2
126	той или	6	2
127	и является	2	2
128	если в	3	2
129	могут оказаться	2	2
130	того и	3	2
131	отношения к	2	2
132	художественного видения	3	2
133	лишь в	5	2
134	свое время	2	2
135	и по	2	2
136	а в	9	2
137	широком смысле	2	2
138	самим собой	2	2
139	что мы	3	2
140	в художественном	3	2
141	в произведении	5	2
142	с ним	4	2
143	между тем	5	2
144	а как	2	2
145	и другого	4	2
146	бы ни	2	2
147	в присутствии	2	2
148	в свое	2	2
149	этого слова	7	2
150	нет и	2	2
151	сами по	2	2
152	вместе с	4	2
153	бы не	2	2
154	хотя бы	3	2
155	в данном	2	2
156	автора и	3	2
157	могут быть	4	2
158	в другом	4	2
159	которые в	2	2
