N	3gram	Medvedev_F_3	Problemy
1	с точки зрения	14	13
2	в этом смысле	2	10
3	в то же	7	9
4	то же время	7	9
5	по отношению к	3	8
6	в том что	3	6
7	в одной плоскости	3	5
8	в конце концов	2	5
9	в зависимости от	5	5
10	не может быть	14	4
11	на самом деле	12	4
12	то же что	2	3
13	и т п	5	3
14	сами по себе	2	3
15	с другой стороны	5	3
16	в этом отношении	3	3
17	подобно тому как	4	3
18	во всяком случае	6	3
19	видения и понимания	4	3
20	в данном случае	4	2
21	лишь одним из	2	2
22	в самом деле	4	2
23	в самом произведении	3	2
24	в большинстве случаев	4	2
25	и не может	4	2
26	бы то ни	4	2
27	только то что	2	2
28	именно потому что	2	2
29	и в то	2	2
