N	2gram	Nazirov_Tr_1	Narrotol
1	не только	8	26
2	но и	4	15
3	в том	2	14
4	при этом	3	14
5	и не	7	14
6	том что	4	13
7	и в	18	13
8	в этом	9	13
9	в частности	2	11
10	может быть	7	10
11	в данном	2	10
12	своего рода	3	9
13	к тому	2	9
14	так и	5	9
15	то есть	3	9
16	то что	4	8
17	в себе	4	8
18	не может	5	8
19	не в	2	8
20	никогда не	2	6
21	в своем	3	6
22	прежде всего	4	6
23	в его	3	6
24	данном случае	2	6
25	все же	5	6
26	у него	6	6
27	как бы	7	6
28	ничего не	2	6
29	но в	6	6
30	что он	6	5
31	он не	2	5
32	я не	4	5
33	в нем	4	5
34	как в	3	5
35	в отличие	2	5
36	тем самым	3	5
37	отличие от	2	5
38	в то	5	5
39	о том	2	5
40	перед нами	2	4
41	что это	5	4
42	отнюдь не	3	4
43	в глазах	2	4
44	в конце	3	4
45	об этом	4	4
46	как и	5	4
47	как у	2	4
48	что в	4	4
49	для него	3	4
50	о жизни	2	4
51	в ее	2	4
52	то же	5	4
53	уже не	2	4
54	в мире	3	4
55	в рассказе	2	4
56	в этой	4	4
57	и все	4	4
58	как это	3	4
59	с ним	3	4
60	но при	2	4
61	а как	2	3
62	с его	2	3
63	это не	5	3
64	что я	4	3
65	одна из	2	3
66	же время	6	3
67	и сам	3	3
68	только к	2	3
69	один из	3	3
70	в целом	4	3
71	то и	2	3
72	все эти	3	3
73	и даже	4	3
74	и его	6	3
75	в таком	2	3
76	он сам	7	2
77	в душе	2	2
78	о чем	3	2
79	по словам	2	2
80	столь же	2	2
81	точно так	2	2
82	и здесь	2	2
83	говорит о	2	2
84	что с	3	2
85	еще не	4	2
86	по поводу	2	2
87	и он	3	2
88	в самом	2	2
89	во сне	2	2
90	несмотря на	5	2
91	что она	2	2
92	что и	2	2
93	и личность	2	2
94	от всего	2	2
95	жизнью и	2	2
96	в самую	2	2
97	и что	4	2
98	не имеет	2	2
99	так же	4	2
100	это был	2	2
101	но это	4	2
102	не случайно	2	2
103	в виде	2	2
104	потому что	2	2
