N	2gram	Tiupa_Narr_1	Literetu
1	и не	20	22
2	тогда как	12	17
3	и в	19	16
4	в мире	9	16
5	при этом	9	15
6	не только	32	14
7	но и	23	14
8	в этом	17	14
9	а не	12	12
10	то что	11	12
11	может быть	25	12
12	в том	18	12
13	в частности	14	11
14	не в	14	10
15	такого рода	7	10
16	своего рода	12	10
17	то же	4	9
18	так и	9	9
19	в то	3	9
20	том что	14	8
21	не может	10	8
22	к себе	5	8
23	в этой	5	8
24	как бы	4	8
25	в противовес	4	7
26	же время	4	7
27	себя в	5	7
28	со стороны	9	7
29	тем самым	6	7
30	точки зрения	10	7
31	только в	4	7
32	по мысли	3	6
33	с его	6	6
34	состоит в	13	6
35	с другой	8	6
36	к тому	7	6
37	еще не	7	6
38	в его	9	6
39	и т.п	8	6
40	и его	5	6
41	в себе	8	6
42	о том	6	6
43	присутствия в	3	6
44	в качестве	21	5
45	это не	2	5
46	что он	6	5
47	в ее	3	5
48	тому же	5	5
49	субъекта и	2	5
50	как и	7	5
51	как в	7	5
52	а именно	3	5
53	в отличие	5	5
54	а в	11	5
55	этом отношении	3	5
56	именно в	6	5
57	всего лишь	2	5
58	коммуникативного события	12	5
59	в основе	5	5
60	то есть	19	5
61	отличие от	5	5
62	но не	5	4
63	в рамках	12	4
64	никогда не	3	4
65	однако в	2	4
66	даже в	2	4
67	по существу	2	4
68	одной стороны	7	4
69	и для	2	4
70	одним из	2	4
71	хотя и	3	4
72	отношению к	6	4
73	из них	3	4
74	коммуникативное событие	3	4
75	данном случае	4	4
76	в тексте	16	4
77	по отношению	7	4
78	жизни в	3	4
79	с одной	7	4
80	а также	7	4
81	в данном	5	4
82	одно из	2	4
83	как будто	3	4
84	том числе	6	3
85	личности в	2	3
86	отнюдь не	5	3
87	в третьем	3	3
88	прежде всего	4	3
89	и как	5	3
90	то в	6	3
91	о чем	2	3
92	мира в	5	3
93	совершенно не	2	3
94	например в	2	3
95	вслед за	4	3
96	наконец в	2	3
97	и тем	4	3
98	с ее	3	3
99	жизни и	3	3
100	уже не	5	3
101	самом деле	2	3
102	говоря словами	2	3
103	с точки	2	3
104	тому как	2	3
105	не случайно	2	3
106	по своей	3	3
107	как это	6	3
108	отношения к	2	3
109	в области	2	3
110	но в	6	3
111	между тем	3	3
112	в противоположность	2	2
113	то она	2	2
114	ни было	3	2
115	что в	3	2
116	не менее	3	2
117	так или	2	2
118	в полном	2	2
119	в случае	7	2
120	и одновременно	2	2
121	то ни	3	2
122	быть может	2	2
123	что у	2	2
124	оно не	2	2
125	не как	2	2
126	одного из	4	2
127	не всегда	2	2
128	по себе	5	2
129	или иной	5	2
130	в нем	4	2
131	и ее	2	2
132	а по	2	2
133	же в	4	2
134	в присутствии	3	2
135	связи с	4	2
136	числе и	4	2
137	во втором	4	2
138	в свою	3	2
139	для него	2	2
140	можно сказать	5	2
141	было бы	4	2
142	что не	4	2
143	жизни а	2	2
144	несмотря на	2	2
145	вплоть до	2	2
146	той или	4	2
147	о нем	4	2
148	себя и	2	2
149	один из	3	2
150	не с	3	2
151	все же	7	2
152	бы то	3	2
153	отношение к	2	2
154	во второй	2	2
155	когда он	3	2
156	время в	2	2
157	бытия в	3	2
158	как мы	3	2
159	во всей	2	2
160	так же	2	2
161	как раз	2	2
162	и только	2	2
163	если не	4	2
164	складывается из	2	2
165	человека в	2	2
166	в принципе	4	2
167	другой стороны	4	2
168	и даже	3	2
169	жизни как	3	2
170	но без	2	2
171	или иначе	3	2
172	теперь как	4	2
173	и на	3	2
174	и с	4	2
175	тем что	3	2
176	следует признать	2	2
177	подобно тому	2	2
178	далеко не	5	2
179	на себя	3	2
180	представляет собой	13	2
181	его в	2	2
182	в первом	3	2
183	и потому	2	2
184	здесь не	4	2
185	мира и	2	2
