N	2gram	Berdyaev_V_1	UchenyiS
1	и в	16	14
2	а не	7	10
3	не только	2	10
4	и не	20	8
5	прежде всего	2	8
6	то что	9	7
7	в этом	4	7
8	вот почему	2	7
9	хотя бы	3	5
10	все это	5	5
11	но и	5	4
12	конечно не	2	4
13	но в	3	3
14	как и	4	3
15	и то	2	3
16	в своей	3	3
17	для него	2	3
18	это не	2	3
19	том что	2	2
20	но не	2	2
21	в том	3	2
22	является в	2	2
23	мы не	2	2
24	с его	3	2
25	не есть	6	2
26	не в	3	2
27	и для	3	2
28	но это	3	2
29	мы и	2	2
30	бы и	3	2
31	должна быть	3	2
32	только в	2	2
33	тем что	2	2
34	могут быть	2	2
35	его и	2	2
36	что он	4	2
37	что мы	4	2
38	в конце	3	2
39	что все	4	2
40	если не	3	2
41	не могут	2	2
42	превращается в	3	2
43	а между	2	2
44	что и	3	2
45	в его	4	2
46	более чем	2	2
47	между тем	2	2
