N	3gram	Vinokur_St_1	Dialekti
1	и т д	21	15
2	по крайней мере	2	9
3	с точки зрения	8	8
4	в том что	17	6
5	то же время	4	4
6	в том смысле	2	4
7	то или иное	3	4
8	о том что	11	4
9	с другой стороны	6	4
10	не значит что	3	3
11	в то время	2	3
12	в самом деле	5	3
13	может быть и	2	3
14	в то же	4	3
15	вовсе не в	2	3
16	не может быть	5	3
17	т е в	2	3
18	в данном случае	6	2
19	т д и	2	2
20	не только в	4	2
21	тем не менее	2	2
22	и т п	9	2
23	это не значит	3	2
24	до сих пор	7	2
25	во всяком случае	6	2
26	что в нем	2	2
27	так или иначе	2	2
