N	2gram	Bakhtin_fo_2	Myshleni
1	то что	7	26
2	что он	3	25
3	в этом	22	25
4	потому что	8	21
5	таким образом	3	19
6	в том	10	18
7	не может	2	18
8	точки зрения	10	18
9	того чтобы	8	17
10	что в	5	16
11	и в	46	16
12	того что	3	16
13	так как	6	16
14	не только	11	16
15	так же	2	15
16	том что	4	15
17	для того	8	14
18	в сущности	2	13
19	и не	9	12
20	отношение к	3	11
21	в его	8	11
22	но не	5	10
23	с помощью	3	10
24	было бы	2	10
25	как мы	6	10
26	а не	4	10
27	только в	11	10
28	в отношении	2	9
29	может быть	7	9
30	с точки	8	9
31	точка зрения	3	8
32	должно быть	5	8
33	о том	4	8
34	как это	2	8
35	в основе	6	8
36	как и	8	8
37	он не	5	8
38	то же	8	8
39	и есть	2	7
40	друг с	4	7
41	в нем	5	7
42	но он	2	7
43	того же	3	7
44	так и	7	7
45	по себе	2	7
46	с другом	4	7
47	что все	2	6
48	не в	9	6
49	в этой	2	6
50	но и	9	6
51	и на	7	6
52	как он	2	6
53	но в	10	6
54	у него	9	6
55	связанные с	5	6
56	к тому	3	6
57	в той	2	6
58	в другом	3	6
59	никогда не	6	5
60	в своем	5	5
61	что они	4	5
62	для него	3	5
63	как бы	10	5
64	не является	3	5
65	еще более	4	5
66	этом отношении	2	5
67	не знает	2	5
68	в то	5	5
69	с ним	4	5
70	можно сказать	2	5
71	тот же	3	5
72	как в	4	5
73	это значит	3	5
74	тем что	3	5
75	значит что	2	5
76	все эти	5	4
77	с другой	2	4
78	это не	2	4
79	с этой	4	4
80	так что	4	4
81	в пределах	5	4
82	при этом	6	4
83	друг от	2	4
84	от друга	2	4
85	и их	4	4
86	именно в	2	4
87	и по	3	4
88	опирается на	2	4
89	же самое	3	4
90	мы видим	2	4
91	тем более	3	4
92	в качестве	3	4
93	еще не	6	4
94	вместе с	9	4
95	другом месте	2	4
96	могут быть	2	4
97	все основные	2	3
98	в частности	5	3
99	прежде всего	14	3
100	как уже	3	3
101	в смысле	5	3
102	и как	3	3
103	но это	2	3
104	до конца	2	3
105	если в	2	3
106	мы видели	2	3
107	в их	3	3
108	с одной	2	3
109	как на	2	3
110	а в	3	3
111	и с	6	3
112	говорить о	2	3
113	в этих	3	3
114	и более	2	3
115	с тем	2	3
116	с этим	5	3
117	в одном	7	3
118	к этому	3	3
119	этом случае	2	3
120	все же	6	3
121	по существу	5	3
122	то в	2	3
123	по своему	2	3
124	что и	3	3
125	сих пор	2	3
126	ее в	3	3
127	не на	3	3
128	на этом	2	3
129	в себя	2	3
130	и его	12	3
131	связи с	8	3
132	до сих	2	3
133	только для	2	2
134	мы будем	3	2
135	до того	2	2
136	и другие	3	2
137	себя и	3	2
138	друг другу	2	2
139	и от	2	2
140	в плоскости	2	2
141	имеет место	3	2
142	в виду	3	2
143	в котором	4	2
144	только один	2	2
145	из них	8	2
146	все это	6	2
147	отношения к	4	2
148	в совершенно	3	2
149	те же	6	2
150	и даже	3	2
151	на основе	3	2
152	к ним	2	2
153	в истории	4	2
154	их в	4	2
155	том как	3	2
156	в этот	3	2
157	о чем	3	2
158	в них	7	2
159	что было	3	2
160	лежит в	2	2
161	вовсе не	13	2
162	его в	6	2
163	и к	2	2
164	на развитие	3	2
165	же в	4	2
166	у нас	2	2
167	все что	2	2
168	со всеми	2	2
169	жизни и	8	2
170	в корне	2	2
171	и потому	2	2
172	принадлежит к	2	2
173	во всех	11	2
174	находится в	2	2
175	значение для	2	2
176	во всяком	2	2
177	на протяжении	3	2
178	ту же	2	2
