N	2gram	Vinokur_St_2	Dialekti
1	т е	10	46
2	и не	9	30
3	а не	5	18
4	может быть	2	17
5	и т	9	17
6	ничего не	4	17
7	то что	11	16
8	и в	29	15
9	т д	6	15
10	как бы	5	14
11	не имеет	2	14
12	так как	2	14
13	точки зрения	5	14
14	что это	3	13
15	того что	5	13
16	по себе	3	13
17	прежде всего	5	11
18	в том	27	11
19	не может	2	11
20	в этом	21	11
21	потому что	9	10
22	том что	27	10
23	было бы	5	9
24	в виду	7	9
25	все это	11	9
26	и что	6	9
27	то же	2	9
28	и пр	8	9
29	с точки	2	9
30	ни в	3	8
31	не в	4	8
32	в себе	2	8
33	и о	4	8
34	не только	19	8
35	и это	2	8
36	что в	19	7
37	что именно	2	7
38	что он	13	7
39	как и	2	7
40	и его	6	7
41	и вообще	2	7
42	только в	2	7
43	так что	3	6
44	хотя и	4	6
45	и даже	3	6
46	в результате	2	6
47	сказать что	2	6
48	вовсе не	6	6
49	если бы	2	6
50	в то	2	6
51	что и	2	6
52	я не	7	5
53	так и	9	5
54	в своем	9	5
55	на то	2	5
56	того чтобы	6	5
57	в ней	7	5
58	в нем	4	5
59	таким образом	10	5
60	именно в	4	5
61	и на	6	5
62	о том	17	5
63	с его	2	5
64	что я	2	5
65	для того	7	5
66	что такое	2	5
67	в каком	2	5
68	и как	2	4
69	но это	3	4
70	в этой	2	4
71	что они	2	4
72	ни с	2	4
73	но и	19	4
74	в особенности	2	4
75	так же	3	4
76	также и	2	4
77	и с	4	4
78	в одном	6	4
79	с тем	7	4
80	то ни	2	4
81	как раз	8	4
82	в течение	6	4
83	хотя бы	3	4
84	в его	13	4
85	совершенно не	2	3
86	в их	3	3
87	все эти	2	3
88	с этим	3	3
89	в истории	2	3
90	но в	8	3
91	только не	2	3
92	в один	2	3
93	к этому	4	3
94	об этом	6	3
95	у нас	3	3
96	только потому	2	3
97	только о	2	3
98	в своей	7	3
99	и потому	2	3
100	нет никакого	2	3
101	со стороны	2	3
102	говорит о	2	3
103	при помощи	4	3
104	как в	3	3
105	в данном	2	3
106	в области	2	3
107	не менее	3	2
108	в частности	4	2
109	в отношении	2	2
110	с этой	2	2
111	вопрос о	6	2
112	что на	3	2
113	к своему	2	2
114	его как	2	2
115	но все	7	2
116	не дает	2	2
117	в пользу	3	2
118	что с	2	2
119	кроме того	4	2
120	при этом	2	2
121	случае не	2	2
122	в самом	7	2
123	никогда не	3	2
124	в котором	7	2
125	с той	2	2
126	из них	3	2
127	не по	2	2
128	другой стороны	3	2
129	далее в	2	2
130	не было	3	2
131	во внимание	2	2
132	не мог	3	2
133	и по	3	2
134	иметь в	3	2
135	как это	2	2
136	но они	2	2
137	а как	4	2
138	есть еще	2	2
139	в них	2	2
140	что было	2	2
141	вне всякого	2	2
142	в ее	2	2
143	все же	6	2
144	в качестве	5	2
145	бы ни	2	2
146	одной из	3	2
147	никак не	2	2
148	нет и	2	2
149	оно не	3	2
150	тем не	2	2
151	и именно	3	2
152	вместе с	7	2
153	ее в	2	2
154	не раз	2	2
155	того как	7	2
156	истории и	2	2
157	только что	2	2
158	сравнении с	2	2
159	что этот	2	2
160	во всяком	3	2
161	тем что	3	2
162	отношении к	3	2
163	что эта	3	2
164	в которой	11	2
165	отличие от	2	2
166	не могли	2	2
167	это было	2	2
