N	2gram	Losev_Prob_4	SlovoVZh
1	не может	5	16
2	точки зрения	14	14
3	может быть	9	14
4	и его	10	13
5	как бы	4	13
6	таким образом	8	12
7	и в	20	12
8	в нашем	12	11
9	и не	28	10
10	если бы	8	9
11	так как	5	9
12	прежде всего	11	8
13	для нас	6	7
14	сказать что	7	7
15	в нем	5	6
16	все время	2	6
17	при этом	6	6
18	в том	20	6
19	только в	23	6
20	в ней	7	6
21	в жизни	3	5
22	то что	15	5
23	а не	7	5
24	можно сказать	5	5
25	то же	7	5
26	хотя бы	7	5
27	как и	6	5
28	том что	12	5
29	отнюдь не	10	5
30	как в	5	5
31	что мы	3	5
32	но в	8	5
33	мы ни	2	5
34	в виду	6	5
35	и к	3	4
36	ни было	2	4
37	все же	2	4
38	жизни и	5	4
39	так и	10	4
40	с другой	7	4
41	на самом	5	4
42	уже не	5	4
43	что не	4	4
44	в литературе	2	4
45	зависимости от	3	4
46	не в	13	4
47	в этом	9	4
48	мы все	3	4
49	и на	3	4
50	его в	2	4
51	дело в	2	4
52	в самом	2	4
53	к нему	3	4
54	за пределы	2	4
55	и является	3	4
56	не только	24	4
57	в котором	2	3
58	в них	5	3
59	и более	3	3
60	не к	2	3
61	не менее	10	3
62	в художественном	4	3
63	в своей	4	3
64	все это	9	3
65	и по	2	3
66	и вообще	6	3
67	все эти	16	3
68	ясно что	7	3
69	по себе	11	3
70	но и	14	3
71	и наконец	4	3
72	тем не	10	3
73	ни в	17	3
74	да и	5	3
75	так же	5	3
76	самом деле	3	3
77	мы не	7	3
78	и с	7	3
79	о том	5	3
80	в каком	6	3
81	и ее	4	3
82	в себе	12	3
83	для него	3	3
84	в пределах	2	3
85	еще не	7	3
86	только на	2	3
87	и для	4	3
88	конечно не	3	3
89	из этого	3	3
90	здесь не	7	3
91	с ним	4	3
92	перестает быть	2	2
93	уже в	4	2
94	с его	2	2
95	что и	3	2
96	независимо от	3	2
97	но все	3	2
98	что в	3	2
99	на все	2	2
100	данном случае	5	2
101	вместе с	5	2
102	общего с	2	2
103	в зависимости	3	2
104	в этих	5	2
105	все они	3	2
106	между собой	2	2
107	в своем	3	2
108	в отношении	4	2
109	в какой	4	2
110	нет ничего	3	2
111	другой стороны	6	2
112	это не	7	2
113	дело с	2	2
114	мы имеем	6	2
115	и все	8	2
116	тому же	2	2
117	была бы	2	2
118	поскольку они	3	2
119	и что	2	2
120	слова но	3	2
121	едва ли	10	2
122	не есть	12	2
123	не так	3	2
124	и вполне	5	2
125	с точки	11	2
126	как же	2	2
127	же самое	6	2
128	стороны и	2	2
129	и притом	2	2
130	с другими	3	2
131	но это	6	2
132	в данном	6	2
133	в корне	2	2
134	и то	2	2
135	мы можем	3	2
136	но не	5	2
137	имеем в	3	2
138	кроме того	4	2
139	в то	4	2
140	и совершенно	2	2
141	ни на	3	2
142	но этот	2	2
143	действия и	2	2
144	эти и	2	2
145	в чем	2	2
146	как это	3	2
147	бы даже	4	2
148	является для	3	2
149	к его	3	2
150	он не	2	2
151	в условиях	3	2
152	в его	3	2
153	и потому	7	2
154	относится к	2	2
