N	2gram	Tiupa_Lite_1	VeschiIm
1	не есть	2	49
2	не может	5	33
3	не только	24	31
4	может быть	13	29
5	и не	12	28
6	и в	8	26
7	то что	10	24
8	и есть	3	23
9	а не	16	20
10	что я	2	16
11	только в	8	14
12	того что	6	13
13	было бы	2	12
14	но и	17	12
15	все же	4	12
16	в себя	2	12
17	и то	2	12
18	таким образом	3	11
19	то же	5	10
20	уже не	7	10
21	как бы	7	10
22	потому что	3	10
23	что такое	2	10
24	в том	16	9
25	в самом	3	9
26	прежде всего	11	9
27	что не	2	9
28	еще и	3	9
29	в себе	7	8
30	также и	3	7
31	в то	5	7
32	его в	3	7
33	том что	14	7
34	себя в	6	7
35	если оно	2	7
36	как раз	4	7
37	в этом	12	7
38	что в	3	6
39	для него	2	6
40	жизни и	3	6
41	со стороны	4	6
42	и только	2	6
43	точки зрения	6	6
44	но в	3	6
45	относится к	2	6
46	можно было	2	6
47	не менее	7	5
48	должна быть	2	5
49	это не	4	5
50	с этой	5	5
51	тем не	2	5
52	не в	8	5
53	еще не	4	5
54	для этого	4	5
55	а в	3	5
56	что для	2	5
57	отнюдь не	2	5
58	одна из	3	5
59	но не	4	5
60	того же	2	5
61	же это	2	5
62	в сущности	2	5
63	для себя	5	5
64	на себя	2	5
65	я не	7	4
66	с чем	2	4
67	в своем	11	4
68	с другой	3	4
69	же время	5	4
70	только то	2	4
71	из них	4	4
72	в их	3	4
73	то и	2	4
74	и даже	3	4
75	о том	2	4
76	то это	2	4
77	как и	6	4
78	на почве	2	4
79	должен быть	2	4
80	с точки	2	4
81	в данном	5	4
82	тем что	2	4
83	никогда не	4	3
84	к тому	2	3
85	несмотря на	3	3
86	на этом	2	3
87	и сам	6	3
88	в нем	2	3
89	к себе	3	3
90	на это	2	3
91	перестает быть	4	3
92	в жизни	6	3
93	один из	3	3
94	что он	5	3
95	в своей	4	3
96	так и	4	3
97	да и	3	3
98	только на	2	3
99	из того	2	3
100	самом деле	2	3
101	хотя бы	2	3
102	тому как	2	3
103	тем более	2	3
104	подобно тому	2	3
105	я в	5	3
106	в уме	4	3
107	в основе	3	3
108	бы я	2	2
109	казалось бы	5	2
110	это уже	2	2
111	в частности	15	2
112	человека и	2	2
113	а потому	2	2
114	а только	2	2
115	что ему	3	2
116	и нет	2	2
117	в виду	3	2
118	в сфере	3	2
119	так или	8	2
120	и тем	4	2
121	данном случае	4	2
122	этой точки	3	2
123	в слове	2	2
124	во втором	2	2
125	не мог	3	2
126	бы на	2	2
127	в своих	4	2
128	самим собою	2	2
129	самого себя	3	2
130	как это	8	2
131	то есть	6	2
132	именно так	2	2
133	превращается в	2	2
134	с собой	4	2
135	различие между	2	2
136	в силу	4	2
137	в качестве	17	2
138	для нее	2	2
139	как в	5	2
140	приводит к	3	2
141	тогда как	13	2
142	или нет?	2	2
143	при всем	3	2
144	тем же	3	2
145	взаимопонимания между	2	2
146	своей собственной	2	2
147	и его	4	2
148	той же	3	2
149	или иначе	9	2
150	из его	2	2
151	не случайно	2	2
152	во всяком	3	2
153	ту же	2	2
154	дело в	3	2
