N	2gram	Propp_Isto_6	TeoriaLi
1	не только	10	18
2	в качестве	3	17
3	тогда как	2	16
4	и не	10	16
5	а в	3	14
6	в частности	3	13
7	и в	26	13
8	может быть	11	12
9	так и	5	12
10	представляет собой	2	11
11	при этом	3	11
12	в этом	12	11
13	в том	12	11
14	но не	2	10
15	а не	2	10
16	и его	7	10
17	в его	5	9
18	то же	5	9
19	сводится к	2	8
20	что в	12	8
21	своего рода	2	8
22	отношению к	2	8
23	но и	9	8
24	по отношению	2	8
25	в себе	3	7
26	том что	10	7
27	в данном	3	7
28	в то	5	7
29	только в	5	7
30	как это	5	7
31	с его	4	6
32	еще не	9	6
33	как бы	4	6
34	в русской	6	6
35	но в	7	6
36	однако в	2	5
37	в своем	2	5
38	а также	4	5
39	как и	5	5
40	не в	3	5
41	в нем	8	5
42	данном случае	3	5
43	как в	6	5
44	он не	2	5
45	уже не	7	5
46	тем самым	2	5
47	с другой	10	5
48	мы имеем	14	5
49	можно сказать	2	4
50	ни в	2	4
51	в своей	3	4
52	то что	6	4
53	в форме	2	4
54	не может	6	4
55	сказать что	3	4
56	но он	2	4
57	и ее	3	4
58	мира и	2	4
59	перед нами	2	3
60	и др	2	3
61	никогда не	13	3
62	в этих	2	3
63	прежде всего	4	3
64	того что	2	3
65	и сам	2	3
66	например в	7	3
67	другой стороны	8	3
68	так в	6	3
69	таким образом	12	3
70	а с	2	3
71	и вот	3	3
72	и что	5	3
73	и по	4	3
74	или в	3	3
75	и то	3	3
76	потому что	13	3
77	в этой	2	3
78	его в	5	3
79	все эти	8	3
80	одну из	4	2
81	о чем	2	2
82	если бы	3	2
83	могут быть	3	2
84	того же	2	2
85	это не	4	2
86	вовсе не	2	2
87	что он	9	2
88	к тому	2	2
89	но как	4	2
90	и как	2	2
91	что они	2	2
92	одной стороны	7	2
93	и больше	2	2
94	из которых	3	2
95	здесь мы	4	2
96	даже в	2	2
97	не могло	2	2
98	в сказании	3	2
99	и тем	4	2
100	вместе с	8	2
101	образом и	2	2
102	со стороны	3	2
103	могло быть	2	2
104	а именно	9	2
105	здесь не	2	2
106	с одной	7	2
107	и некоторые	2	2
108	так же	2	2
109	их в	3	2
110	у него	7	2
111	вокруг него	3	2
112	как будто	3	2
113	о том	7	2
114	и это	8	2
