N	2gram	Bakhtin_Pr_1	Narrotol
1	не только	9	31
2	но и	9	27
3	и не	42	23
4	при этом	5	19
5	может быть	26	15
6	в частности	2	14
7	как и	7	13
8	а не	5	13
9	а в	6	13
10	только в	13	12
11	в этом	15	12
12	и в	38	11
13	в данном	4	11
14	и его	16	10
15	то что	8	9
16	то есть	46	9
17	то же	5	8
18	в том	8	8
19	данном случае	4	8
20	не может	27	8
21	если бы	3	7
22	том что	3	7
23	но в	4	7
24	не в	7	6
25	и он	2	6
26	в самом	7	6
27	как бы	22	6
28	или в	2	6
29	в себе	4	6
30	в его	43	6
31	можно сказать	2	5
32	той или	2	5
33	точка зрения	3	5
34	в своей	7	5
35	так и	5	5
36	событие в	2	5
37	тем самым	4	5
38	столь же	2	5
39	и на	3	5
40	точки зрения	8	5
41	слова в	7	4
42	с его	2	4
43	никогда не	5	4
44	к себе	2	4
45	событие и	3	4
46	или иной	2	4
47	все же	6	4
48	но не	12	4
49	же время	3	4
50	прежде всего	13	4
51	еще не	7	4
52	к нему	10	4
53	имеет место	5	4
54	в ней	4	4
55	и тем	3	4
56	в нем	15	4
57	в мире	3	4
58	как в	4	4
59	того что	2	4
60	того чтобы	2	4
61	хотя и	3	4
62	в то	4	4
63	о том	4	4
64	одна из	2	4
65	не менее	4	3
66	но они	4	3
67	что в	7	3
68	в нашем	4	3
69	в своем	5	3
70	это не	5	3
71	не всегда	6	3
72	что он	2	3
73	тем не	3	3
74	начало и	3	3
75	у нас	2	3
76	и как	8	3
77	в начале	2	3
78	в целом	3	3
79	самом деле	6	3
80	но как	2	3
81	для того	2	3
82	и о	5	3
83	он не	3	3
84	в конечном	4	3
85	не является	3	3
86	отношению к	19	3
87	в современной	2	3
88	по отношению	21	3
89	не было	2	3
90	этом отношении	2	3
91	лишь в	2	3
92	едва ли	3	3
93	к чему	2	3
94	и конец	2	3
95	в слове	3	3
96	также и	3	3
97	и с	17	3
98	и ее	2	3
99	и все	3	3
100	как это	2	3
101	мы имеем	2	3
102	между тем	7	3
103	в едином	2	2
104	отнюдь не	19	2
105	в этих	2	2
106	в свою	2	2
107	на то	2	2
108	к его	2	2
109	как мы	7	2
110	но зато	2	2
111	в событии	3	2
112	да и	3	2
113	она может	3	2
114	в романе	4	2
115	все что	3	2
116	между ними	4	2
117	всех его	4	2
118	имеем дело	3	2
119	в пределах	6	2
120	она не	2	2
121	со словами	2	2
122	не вполне	2	2
123	в событие	2	2
124	не имеет	9	2
125	оно не	3	2
126	лица и	2	2
127	хотя бы	4	2
128	себя в	2	2
129	в форме	4	2
130	другой стороны	4	2
131	содержание не	2	2
132	в отличие	5	2
133	в связи	2	2
134	входит в	8	2
135	и только	4	2
136	в особенности	2	2
137	человека в	2	2
138	что не	4	2
139	и даже	3	2
140	с другой	7	2
141	и для	11	2
142	особенно в	2	2
143	отличие от	5	2
144	в таком	3	2
145	ничего не	6	2
146	с ними	4	2
147	дело с	6	2
148	сказать что	4	2
149	мы можем	6	2
150	и от	3	2
151	связи с	2	2
152	же самое	2	2
153	на ее	3	2
154	в равной	2	2
155	дело в	2	2
156	в произведении	4	2
157	здесь не	4	2
158	в чем	2	2
159	с ним	5	2
160	в области	11	2
