N	2gram	Bakhtin_Pr_1	KFilosof
1	может быть	24	43
2	в его	24	39
3	в нем	19	31
4	не может	12	27
5	и не	31	26
6	по отношению	8	25
7	и в	29	22
8	в котором	2	21
9	отношению к	8	21
10	в себе	7	21
11	не есть	2	19
12	а не	22	17
13	и его	14	17
14	только в	10	16
15	точки зрения	19	13
16	в этом	22	13
17	ни в	3	12
18	для него	18	12
19	но не	9	12
20	и это	5	12
21	все эти	9	11
22	в своей	8	11
23	не в	7	11
24	к нему	6	11
25	в едином	4	10
26	в своем	8	10
27	это не	9	10
28	все это	6	10
29	с точки	13	10
30	и есть	2	9
31	в целом	6	9
32	но и	14	9
33	в их	3	9
34	как бы	19	9
35	его целом	6	9
36	и для	4	9
37	не было	4	8
38	мир в	3	8
39	если бы	9	8
40	было бы	5	8
41	жизни и	2	8
42	момент его	2	8
43	и здесь	3	7
44	в единстве	6	7
45	вовсе не	7	7
46	конечно не	2	7
47	что и	4	7
48	то что	15	7
49	в себя	3	7
50	я не	3	6
51	в смысле	2	6
52	в том	8	6
53	но это	4	6
54	отношение к	2	6
55	в мире	6	6
56	он не	5	6
57	не значит	4	6
58	уже не	13	6
59	менее всего	6	6
60	мира в	5	6
61	никогда не	3	5
62	хотя бы	2	5
63	но эта	4	5
64	то же	14	5
65	его как	4	5
66	но все	5	5
67	в контексте	2	5
68	именно в	5	5
69	должно быть	4	5
70	в основе	4	5
71	но как	3	5
72	его в	6	5
73	с ним	5	5
74	но в	7	5
75	не знает	3	5
76	как и	12	5
77	не только	15	5
78	для себя	2	5
79	все же	9	5
80	бытия в	3	5
81	там где	10	5
82	что в	8	4
83	входит в	7	4
84	ни было	2	4
85	здесь мы	2	4
86	при этом	2	4
87	в своих	3	4
88	между тем	5	4
89	в одном	10	4
90	нисколько не	2	4
91	не как	14	4
92	мира и	7	4
93	том что	7	4
94	только как	2	4
95	о нем	9	4
96	мира но	2	4
97	во всей	2	4
98	а в	7	4
99	а лишь	2	3
100	бы и	4	3
101	должна быть	5	3
102	в каждом	8	3
103	из его	2	3
104	лишь как	7	3
105	не дает	3	3
106	до конца	8	3
107	и пр	3	3
108	этого мира	6	3
109	себе и	3	3
110	был бы	6	3
111	от того	4	3
112	рядом с	14	3
113	и на	7	3
114	в ней	2	3
115	в то	10	3
116	отсюда и	2	3
117	всех этих	2	3
118	сознания и	5	3
119	этом смысле	10	3
120	мира не	2	3
121	еще не	5	3
122	ним и	3	3
123	в единство	9	3
124	на самом	5	3
125	самом деле	6	3
126	тем как	4	3
127	тем что	4	3
128	могут быть	6	3
129	и этим	3	3
130	ничего не	5	3
131	ни был	2	2
132	его и	2	2
133	то ни	2	2
134	единство бытия	2	2
135	прежде всего	7	2
136	вследствие этого	2	2
137	вопрос о	2	2
138	его к	2	2
139	все остальное	2	2
140	войти в	2	2
141	и как	7	2
142	же время	9	2
143	единство мира	3	2
144	он может	3	2
145	он ни	2	2
146	не о	2	2
147	себя и	2	2
148	по себе	8	2
149	тому что	3	2
150	и единство	2	2
151	как к	3	2
152	мысль не	3	2
153	именно на	2	2
154	не из	3	2
155	потому что	8	2
156	он и	5	2
157	к себе	2	2
158	себя как	2	2
159	в сознании	2	2
160	были бы	4	2
161	а как	7	2
162	с его	9	2
163	дело здесь	2	2
164	раз и	4	2
165	в жизни	2	2
166	что он	8	2
167	из самого	2	2
168	значимость и	2	2
169	бы то	2	2
170	тот же	2	2
171	кажется что	2	2
172	бы он	2	2
173	как предмет	4	2
174	и потому	6	2
175	оно не	3	2
176	сознания не	4	2
177	в процессе	4	2
178	так и	7	2
179	как в	6	2
180	нами в	2	2
181	это и	5	2
182	в данном	2	2
183	человек и	2	2
184	всей его	2	2
185	этот мир	3	2
186	в этой	4	2
187	отношении к	3	2
188	видения и	10	2
189	его на	2	2
190	или как	5	2
191	автора как	3	2
192	не потому	2	2
