N	2gram	Ircho_Kome_3	Mirosoze
1	может быть	6	30
2	не только	5	29
3	и в	22	28
4	не может	3	28
5	но и	4	25
6	а не	4	25
7	он не	5	24
8	в этом	8	20
9	не было	2	18
10	у него	4	17
11	не в	4	16
12	потому что	10	16
13	в ней	4	15
14	в своей	5	15
15	никогда не	3	14
16	человека и	2	14
17	он был	4	14
18	до конца	4	14
19	в нем	3	13
20	человека в	2	13
21	и он	2	12
22	и это	2	12
23	в самом	9	11
24	и не	21	11
25	что в	5	10
26	в своем	8	10
27	в мире	2	10
28	был бы	2	10
29	прежде всего	5	10
30	и все	2	10
31	что он	8	10
32	было бы	3	10
33	к человеку	2	9
34	с тем	4	9
35	в его	8	9
36	и его	6	9
37	в котором	2	8
38	в конце	7	7
39	но в	5	7
40	любви к	5	7
41	нет ничего	2	7
42	к нему	5	7
43	в себе	4	7
44	в том	12	6
45	в этой	3	6
46	все это	5	6
47	и на	2	6
48	вместе с	9	6
49	в которой	3	6
50	не могут	2	5
51	это не	2	5
52	и я	2	5
53	если он	2	5
54	от нее	3	5
55	как и	3	5
56	то что	4	5
57	нет и	4	5
58	уже в	2	4
59	с этой	3	4
60	не знает	3	4
61	человека не	2	4
62	отношение к	5	4
63	в их	2	4
64	отношения к	2	4
65	а в	7	4
66	в которых	5	4
67	точки зрения	4	4
68	должен был	4	4
69	в них	3	4
70	не как	2	4
71	один из	3	4
72	к концу	2	4
73	она не	2	4
74	за пределы	2	4
75	к ней	8	4
76	что и	8	4
77	тем что	5	4
78	себя и	2	3
79	к тому	6	3
80	не мог	2	3
81	но если	3	3
82	не имеет	3	3
83	не так	3	3
84	его не	2	3
85	с этим	3	3
86	и еще	3	3
87	его в	8	3
88	так как	11	3
89	и с	4	3
90	с его	3	3
91	в ее	3	3
92	том что	13	3
93	ничего не	3	3
94	конечно не	3	3
95	когда он	4	3
96	такого отношения	2	3
97	хотя бы	4	3
98	он знает	4	2
99	по своему	3	2
100	прежде чем	3	2
101	в свою	7	2
102	о чем	7	2
103	для того	6	2
104	и мы	3	2
105	одним из	2	2
106	на этот	3	2
107	в виду	2	2
108	по отношению	5	2
109	и что	6	2
110	время как	2	2
111	людей и	2	2
112	которую он	2	2
113	он и	2	2
114	в начале	3	2
115	как бы	3	2
116	о том	8	2
117	как он	3	2
118	бы в	4	2
119	с ним	5	2
120	в основе	2	2
121	а как	2	2
122	к этой	2	2
123	если бы	8	2
124	только один	2	2
125	и во	2	2
126	к этому	6	2
127	нет никаких	2	2
128	отношению к	3	2
129	в то	6	2
130	чем в	3	2
131	все что	3	2
132	то время	2	2
133	до сих	9	2
134	и к	3	2
135	должен быть	2	2
136	все же	4	2
137	по сравнению	2	2
138	не хочет	5	2
139	сих пор	9	2
140	как в	2	2
141	приводит к	3	2
142	бы не	2	2
143	т е	16	2
144	того чтобы	6	2
145	и для	4	2
146	конце концов	2	2
147	любовь к	3	2
