N	3gram	Vinokur_Ku_1	Marksizm
1	с точки зрения	9	20
2	не может быть	3	13
3	в самом деле	7	9
4	до сих пор	4	8
5	в связи с	3	7
6	и того же	2	5
7	одного и того	2	5
8	с другой стороны	6	5
9	в то же	2	3
10	то же время	2	3
11	социального общения и	2	3
12	в этом отношении	5	3
13	в том что	15	3
14	в этом случае	2	3
15	но все же	2	3
16	для того чтобы	15	3
17	отсюда следует что	2	2
18	в свою очередь	3	2
19	можно было бы	3	2
20	тем не менее	4	2
21	во всяком случае	5	2
22	сводится к тому	2	2
23	в этом смысле	3	2
24	по отношению к	8	2
