N	2gram	Savitsky_P_1	Problema
1	и не	12	28
2	не только	17	24
3	только в	7	23
4	в виде	2	22
5	в том	9	20
6	и в	14	20
7	то что	4	15
8	потому что	3	15
9	было бы	6	14
10	но и	6	14
11	точки зрения	3	14
12	не в	5	13
13	в себе	3	12
14	том что	4	12
15	прежде всего	3	11
16	по себе	4	11
17	с точки	3	11
18	не менее	2	10
19	отнюдь не	2	10
20	в качестве	9	10
21	может быть	5	9
22	есть нечто	2	9
23	все это	2	9
24	в этом	10	9
25	если бы	4	8
26	но в	9	8
27	с другой	5	7
28	это не	3	7
29	есть в	2	7
30	мы не	3	7
31	и потому	4	7
32	и тем	2	7
33	то же	9	7
34	именно в	2	7
35	а не	2	7
36	и с	2	7
37	в ней	6	7
38	хотя бы	8	7
39	и без	3	6
40	а также	4	6
41	для нас	2	6
42	есть не	2	6
43	но не	3	5
44	хотя и	3	5
45	в нем	3	5
46	в смысле	6	5
47	в ее	2	5
48	да и	2	5
49	и если	4	5
50	и о	5	5
51	не может	4	5
52	в них	2	5
53	с тем	3	4
54	и есть	2	4
55	в отношении	10	4
56	тем самым	3	4
57	никак не	2	4
58	как бы	4	4
59	тем более	2	4
60	и т	3	4
61	же в	4	4
62	во всех	2	4
63	с этим	2	4
64	а в	4	4
65	как раз	2	4
66	в то	7	4
67	в жизни	2	3
68	и к	4	3
69	слова но	2	3
70	и как	3	3
71	в начале	2	3
72	между прочим	2	3
73	в его	2	3
74	что в	4	3
75	в своем	4	3
76	не было	2	3
77	для того	3	3
78	что мы	3	3
79	из них	2	3
80	мы должны	4	3
81	в области	11	3
82	в частности	2	2
83	столь же	3	2
84	значительной мере	2	2
85	стороны и	2	2
86	на путях	4	2
87	заключается в	3	2
88	для них	2	2
89	в пределах	8	2
90	тот же	3	2
91	в котором	4	2
92	сами по	3	2
93	не к	2	2
94	в сравнении	3	2
95	не будем	2	2
96	сравнении с	3	2
97	с ними	3	2
98	в значительной	2	2
99	xix века	6	2
100	говорить о	2	2
101	и это	2	2
102	и весьма	2	2
103	которое в	2	2
104	еще более	2	2
