N	2gram	Tiupa_Lite_1	EvropaiC
1	таким образом	3	32
2	в том	16	31
3	и в	8	24
4	том что	14	20
5	все эти	2	19
6	не может	5	18
7	то что	10	17
8	может быть	13	15
9	все же	4	15
10	точки зрения	6	13
11	в своем	11	12
12	самом деле	2	12
13	в этом	12	12
14	между тем	2	11
15	отношению к	2	10
16	как бы	7	10
17	по отношению	3	10
18	культуры в	4	10
19	так и	4	10
20	при этом	19	9
21	как и	6	9
22	того же	2	9
23	что в	3	9
24	не в	8	8
25	в самом	3	8
26	с точки	2	8
27	не менее	7	7
28	для этого	4	7
29	к тому	2	7
30	но и	17	7
31	и не	12	7
32	из этих	2	7
33	по своей	3	7
34	о том	2	7
35	что он	5	7
36	в силу	4	7
37	должна быть	2	6
38	все они	2	6
39	с другой	3	6
40	в этой	4	6
41	несмотря на	3	6
42	того что	6	6
43	в сознании	2	6
44	еще не	4	6
45	тогда как	13	6
46	в мире	2	6
47	только в	8	6
48	столь же	4	5
49	тому же	2	5
50	у него	3	5
51	в целом	8	5
52	потому что	3	5
53	так называемого	2	5
54	его в	3	5
55	но в	3	5
56	в то	5	5
57	в его	7	5
58	не только	24	5
59	лишь в	4	5
60	в себе	7	5
61	как будто	2	5
62	далеко не	3	5
63	никогда не	4	4
64	самого себя	3	4
65	та же	2	4
66	в конце	4	4
67	из того	2	4
68	тем не	2	4
69	что его	3	4
70	одним из	5	4
71	из них	4	4
72	как сказано	2	4
73	в их	3	4
74	а потому	2	4
75	и то	2	4
76	и культуры	2	4
77	связи с	6	4
78	том же	3	4
79	не есть	2	4
80	то же	5	4
81	хотя бы	2	4
82	культуре и	2	4
83	в области	3	4
84	с одной	2	3
85	так или	8	3
86	в нем	2	3
87	данном случае	4	3
88	а в	3	3
89	это не	4	3
90	во имя	2	3
91	прежде всего	11	3
92	в жизни	6	3
93	и того	2	3
94	от тех	2	3
95	на почве	2	3
96	даже в	2	3
97	освободиться от	2	3
98	или иначе	9	3
99	в данном	5	3
100	тем более	2	3
101	в связи	4	3
102	отличие от	5	3
103	в частности	15	2
104	с этой	5	2
105	сводится к	3	2
106	для него	2	2
107	со временем	2	2
108	на этом	2	2
109	же время	5	2
110	одной стороны	2	2
111	и сам	6	2
112	от себя	2	2
113	в виду	3	2
114	всяком случае	2	2
115	на том	2	2
116	то и	2	2
117	что для	2	2
118	во втором	2	2
119	одну из	2	2
120	одно из	3	2
121	не было	3	2
122	также и	3	2
123	во всяком	3	2
124	то есть	6	2
125	а для	2	2
126	в основе	3	2
127	отнюдь не	2	2
128	должен быть	2	2
129	в индивидуальном	2	2
130	одна из	3	2
131	но не	4	2
132	только то	2	2
133	тех же	3	2
134	было бы	2	2
135	жизни и	3	2
136	в сущности	2	2
137	общего с	2	2
138	в себя	2	2
139	ко всему	2	2
140	тем самым	5	2
141	в другом	2	2
142	ту же	2	2
143	и только	2	2
