N	2gram	Bakhtin_sl_2	Formalny
1	и не	22	30
2	вовсе не	10	28
3	и в	39	27
4	может быть	37	25
5	не может	20	24
6	так и	15	21
7	и его	33	19
8	таким образом	8	18
9	в этом	16	18
10	а не	14	17
11	точки зрения	8	16
12	в нем	19	15
13	в процессе	13	15
14	то же	4	15
15	как и	6	14
16	с точки	3	14
17	не в	9	12
18	и от	3	11
19	и т	35	11
20	но и	21	10
21	не могут	5	10
22	лишь в	3	9
23	так как	4	9
24	не только	24	9
25	что в	3	8
26	ни в	4	8
27	при этом	7	8
28	в пределах	13	8
29	как бы	7	8
30	с помощью	4	8
31	и все	5	8
32	то что	2	8
33	входит в	4	8
34	как мы	7	8
35	только в	5	8
36	не менее	4	7
37	в том	5	7
38	же время	4	7
39	все это	16	7
40	в то	4	7
41	его в	4	7
42	между тем	3	7
43	в его	7	7
44	там где	6	7
45	истории литературы	3	6
46	с другой	5	6
47	идеологического творчества	3	6
48	всяком случае	2	6
49	т д	2	6
50	все эти	6	6
51	но в	6	6
52	что он	2	6
53	более того	2	6
54	еще не	7	6
55	все же	6	6
56	хотя бы	3	6
57	и для	5	6
58	в данном	2	6
59	во всяком	3	6
60	вместе с	2	6
61	независимо от	2	5
62	никогда не	7	5
63	зависимости от	4	5
64	в дальнейшем	2	5
65	того чтобы	2	5
66	и их	5	5
67	материала в	2	5
68	в ней	3	5
69	в результате	2	5
70	и между	2	5
71	в истории	11	5
72	большинстве случаев	5	5
73	в зависимости	4	5
74	в идеологическом	2	5
75	но не	6	5
76	и потому	7	5
77	т п	33	5
78	связи с	3	5
79	так сказать	6	5
80	смысла и	3	4
81	уже в	2	4
82	в роман	3	4
83	материал в	3	4
84	а вовсе	2	4
85	прежде всего	8	4
86	в смысле	4	4
87	и как	3	4
88	можно говорить	2	4
89	в большинстве	6	4
90	до конца	17	4
91	для того	2	4
92	же и	2	4
93	мы видели	2	4
94	жизни и	6	4
95	смысл и	2	4
96	в связи	2	4
97	они не	2	4
98	о том	2	4
99	как это	3	4
100	обстоит дело	2	4
101	тогда когда	2	4
102	по себе	5	4
103	в романе	46	4
104	том что	5	4
105	слов и	3	4
106	она не	6	4
107	конечно не	5	4
108	как в	13	4
109	менее всего	2	4
110	роль в	2	4
111	в слове	6	4
112	мы не	2	4
113	могут быть	7	4
114	установка на	2	4
115	слова и	8	4
116	бы и	3	3
117	в этих	7	3
118	материала и	3	3
119	его и	2	3
120	это не	5	3
121	те же	2	3
122	для нас	5	3
123	должна быть	3	3
124	дело идет	2	3
125	одним из	2	3
126	в него	7	3
127	к материалу	2	3
128	слово как	7	3
129	по отношению	4	3
130	той же	3	3
131	этом отношении	3	3
132	и на	4	3
133	сказать что	3	3
134	и с	9	3
135	в основе	4	3
136	нуждается в	2	3
137	к его	2	3
138	романа в	5	3
139	и более	2	3
140	жизни в	2	3
141	в них	6	3
142	идеологического мира	3	3
143	на фоне	4	3
144	мы уже	2	3
145	во всех	12	3
146	о нем	2	3
147	оно не	8	3
148	отношению к	4	3
149	дело с	4	3
150	может и	2	3
151	в той	4	3
152	уже не	5	3
153	героя в	3	3
154	к проблеме	3	3
155	в себе	2	3
156	может стать	2	3
157	в поэзии	2	3
158	социальных групп	2	2
159	для этого	4	2
160	в отношении	4	2
161	и мир	4	2
162	человека и	3	2
163	п в	2	2
164	язык как	3	2
165	или иной	5	2
166	всех этих	4	2
167	его от	3	2
168	но это	3	2
169	на этом	3	2
170	как о	2	2
171	самого литературного	2	2
172	роман и	2	2
173	нем и	2	2
174	известной степени	2	2
175	со всею	3	2
176	связи и	2	2
177	и др	4	2
178	отличается от	2	2
179	в своем	6	2
180	языке как	3	2
181	отношения к	4	2
182	языка или	2	2
183	но эта	2	2
184	именно на	2	2
185	пределах одного	7	2
186	и даже	7	2
187	романа и	5	2
188	действующих лиц	2	2
189	материал и	3	2
190	может иметь	3	2
191	притом в	2	2
192	всех областях	4	2
193	как он	2	2
194	в чисто	3	2
195	слово в	11	2
196	поэтому и	4	2
197	с его	7	2
198	однако в	2	2
199	установкой на	3	2
200	стороны и	3	2
201	языка как	7	2
202	с ее	2	2
203	с установкой	3	2
204	говорить о	3	2
205	одна из	4	2
206	от него	5	2
207	материалом и	2	2
208	связано с	3	2
209	мы увидим	2	2
210	или на	2	2
211	в сущности	6	2
212	за пределы	2	2
213	но оно	2	2
214	в основном	4	2
215	на почве	4	2
216	даже в	2	2
217	должен быть	2	2
218	с таким	2	2
219	что и	3	2
220	и речи	2	2
221	так в	2	2
222	в языке	2	2
223	в отличие	12	2
224	всех сторон	2	2
225	в точном	2	2
226	это и	2	2
227	человека в	5	2
228	лишь тогда	2	2
229	в таком	4	2
230	слова как	2	2
231	на протяжении	2	2
232	в рамки	2	2
233	ту же	3	2
234	и вне	2	2
235	дело в	2	2
236	героя и	5	2
237	здесь не	4	2
238	отличие от	13	2
239	в области	2	2
