N	2gram	Tiupa_Anal_1	Myslijsy
1	потому что	2	49
2	то есть	11	30
3	и в	18	24
4	может быть	29	23
5	в сознании	2	23
6	то что	6	20
7	и не	21	19
8	а не	17	18
9	в том	27	18
10	что в	5	16
11	по себе	4	15
12	не только	15	15
13	того же	4	14
14	при этом	12	13
15	было бы	2	13
16	не в	14	13
17	но не	10	12
18	не может	22	12
19	то же	9	12
20	если бы	3	11
21	что мы	3	11
22	что и	3	11
23	вместе с	4	11
24	только в	6	11
25	таким образом	3	11
26	для него	2	10
27	в себе	11	10
28	тогда как	14	10
29	так как	2	10
30	тогда когда	2	10
31	вовсе не	2	9
32	в нем	3	9
33	как бы	5	9
34	но и	17	9
35	а в	9	8
36	том что	12	8
37	и на	5	8
38	в этом	13	8
39	могут быть	4	8
40	не могут	3	7
41	быть может	2	7
42	прежде всего	6	7
43	мысль о	2	7
44	сами по	2	7
45	душевной жизни	2	7
46	как и	13	7
47	того что	4	7
48	с другой	4	6
49	не есть	8	6
50	и того	5	6
51	и как	5	6
52	в ряду	2	6
53	и т	3	6
54	между тем	5	6
55	между двумя	3	6
56	одного и	2	6
57	в то	9	6
58	этого слова	7	6
59	столь же	4	5
60	с ним	4	5
61	есть не	8	5
62	что не	3	5
63	о том	5	5
64	так и	4	5
65	бы не	2	5
66	для того	4	5
67	с другими	4	5
68	или не	2	5
69	бы ни	2	5
70	из них	2	5
71	только для	2	5
72	все же	4	5
73	в которой	2	5
74	место в	3	4
75	никогда не	2	4
76	из этих	2	4
77	что он	3	4
78	уже не	4	4
79	такой же	2	4
80	еще не	3	4
81	в самом	6	4
82	в котором	3	4
83	с одной	3	4
84	тем самым	7	4
85	внешнего мира	2	4
86	в таком	3	4
87	тому как	3	4
88	подобно тому	3	4
89	как он	3	4
90	но в	8	4
91	на вопрос	4	3
92	это не	6	3
93	и все	3	3
94	на все	2	3
95	думать что	2	3
96	ни было	4	3
97	одной стороны	3	3
98	говоря о	2	3
99	если в	3	3
100	не с	4	3
101	в целом	5	3
102	себе в	2	3
103	со стороны	2	3
104	и тогда	2	3
105	т п	3	3
106	быть не	3	3
107	бы быть	3	3
108	той же	2	3
109	и то	2	3
110	могла бы	3	3
111	далеко не	6	3
112	таком случае	3	2
113	и есть	3	2
114	в нашем	3	2
115	и его	5	2
116	в какой	2	2
117	хотя бы	3	2
118	не столько	2	2
119	состоит в	11	2
120	вопрос о	2	2
121	в собственном	3	2
122	с его	3	2
123	за пределы	2	2
124	все эти	2	2
125	же время	6	2
126	имеет место	5	2
127	как совокупность	2	2
128	она есть	2	2
129	в его	13	2
130	и потому	2	2
131	себя и	4	2
132	не все	2	2
133	один из	2	2
134	ни с	3	2
135	во времени	4	2
136	другой стороны	2	2
137	а с	3	2
138	на самом	2	2
139	в себя	6	2
140	от себя	3	2
141	самом деле	2	2
142	того чтобы	3	2
143	и по	2	2
144	должно быть	2	2
145	отношения к	2	2
146	по отношению	6	2
147	в другом	4	2
148	могли бы	2	2
149	на этом	2	2
150	оно может	3	2
