N	2gram	Propp_Isto_7	Otkroven
1	у него	10	22
2	и в	24	19
3	но и	11	13
4	и не	4	13
5	в этом	12	12
6	а не	8	11
7	не в	9	11
8	может быть	14	11
9	не только	21	11
10	и все	6	10
11	вопрос о	3	10
12	в нем	6	10
13	никогда не	4	9
14	потому что	9	9
15	прежде всего	2	9
16	и он	3	8
17	ни с	2	7
18	но он	2	7
19	от него	3	7
20	он не	6	7
21	все это	8	6
22	как и	6	6
23	то что	7	5
24	а в	10	5
25	отношение к	5	5
26	в том	7	5
27	в самом	2	5
28	с его	3	4
29	на земле	2	4
30	т е	16	4
31	что не	2	4
32	все в	2	4
33	и его	3	4
34	все эти	2	4
35	не может	14	4
36	что в	13	4
37	него и	3	4
38	к нему	7	3
39	не могут	2	3
40	в этих	13	3
41	это не	10	3
42	что он	21	3
43	того что	6	3
44	еще не	8	3
45	и от	2	3
46	и ее	2	3
47	было бы	2	3
48	когда он	3	3
49	в русской	5	3
50	о том	9	3
51	с ним	5	3
52	как бы	4	3
53	не исчезает	2	3
54	уже в	3	2
55	все же	9	2
56	что и	8	2
57	ее в	3	2
58	он в	2	2
59	и там	2	2
60	так и	5	2
61	что у	4	2
62	не все	3	2
63	к этому	2	2
64	не имеет	4	2
65	в ее	2	2
66	его не	2	2
67	в которой	2	2
68	в других	4	2
69	их не	2	2
70	том что	10	2
71	так что	3	2
72	и на	2	2
73	из всего	2	2
74	что они	3	2
75	сказать что	2	2
76	тем что	6	2
77	и нет	2	2
78	его в	3	2
79	должен был	2	2
80	так как	8	2
81	и этим	3	2
82	и о	2	2
83	ничего не	5	2
84	хотя и	3	2
85	к ней	2	2
86	но в	5	2
