N	2gram	Bakhtin_fo_2	DiskursI
1	в качестве	3	34
2	не только	11	28
3	в том	10	23
4	а не	4	22
5	то есть	10	20
6	том что	4	19
7	может быть	7	17
8	и в	46	16
9	как и	8	16
10	в этом	22	15
11	еще не	6	14
12	но и	9	14
13	при этом	6	13
14	и т.п	2	12
15	прежде всего	14	11
16	но не	5	11
17	и не	9	11
18	с другой	2	10
19	как в	4	10
20	далеко не	2	10
21	в частности	5	9
22	в нем	5	9
23	не может	2	9
24	с одной	2	9
25	а также	3	8
26	отнюдь не	4	8
27	так и	7	8
28	о том	4	8
29	но в	10	8
30	в основе	6	7
31	в его	8	7
32	то же	8	7
33	не было	3	7
34	роль в	3	7
35	в себе	4	7
36	только в	11	7
37	не в	9	7
38	в своем	5	6
39	и как	3	6
40	к тому	3	5
41	или иной	2	5
42	можно сказать	2	5
43	как бы	10	5
44	в котором	4	5
45	то что	7	5
46	во всех	11	5
47	а в	3	5
48	в себя	2	5
49	в их	3	5
50	в эпоху	4	5
51	и на	7	5
52	в данном	2	5
53	что в	5	4
54	не является	3	4
55	в них	7	4
56	и к	2	4
57	что он	3	4
58	уже не	3	4
59	для него	3	4
60	в истории	4	4
61	же время	4	4
62	связи с	8	4
63	и о	2	4
64	отношение к	3	4
65	в особенности	6	4
66	лишь в	2	4
67	в которых	3	4
68	потому что	8	4
69	могут быть	2	4
70	того же	3	3
71	это не	2	3
72	в одной	2	3
73	как уже	3	3
74	по себе	2	3
75	что и	3	3
76	по своему	2	3
77	с этим	5	3
78	имеет место	3	3
79	к ним	2	3
80	картина мира	2	3
81	один из	2	3
82	все же	6	3
83	из них	8	3
84	таким образом	3	3
85	именно в	2	3
86	того что	3	3
87	и даже	3	3
88	тем что	3	3
89	точки зрения	10	3
90	в то	5	3
91	также и	4	3
92	и потому	2	3
93	мира в	3	3
94	литературы в	2	2
95	одновременно с	2	2
96	и есть	2	2
97	никогда не	6	2
98	том числе	3	2
99	к себе	4	2
100	и во	6	2
101	и все	6	2
102	в одном	7	2
103	к этому	3	2
104	в литературе	2	2
105	в историческом	2	2
106	ему в	3	2
107	как его	2	2
108	в пределах	5	2
109	на этом	2	2
110	строго говоря	2	2
111	числе и	2	2
112	опирается на	2	2
113	в сущности	2	2
114	в ряду	4	2
115	хотя и	3	2
116	и др	5	2
117	сами по	2	2
118	точка зрения	3	2
119	в форме	3	2
120	целый ряд	3	2
121	жизни в	4	2
122	и было	4	2
123	отношения к	4	2
124	уже в	4	2
125	человека в	6	2
126	как мы	6	2
127	и он	4	2
128	времени в	7	2
129	и по	3	2
130	эпохи и	2	2
131	и его	12	2
132	в литературу	2	2
133	здесь в	6	2
134	во всяком	2	2
135	мы имеем	2	2
136	в другом	3	2
137	на протяжении	3	2
138	же самое	3	2
139	в этой	2	2
140	так сказать	7	2
141	в виду	3	2
142	о чем	3	2
